"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Ehe-)Paar ohne Kind(er)","17872.57","15913.5","2702","8743","12015","21475","28054","49780","17491.19","18253.95","0","170618","16186","16747"
"1984","1-Pers.- Haushalt","9556.17","8596","1288","4042","6022","11991","15406","30678","9217.73","9894.61","0","94603","8641","9203"
"1984","Alleinerziehende","14045.45","12451","828","5202","8774","17361","23733","54742","13446.13","14644.77","307","68782","12161","13080"
"1984","Paar mit Kind(ern)","23505.71","21328","10356","12976","16511","27674","35368","60780","23299.7","23711.72","0","143736","20115","20509"
"1984","Sonstige","23981.59","22024","1002","10399","15692","30421","37770","76553","23132.77","24830.41","2045","121341","22127","24641"
"1985","(Ehe-)Paar ohne Kind(er)","18281.45","16772.5","2450","9281","12337","22189","28755","52559","17942.91","18619.99","0","77794","16945","17694"
"1985","1-Pers.- Haushalt","10118.08","8974","1140","4403","6180","12482","15931","36715","9653.89","10582.27","0","162146","9102","9829"
"1985","Alleinerziehende","14688.11","13479.5","748","5874","9329","18890","24525","45896","14076.01","15300.21","0","53634","12629","13736"
"1985","Paar mit Kind(ern)","24127.88","22029.5","9339","13143","16861","28407","36931","63764","23910.62","24345.14","2352","142772","20937","21472"
"1985","Sonstige","23895.45","22401","921","10731","15918","29883","37526","59457","23139.22","24651.68","2270","108060","23426","24633"
"1986","(Ehe-)Paar ohne Kind(er)","18889.01","17232.5","2410","9423","12457","22993","29797","46831","18496.63","19281.39","2593","185058","17572","18494"
"1986","1-Pers.- Haushalt","9968.22","9164","1079","4594","6267","12357","16131","29410","9644.05","10292.39","0","50748","9247","9956"
"1986","Alleinerziehende","15088.29","13377","712","6035","9023","20128","25721","58091","14429.08","15747.5","307","59545","12399","14384"
"1986","Paar mit Kind(ern)","24793.91","22394.5","8799","13981","17346","29400","36907","64356","24556.76","25031.06","5404","215855","21719","22065"
"1986","Sonstige","23609.83","22260.5","894","10056","15428","29282","40781","55613","22899.38","24320.28","0","63458","23905","25524"
"1987","(Ehe-)Paar ohne Kind(er)","19739.68","18051","2384","10016","13252","24089","30560","55371","19336.5","20142.86","1130","121339","18266","19068"
"1987","1-Pers.- Haushalt","10542.74","9508","1078","4636","6690","12997","17402","31334","10166.82","10918.66","0","87952","9635","10315"
"1987","Alleinerziehende","16391.1","14311","705","6320","9674","20394","27816","62831","15615.78","17166.42","307","92361","13489","14797"
"1987","Paar mit Kind(ern)","25828.66","23553","8532","14567","18645","30433","39403","65891","25600.78","26056.54","307","124820","22830","23239"
"1987","Sonstige","25523.53","23573.5","943","12160","18512","30419","41234","65381","24768.2","26278.86","736","67295","24944","26127"
"1988","(Ehe-)Paar ohne Kind(er)","20514.41","18300","2336","10210","13217","25183","32440","53486","20072.79","20956.03","3110","152175","18414","19382"
"1988","1-Pers.- Haushalt","10809.79","9807.5","1037","4878","7018","13547","17812","29190","10437.22","11182.36","0","83425","9888","10608"
"1988","Alleinerziehende","17408.65","15779.5","704","6565","11105","22131","29119","57948","16651.99","18165.31","307","60733","14952","16587"
"1988","Paar mit Kind(ern)","26631.12","23936.5","8110","15104","18979","31639","40064","69828","26388.56","26873.68","813","110883","23182","23593"
"1988","Sonstige","25661.6","23650.5","826","11315","18350","31180","41711","58371","24760.84","26562.36","3528","86097","24650","26669"
"1989","(Ehe-)Paar ohne Kind(er)","21821.39","19697","2316","10868","14405","25758","34131","61115","21354.19","22288.59","148","170922","19862","20663"
"1989","1-Pers.- Haushalt","11471.77","10379.5","1040","5424","7462","13830","18590","32372","11027.42","11916.12","0","135049","10413","11233"
"1989","Alleinerziehende","18352.5","16089","660","7160","10266","23542","32394","61678","17499.88","19205.12","794","69649","15149","16941"
"1989","Paar mit Kind(ern)","27706.84","24954","7743","15732","19865","32247","41871","78254","27441.54","27972.14","2761","155548","24204","24645"
"1989","Sonstige","28211.93","24342.5","835","12045","18737","33705","49098","66904","27213.13","29210.73","2650","120561","27360","30392"
"1990","(Ehe-)Paar ohne Kind(er)","22370.79","20385.5","2368","11018","14601","27097","34467","59565","21843.97","22897.61","2798","221883","20286","21183"
"1990","1-Pers.- Haushalt","12015.06","11012.5","1001","5354","7797","14660","19189","30918","11512.19","12517.93","0","148122","10950","11694"
"1990","Alleinerziehende","18876.46","16657.5","640","8254","12438","23935","32499","45230","18086.06","19666.86","0","89679","16030","17453"
"1990","Paar mit Kind(ern)","29075.21","25912","7526","16341","20356","33951","43645","84618","28775.49","29374.93","4592","181118","25125","25625"
"1990","Sonstige","29975.82","27592","898","13537","20528","35678","45330","81218","29009.05","30942.59","5419","145759","30584","31739"
"1991","(Ehe-)Paar ohne Kind(er)","23974.07","21993.5","2396","11722","15567","29925","37641","65898","23473.14","24475","10","179818","21953","22777"
"1991","1-Pers.- Haushalt","13070.38","11546","1003","5743","8115","16061","22001","39927","12570.17","13570.59","849","130243","11528","12408"
"1991","Alleinerziehende","19692.48","17537","659","8390","11633","24454","32618","52907","18833.21","20551.75","418","116916","16914","18680"
"1991","Paar mit Kind(ern)","31467.19","27844.5","7467","17723","22178","37314","48525","89642","31161.86","31772.52","419","153869","27057","27556"
"1991","Sonstige","31116.1","28437","902","14410","21251","40084","48749","77365","30131.93","32100.27","5573","101835","32190","35120"
"1992","(Ehe-)Paar ohne Kind(er)","23331.89","20718.5","3390","10596","14237","29706","36982","67115","22874.61","23789.17","997","255823","19969","20777"
"1992","1-Pers.- Haushalt","12856.66","11187.5","1302","5123","7351","16007","22096","43243","12384.69","13328.63","0","150568","10394","11277"
"1992","Alleinerziehende","18057.7","16002.5","957","7767","10651","22465","30861","63715","17350.15","18765.25","0","113079","15051","16211"
"1992","Paar mit Kind(ern)","30203.11","27180","10961","16688","21229","35846","47363","80963","29969.94","30436.28","5215","127650","25333","25813"
"1992","Sonstige","30924.43","26802.5","1232","11598","18993","37023","53876","87050","30043.77","31805.09","2127","96914","28393","31293"
"1993","(Ehe-)Paar ohne Kind(er)","25112.91","22354.5","3448","11839","15597","31084","40516","67396","24706.58","25519.24","3068","122975","21602","22396"
"1993","1-Pers.- Haushalt","13490.66","11566","1362","5673","8054","16727","23474","41290","13040.14","13941.18","0","121420","11022","11877"
"1993","Alleinerziehende","18677.6","16677","918","8337","11734","23617","33166","55528","18023.89","19331.31","859","63080","16185","17454"
"1993","Paar mit Kind(ern)","32290.07","29192","10565","18160","22400","38008","49995","85778","32024.85","32555.29","5522","221375","27423","27884"
"1993","Sonstige","30338.19","28627.5","1235","12616","19544","38073","47486","75916","29443.99","31232.39","1595","89603","30824","32764"
"1994","(Ehe-)Paar ohne Kind(er)","26150.17","23624.5","3538","12909","17073","31933","42054","68213","25744.39","26555.95","0","134255","22598","23577"
"1994","1-Pers.- Haushalt","14026.33","12326.5","1362","6227","8619","17159","23559","41748","13552.38","14500.28","0","128759","11906","12625"
"1994","Alleinerziehende","20949.63","17831","882","8200","12955","24945","36283","83366","20133.88","21765.38","0","83366","17069","18610"
"1994","Paar mit Kind(ern)","33437.15","30226","10166","19275","23972","39629","51355","86288","33158.51","33715.79","3572","204137","28692","29329"
"1994","Sonstige","32643.37","29708","1190","15443","22199","41243","53769","73840","31738.54","33548.2","6296","88637","32753","35075"
"1995","(Ehe-)Paar ohne Kind(er)","26615.48","23819","3654","13172","17500","31777","43095","69699","26194.07","27036.89","205","164014","22869","23717"
"1995","1-Pers.- Haushalt","14126.89","12323.5","1404","6388","8794","17100","23841","43772","13691.95","14561.83","0","125661","11788","12692"
"1995","Alleinerziehende","19416.88","17941","942","6681","11533","24760","33198","65392","18695.25","20138.51","448","72301","17122","18300"
"1995","Paar mit Kind(ern)","33250.37","30219.5","10523","18975","23233","39479","51204","91411","32969.49","33531.25","2505","210927","28450","29026"
"1995","Sonstige","34273.77","32720.5","1189","15518","22568","43265","53865","85698","33348.41","35199.13","3692","93942","33511","35866"
"1996","(Ehe-)Paar ohne Kind(er)","27185.77","24068","3682","14179","18245","32467","43935","73814","26739.98","27631.56","0","261326","23226","23937"
"1996","1-Pers.- Haushalt","14629.27","12781.5","1433","6698","9126","17738","24315","44288","14128.9","15129.64","0","193088","12203","12932"
"1996","Alleinerziehende","19930.31","17975","959","7323","11698","25577","33838","61715","19221.13","20639.49","1227","76702","17097","18884"
"1996","Paar mit Kind(ern)","34025.27","30953","10157","19751","24224","40405","51850","86824","33754.69","34295.85","658","170500","29401","29868"
"1996","Sonstige","35632.49","33811","1108","17592","23382","44463","58887","82604","34638.77","36626.21","1847","101486","34146","37168"
"1997","(Ehe-)Paar ohne Kind(er)","27797.01","24906","3758","14701","18829","33405","44148","75008","27397.34","28196.68","388","146597","23988","24870"
"1997","1-Pers.- Haushalt","14778.2","12991.5","1402","6820","9443","17995","24576","41135","14336.5","15219.9","0","110923","12325","13123"
"1997","Alleinerziehende","20157.18","18423","967","8393","12933","25049","32183","61063","19504.82","20809.54","934","85491","18274","19272"
"1997","Paar mit Kind(ern)","34963.53","31691.5","9806","20500","24945","40938","53562","88952","34674.83","35252.23","1227","192239","30327","30854"
"1997","Sonstige","36436.45","34237.5","1074","19102","25101","45870","54792","85352","35482.9","37390","11073","107793","35111","36872"
"1998","(Ehe-)Paar ohne Kind(er)","28244.46","25042.5","4358","14969","19258","34053","45721","71560","27867.6","28621.32","511","136336","24147","24904"
"1998","1-Pers.- Haushalt","14783.41","13233.5","1706","6625","9482","17924","24640","40123","14373.67","15193.15","0","126770","12705","13389"
"1998","Alleinerziehende","20067.58","18033","1105","8961","14037","23878","33905","53631","19442.99","20692.17","2812","88659","17683","18856"
"1998","Paar mit Kind(ern)","34993.22","31450.5","10582","20309","25018","40941","53383","93981","34701.63","35284.81","2965","276704","30414","30926"
"1998","Sonstige","36388.56","35415.5","1005","18650","25662","44345","54798","81834","35464.44","37312.68","10573","95240","35571","37300"
"1999","(Ehe-)Paar ohne Kind(er)","29076.99","26407.5","4312","15570","19580","35413","45195","77741","28680.5","29473.48","3269","142192","25251","26068"
"1999","1-Pers.- Haushalt","15309.32","13473.5","1638","7094","9852","18842","25197","49085","14897.89","15720.75","102","106502","12768","13575"
"1999","Alleinerziehende","20477.75","18844","1115","8927","13585","25209","32873","51339","19880.7","21074.8","2663","67315","18155","19542"
"1999","Paar mit Kind(ern)","36422.57","32411.5","10257","21325","25656","42790","56588","98577","36120.38","36724.76","4974","242816","31099","31647"
"1999","Sonstige","40177.12","39713","666","20363","28186","47969","63119","80622","38959.93","41394.31","7651","92554","39240","41535"
"2000","(Ehe-)Paar ohne Kind(er)","29982.27","26175","7936","15170","19678","35932","47719","91120","29632.46","30332.08","810","272109","25329","25850"
"2000","1-Pers.- Haushalt","15870.31","14112.5","3260","7107","10120","19259","26140","49143","15556.95","16183.67","0","117155","13394","14070"
"2000","Alleinerziehende","21222.4","18881","1911","9366","13305","26344","34362","57927","20616.97","21827.83","1562","237475","18727","19742"
"2000","Paar mit Kind(ern)","37536.29","33750.5","17502","21995","26951","43858","57420","99931","37287.23","37785.35","4522","314477","33250","33780"
"2000","Sonstige","38784.22","36122.5","1198","18397","25977","50054","63316","91780","37793.04","39775.4","2272","97074","37991","40556"
"2001","(Ehe-)Paar ohne Kind(er)","30643.03","27056","7178","15399","20282","36569","48267","88138","30268.33","31017.73","1330","275849","26164","26778"
"2001","1-Pers.- Haushalt","16245.96","14486","2926","7400","10356","19844","26353","49648","15902.39","16589.53","0","212321","14076","14561"
"2001","Alleinerziehende","21074.7","19528.5","1761","9306","14168","25012","33313","56532","20570.89","21578.51","2934","74104","19321","20390"
"2001","Paar mit Kind(ern)","38721.45","34925","15798","22428","27861","45185","58379","101864","38448.38","38994.52","5154","293555","34603","35032"
"2001","Sonstige","41505.71","39394.5","1065","19129","26528","54304","70353","90555","40310.42","42701","6413","112682","39705","42340"
"2002","(Ehe-)Paar ohne Kind(er)","31134.08","26927.5","7804","15223","19959","36845","49762","99137","30546.01","31722.15","793","581740","28701","29656"
"2002","1-Pers.- Haushalt","16773.77","14904.5","2938","7345","10346","20511","27481","51335","16250.06","17297.48","0","298496","14460","15135"
"2002","Alleinerziehende","21852.83","19950.5","1770","10236","13963","26112","36363","62470","21133.02","22572.64","400","194944","20239","21429"
"2002","Paar mit Kind(ern)","39803.66","35169","16586","22527","27869","44838","60728","118566","39384.68","40222.64","1656","574770","38653","39269"
"2002","Sonstige","39438.92","36100.5","1018","17625","24097","53046","63470","110685","38053.83","40824.01","4787","133242","40495","43218"
"2003","(Ehe-)Paar ohne Kind(er)","32010.85","28012","7636","15486","20312","38428","50890","95422","31449.35","32572.35","596","605876","29271","30295"
"2003","1-Pers.- Haushalt","17350.16","15278.5","2919","7572","10504","21479","28496","54261","16862.69","17837.63","0","288368","14868","15545"
"2003","Alleinerziehende","21915.67","19674.5","1742","9046","13694","27334","36900","58009","21283.17","22548.17","1540","117662","19861","21034"
"2003","Paar mit Kind(ern)","41052.33","36787.5","15626","23153","29281","47000","62175","118277","40636.62","41468.04","4921","631362","39819","40391"
"2003","Sonstige","40635.02","36125","869","18622","26815","50747","65032","105580","39086.72","42183.32","9031","126072","42014","45250"
"2004","(Ehe-)Paar ohne Kind(er)","32409.16","28132","7638","16008","20975","37869","50060","98003","31485.09","33333.23","1860","2046737","29153","30099"
