"year","quintil","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","18376.22","17612","2335","8488","12540","23514","28841","42156","18014.03","18738.41","691","66719","19551","20220"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","20558.99","19960.5","4770","7581","12169","26233","33728","59811","20247.97","20870.01","0","102871","20861","21404"
"1995","2","Ostdeutschland","23614.44","22903","1530","13007","17947","29010","33973","44122","23178.34","24050.54","205","73387","24629","25948"
"1995","2","Westdeutschland","25480.05","24801","3420","12326","17250","31848","39343","55955","25110.99","25849.11","385","91660","26736","27404"
"1995","3","Ostdeutschland","31007.11","29162","695","19378","23915","37294","44229","58810","30091.18","31923.04","10316","141277","30477","32495"
"1995","3","Westdeutschland","32044.4","30527","2322","16479","22573","39633","48422","73668","31418.52","32670.28","448","210927","31208","32535"
"1995","4","Ostdeutschland","38792.69","35030","250","22298","30378","46686","59124","87907","37023.87","40561.51","8134","87907","35764","40229"
"1995","4","Westdeutschland","37452.83","35067.5","1545","20989","28543","45095","54734","90172","36687.69","38217.97","0","117028","36169","37834"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","57282.38","49894","51","33792","41733","67429","79241","121019","51319.56","63245.2","7363","121019","46570","65294"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","49996.34","47800","794","24436","35600","61265","72498","140905","48416.91","51575.77","4835","164014","50117","52877"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","19099.56","18580.5","2040","8585","12895","23963","28919","47684","18691.86","19507.26","227","75334","20023","20880"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","20536.77","19159.5","4334","7309","11393","26439","34101","61715","20191.12","20882.42","0","99899","20924","21557"
"1996","2","Ostdeutschland","24023.58","23243.5","1598","12971","17944","28836","35458","54369","23590.08","24457.08","4038","57495","25258","26363"
"1996","2","Westdeutschland","26439.43","25552.5","3338","12616","18596","32242","40382","69062","26054.94","26823.92","0","95012","26614","27306"
"1996","3","Ostdeutschland","30076.98","28293","793","17197","21876","36029","42791","76981","29323.13","30830.83","6756","76981","30501","32178"
"1996","3","Westdeutschland","31521.5","29961.5","2363","16412","22114","39196","48275","72310","31021.69","32021.31","0","93412","31413","32331"
"1996","4","Ostdeutschland","36034.7","34336.5","289","19508","28679","44483","53395","71711","34575.51","37493.89","4253","71711","35386","36923"
"1996","4","Westdeutschland","36733.29","34533","1612","20975","27865","44387","54146","75081","36049.3","37417.28","2009","193088","35256","36645"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","54752.7","48823.5","77","30486","38779","66863","97504","127368","49736.4","59769","8693","127368","47043","55446"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","49670.63","46851.5","895","24315","36441","59265","73814","156023","48046.34","51294.92","1227","261326","48705","51979"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","20182.75","19504","1956","8553","13141","25464","31002","50457","19706.65","20658.85","1922","121076","20940","21950"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","21818.83","20258","4031","7820","12619","26783","35783","68861","21434.55","22203.11","0","130418","21794","22305"
"1997","2","Ostdeutschland","23866.17","22199","1518","12667","17271","28466","35816","72099","23330.54","24401.8","4514","82125","24666","25814"
"1997","2","Westdeutschland","26651.63","25632","3309","12410","18393","32832","41086","60150","26259.05","27044.21","388","106188","27163","27896"
"1997","3","Ostdeutschland","29974.09","29808","823","17122","22489","35905","43071","53574","29271.51","30676.67","8735","80423","30974","33354"
"1997","3","Westdeutschland","31164.93","29959.5","2468","16579","22739","37802","48041","63323","30683.89","31645.97","2801","107793","31017","31940"
"1997","4","Ostdeutschland","35723.46","33983","307","22816","28597","40661","51110","77837","34364.05","37082.87","6721","82600","35154","38246"
"1997","4","Westdeutschland","37062.79","34534.5","1628","20239","28911","44044","53848","79783","36406.54","37719.04","6013","101380","35486","36648"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","58157.23","47411.5","79","28310","40725","57924","107374","192239","50008.9","66305.56","11173","192239","45132","51745"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","51095.57","48246","888","26944","38646","61424","75075","124611","49700.75","52490.39","5039","173716","49934","52868"
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","19921.4","19061.5","2103","8719","13076","25662","31460","51032","19508.07","20334.73","511","89909","21145","21841"
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","21423.79","20539","4336","7887","13074","27678","35177","59682","21080.02","21767.56","0","117645","21374","22078"
"1998","2","Ostdeutschland","23871.63","23004","1418","12616","17782","28964","36263","52449","23395.95","24347.31","4438","61159","25003","25976"
"1998","2","Westdeutschland","26568.22","25505","3756","12608","17994","32231","40977","63157","26186.58","26949.86","246","110408","27033","27811"
"1998","3","Ostdeutschland","29228.67","27187","903","16486","22057","34441","42802","81834","28479.36","29977.98","7724","83498","28025","30157"
"1998","3","Westdeutschland","30215.77","29359.5","2694","16589","22592","37211","44541","59238","29799.82","30631.72","973","78115","29916","30894"
"1998","4","Ostdeutschland","36088.87","35015","391","21307","28348","42243","51370","67173","34780.42","37397.32","7238","125400","37174","39283"
"1998","4","Westdeutschland","38409.64","36063.5","1992","20687","28050","46656","56262","79645","37618.48","39200.8","0","276704","36683","38110"
"1998","5 Einkommensstärkstes Quintil","Ostdeutschland","55119.61","45672","119","21951","29497","62495","127124","127221","50340.37","59898.85","3670","127221","46106","57839"
"1998","5 Einkommensstärkstes Quintil","Westdeutschland","51422.16","48432","1044","27349","37624","61075","74644","136336","50109.04","52735.28","2779","198810","49511","51260"
"1999","1 Einkommensschwächstes Quintil","Ostdeutschland","19457.11","18733","1675","8542","12427","24646","30881","45336","18982.53","19931.69","462","83669","20155","21420"
"1999","1 Einkommensschwächstes Quintil","Westdeutschland","20617.26","20017","3583","7893","12271","26106","34317","61729","20230.71","21003.81","108","175477","21531","22271"
"1999","2","Ostdeutschland","25635.74","24256.5","1624","12748","17837","30620","39034","68131","25032.61","26238.87","3878","188176","25798","26716"
"1999","2","Westdeutschland","26207.49","25800","3679","12425","17994","32217","38940","62172","25848.97","26566.01","4499","142192","26944","27537"
"1999","3","Ostdeutschland","28476.07","26803","954","17341","21945","34061","40723","58494","27814.33","29137.81","3493","68979","28018","29834"
"1999","3","Westdeutschland","33149.47","31180","2709","16865","23239","40625","50625","80520","32648.5","33650.44","3687","108039","31465","32512"
"1999","4","Ostdeutschland","35572.24","34649.5","406","21109","28285","41717","49657","75509","34303.08","36841.4","4817","78994","36686","39924"
"1999","4","Westdeutschland","37279.7","35441.5","2032","20477","28123","45066","55913","76420","36703.72","37855.68","102","106116","36566","37578"
"1999","5 Einkommensstärkstes Quintil","Ostdeutschland","61187.58","48247.5","112","26864","40885","64559","137760","180271","55614.1","66761.06","6497","180271","47295","55523"
"1999","5 Einkommensstärkstes Quintil","Westdeutschland","52244.37","48453.5","1214","26864","37137","61648","80682","131121","50943.61","53545.13","614","242816","49591","51570"
"2000","1 Einkommensschwächstes Quintil","Ostdeutschland","20380.38","18476.5","2588","8487","11954","25990","33395","59140","19959.1","20801.66","805","93820","20109","21392"
"2000","1 Einkommensschwächstes Quintil","Westdeutschland","21525.77","20304.5","6101","7739","11847","27616","36651","65521","21204.32","21847.22","0","151402","21745","22480"
"2000","2","Ostdeutschland","24542.3","23380.5","2342","12463","17700","30018","37278","52438","24143.32","24941.28","0","117155","25352","26429"
"2000","2","Westdeutschland","27302.3","26686","6372","12716","18659","32787","41640","70850","26998.29","27606.31","1278","105571","27791","28490"
"2000","3","Ostdeutschland","29331.96","27000.5","1462","16696","22120","34720","43025","71196","28718.32","29945.6","7153","96749","28695","30479"
"2000","3","Westdeutschland","32379.18","31198","5276","16863","22906","39282","49543","73841","32010.86","32747.5","1668","217961","32260","33234"
"2000","4","Ostdeutschland","38478.12","35953.5","711","19916","28603","44638","52842","82639","36658.6","40297.64","5579","314477","37611","39584"
"2000","4","Westdeutschland","38167.16","36078.5","4041","20480","27872","45741","58420","81511","37686.59","38647.73","0","139542","37402","38214"
"2000","5 Einkommensstärkstes Quintil","Ostdeutschland","57370.13","52714.5","254","26139","38807","68724","107651","119875","54517.68","60222.58","4335","119875","48950","55480"
