,Unnamed: 0,year,quintil_oecd,sampreg,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,West,Comp. time,0.2315,90,4340,0.20853,0.25148
1,1,1984,1st Quintile,West,Some of both,0.075,33,4340,0.05988,0.09137
2,2,1984,1st Quintile,West,Paid,0.52397,313,4340,0.47091,0.57168
3,3,1984,1st Quintile,West,Not compensated,0.16954,65,4340,0.15024,0.19024
4,4,1984,2nd Quintile,West,Comp. time,0.29745,177,4340,0.28019,0.31141
5,5,1984,2nd Quintile,West,Some of both,0.11697,79,4340,0.10567,0.12727
6,6,1984,2nd Quintile,West,Paid,0.41882,361,4340,0.39352,0.44445
7,7,1984,2nd Quintile,West,Not compensated,0.16676,105,4340,0.15486,0.17774
8,8,1984,3rd Quintile,West,Comp. time,0.32469,256,4340,0.3092,0.33824
9,9,1984,3rd Quintile,West,Some of both,0.13287,107,4340,0.1249,0.13982
10,10,1984,3rd Quintile,West,Paid,0.40219,403,4340,0.38073,0.42464
11,11,1984,3rd Quintile,West,Not compensated,0.14025,123,4340,0.1286,0.15104
12,12,1984,4th Quintile,West,Comp. time,0.28724,267,4340,0.27629,0.30078
13,13,1984,4th Quintile,West,Some of both,0.1126,111,4340,0.1032,0.1192
14,14,1984,4th Quintile,West,Paid,0.34954,428,4340,0.33038,0.37038
15,15,1984,4th Quintile,West,Not compensated,0.25062,226,4340,0.23866,0.26035
16,16,1984,5th Quintile,West,Comp. time,0.25581,290,4340,0.24839,0.26217
17,17,1984,5th Quintile,West,Some of both,0.10141,131,4340,0.0937,0.10795
18,18,1984,5th Quintile,West,Paid,0.2551,347,4340,0.2436,0.26905
19,19,1984,5th Quintile,West,Not compensated,0.38767,428,4340,0.37957,0.39662
20,20,1985,1st Quintile,West,Comp. time,0.23545,88,3706,0.20626,0.25662
21,21,1985,1st Quintile,West,Some of both,0.09978,36,3706,0.08571,0.11412
22,22,1985,1st Quintile,West,Paid,0.43045,228,3706,0.39092,0.4761
23,23,1985,1st Quintile,West,Not compensated,0.23432,80,3706,0.21525,0.26082
24,24,1985,2nd Quintile,West,Comp. time,0.25584,134,3706,0.2376,0.27348
25,25,1985,2nd Quintile,West,Some of both,0.113,62,3706,0.09982,0.12828
26,26,1985,2nd Quintile,West,Paid,0.45574,316,3706,0.42006,0.48562
27,27,1985,2nd Quintile,West,Not compensated,0.17543,90,3706,0.16155,0.18675
28,28,1985,3rd Quintile,West,Comp. time,0.29436,181,3706,0.27762,0.31177
29,29,1985,3rd Quintile,West,Some of both,0.11709,78,3706,0.10709,0.1267
30,30,1985,3rd Quintile,West,Paid,0.36713,325,3706,0.34411,0.39425
31,31,1985,3rd Quintile,West,Not compensated,0.22142,144,3706,0.2113,0.23366
32,32,1985,4th Quintile,West,Comp. time,0.27694,233,3706,0.26448,0.28778
33,33,1985,4th Quintile,West,Some of both,0.12754,113,3706,0.11736,0.13652
34,34,1985,4th Quintile,West,Paid,0.34668,359,3706,0.32732,0.36653
35,35,1985,4th Quintile,West,Not compensated,0.24884,213,3706,0.23726,0.26015
36,36,1985,5th Quintile,West,Comp. time,0.27279,267,3706,0.262,0.28274
37,37,1985,5th Quintile,West,Some of both,0.11052,114,3706,0.10297,0.11788
38,38,1985,5th Quintile,West,Paid,0.21714,254,3706,0.20403,0.23381
39,39,1985,5th Quintile,West,Not compensated,0.39955,391,3706,0.38545,0.41144
40,40,1986,1st Quintile,West,Comp. time,0.26448,74,3471,0.23604,0.30064
41,41,1986,1st Quintile,West,Paid,0.59074,231,3471,0.53877,0.64956
42,42,1986,1st Quintile,West,Not compensated,0.14477,40,3471,0.11737,0.16968
43,43,1986,2nd Quintile,West,Comp. time,0.29069,147,3471,0.26522,0.31328
44,44,1986,2nd Quintile,West,Some of both,0.12534,63,3471,0.10841,0.14443
45,45,1986,2nd Quintile,West,Paid,0.46838,311,3471,0.43093,0.50267
46,46,1986,2nd Quintile,West,Not compensated,0.11559,62,3471,0.1008,0.12785
47,47,1986,3rd Quintile,West,Comp. time,0.32834,212,3471,0.30835,0.35054
48,48,1986,3rd Quintile,West,Some of both,0.12129,89,3471,0.10604,0.13541
49,49,1986,3rd Quintile,West,Paid,0.38863,331,3471,0.35651,0.41609
50,50,1986,3rd Quintile,West,Not compensated,0.16174,109,3471,0.1521,0.17232
51,51,1986,4th Quintile,West,Comp. time,0.32824,271,3471,0.31383,0.34216
52,52,1986,4th Quintile,West,Some of both,0.13015,114,3471,0.11959,0.13945
53,53,1986,4th Quintile,West,Paid,0.353,360,3471,0.33306,0.37765
54,54,1986,4th Quintile,West,Not compensated,0.18861,162,3471,0.17753,0.20046
55,55,1986,5th Quintile,West,Comp. time,0.30209,262,3471,0.28769,0.31825
56,56,1986,5th Quintile,West,Some of both,0.11077,98,3471,0.1023,0.11993
57,57,1986,5th Quintile,West,Paid,0.2525,250,3471,0.23614,0.26996
58,58,1986,5th Quintile,West,Not compensated,0.33464,285,3471,0.32045,0.34975
59,59,1988,1st Quintile,West,Comp. time,0.29924,93,3453,0.26372,0.32978
60,60,1988,1st Quintile,West,Some of both,0.10098,39,3453,0.0812,0.12008
