year,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Comp. time,0.08082,1080,4342,0.07271,0.08893
1984,Some of both,0.03172,461,4342,0.02651,0.03693
1984,Paid,0.10288,1854,4342,0.09385,0.11192
1984,Not compensated,0.07148,947,4342,0.06381,0.07914
1985,Comp. time,0.07496,903,3706,0.06648,0.08343
1985,Some of both,0.03183,403,3706,0.02618,0.03748
1985,Paid,0.09274,1482,3706,0.08340,0.10208
1985,Not compensated,0.07613,918,3706,0.06759,0.08467
1986,Comp. time,0.08157,966,3502,0.07250,0.09063
1986,Some of both,0.03187,394,3502,0.02605,0.03769
1986,Paid,0.09696,1483,3502,0.08716,0.10677
1986,Not compensated,0.05518,659,3502,0.04762,0.06274
1988,Comp. time,0.09092,1018,3454,0.08133,0.10051
1988,Some of both,0.03505,418,3454,0.02891,0.04118
1988,Paid,0.09665,1427,3454,0.08680,0.10651
1988,Not compensated,0.05534,591,3454,0.04772,0.06297
1989,Comp. time,0.09617,1041,3649,0.08661,0.10574
1989,Some of both,0.04530,526,3649,0.03855,0.05204
1989,Paid,0.10773,1510,3649,0.09767,0.11779
1989,Not compensated,0.05579,572,3649,0.04834,0.06324
1990,Comp. time,0.11229,1972,6138,0.10439,0.12019
1990,Some of both,0.04836,920,6138,0.04299,0.05373
1990,Paid,0.12015,2492,6138,0.11201,0.12828
1990,Not compensated,0.04999,754,6138,0.04454,0.05544
1991,Comp. time,0.11473,2015,5714,0.10647,0.12300
1991,Some of both,0.04705,816,5714,0.04156,0.05254
1991,Paid,0.11138,2091,5714,0.10322,0.11954
1991,Not compensated,0.05153,792,5714,0.04579,0.05726
1992,Comp. time,0.10981,1844,5380,0.10145,0.11816
1992,Some of both,0.05243,888,5380,0.04647,0.05838
1992,Paid,0.10181,1876,5380,0.09373,0.10989
1992,Not compensated,0.04845,772,5380,0.04272,0.05419
1993,Comp. time,0.10715,1796,5256,0.09878,0.11551
1993,Some of both,0.05140,899,5256,0.04543,0.05737
1993,Paid,0.09800,1758,5256,0.08997,0.10604
