syear,migback,regtyp,plb0195_h,proportion,n,lower_confidence,upper_confidence
1985,No migration background,Urban regions,3.0,0.18078791149487317,11026,0.17360451319968292,0.1879713097900634
1985,No migration background,Urban regions,4.0,0.164328116567728,11026,0.1574110666266172,0.1712451665088388
1985,No migration background,Urban regions,1.0,0.1616297895304911,11026,0.15475869853373303,0.16850088052724915
1985,Direct migration background,Urban regions,3.0,0.13248785752833242,11026,0.12615976388860264,0.1388159511680622
1985,No migration background,Urban regions,2.0,0.07042633567188343,11026,0.06565042132820073,0.07520225001556613
1985,No migration background,Rural regions,3.0,0.06314085267134377,11026,0.05860102414699186,0.06768068119569569
1985,No migration background,Rural regions,4.0,0.06017269293038316,11026,0.05573383923356971,0.0646115466271966
1985,No migration background,Rural regions,1.0,0.05126821370750135,11026,0.047151573647253836,0.05538485376774886
1985,Direct migration background,Urban regions,1.0,0.024284943335132217,11026,0.02141166877316776,0.027158217897096673
1985,Direct migration background,Rural regions,3.0,0.02050728548300054,11026,0.017861822000661696,0.023152748965339382
1985,Direct migration background,Urban regions,4.0,0.020237452779276847,11026,0.017609089334183786,0.02286581622436991
1985,No migration background,Rural regions,2.0,0.0186184565569347,11026,0.01609533683537859,0.021141576278490812
1985,Direct migration background,Urban regions,2.0,0.015650296815974095,11026,0.01333352599944141,0.01796706763250678
1985,Direct migration background,Rural regions,1.0,0.004856988667026443,11026,0.003559291456650567,0.006154685877402319
1985,Direct migration background,Rural regions,2.0,0.0029681597409606042,11026,0.0019527408793612016,0.003983578602560007
1985,Indirect migration background,Urban regions,3.0,0.0029681597409606042,11026,0.0019527408793612016,0.003983578602560007
1985,Direct migration background,Rural regions,4.0,0.0016189962223421479,11026,0.0008685524644734042,0.0023694399802108917
1985,Indirect migration background,Urban regions,1.0,0.0013491635186184566,11026,0.000664012658888615,0.002034314378348298
1985,Indirect migration background,Urban regions,4.0,0.0008094981111710739,11026,0.00027863915877862134,0.0013403570635635265
1985,Indirect migration background,Urban regions,2.0,0.0008094981111710739,11026,0.00027863915877862134,0.0013403570635635265
1985,Indirect migration background,Rural regions,4.0,0.0005396654074473826,11026,0.00010616236568469328,0.000973168449210072
1985,Indirect migration background,Rural regions,2.0,0.0002698327037236913,11026,-3.674161261591982e-05,0.0005764070200633025
1985,Indirect migration background,Rural regions,1.0,0.0002698327037236913,11026,-3.674161261591982e-05,0.0005764070200633025
1986,No migration background,Urban regions,3.0,0.1907481439177613,10583,0.18326259443232118,0.1982336934032014
1986,No migration background,Urban regions,1.0,0.17332952598515133,10583,0.16611755183995097,0.1805415001303517
1986,Direct migration background,Urban regions,3.0,0.1427755568246716,10583,0.13611016203497203,0.14944095161437118
1986,No migration background,Urban regions,4.0,0.1267846944603084,10583,0.12044532946925825,0.13312405945135858
1986,No migration background,Urban regions,2.0,0.0719588806396345,10583,0.06703534050534508,0.07688242077392392
1986,No migration background,Rural regions,3.0,0.06453455168475157,10583,0.05985330316556584,0.0692158002039373
1986,No migration background,Rural regions,1.0,0.0633923472301542,10583,0.05874987899768688,0.06803481546262152
1986,No migration background,Rural regions,4.0,0.0356938892061679,10583,0.03215916065077355,0.03922861776156225
1986,Direct migration background,Urban regions,1.0,0.03026841804683038,10583,0.027004251534513697,0.033532584559147066
1986,Direct migration background,Rural regions,3.0,0.020559680182752713,10583,0.017856040328215902,0.023263320037289523
1986,No migration background,Rural regions,2.0,0.018275271273557967,10583,0.01572328429127525,0.020827258255840683
1986,Direct migration background,Urban regions,4.0,0.017989720159908625,10583,0.0154573808644659,0.02052205945535135
1986,Direct migration background,Urban regions,2.0,0.01770416904625928,10583,0.015191642855438416,0.020216695237080144
1986,Direct migration background,Rural regions,1.0,0.0065676756139348945,10583,0.0050287179812280435,0.008106633246641745
1986,Direct migration background,Rural regions,4.0,0.0048543689320388345,10583,0.0035301451492611782,0.006178592714816491
1986,Indirect migration background,Urban regions,3.0,0.004283266704740148,10583,0.003039018179219935,0.005527515230260361
1986,Direct migration background,Rural regions,2.0,0.0031410622501427754,10583,0.0020749405123454516,0.004207183987940099
1986,Indirect migration background,Urban regions,4.0,0.002284408909194746,10583,0.0013748266620807097,0.003193991156308782
1986,Indirect migration background,Urban regions,1.0,0.0019988577955454027,10583,0.0011478997640414564,0.002849815827049349
1986,Indirect migration background,Urban regions,2.0,0.0014277555682467161,10583,0.0007083590197029138,0.0021471521167905185
1986,Indirect migration background,Rural regions,3.0,0.0005711022272986865,10583,0.00011592078086316508,0.001026283673734208
1986,Indirect migration background,Rural regions,4.0,0.0005711022272986865,10583,0.00011592078086316508,0.001026283673734208
1986,Indirect migration background,Rural regions,1.0,0.00028555111364934324,10583,-3.635675078131432e-05,0.0006074589780800008
1988,No migration background,Urban regions,1.0,0.18471337579617833,9970,0.17709586947004283,0.19233088212231383
1988,No migration background,Urban regions,3.0,0.18268674001158078,9970,0.17510172791625062,0.19027175210691094
1988,Direct migration background,Urban regions,3.0,0.14736537348002315,9970,0.14040732100517522,0.15432342595487109
1988,No migration background,Urban regions,4.0,0.12188766647365373,9970,0.11546576834465827,0.1283095646026492
1988,No migration background,Urban regions,2.0,0.07237984944991314,9970,0.06729354423973549,0.0774661546600908
1988,No migration background,Rural regions,1.0,0.06253618992472496,9970,0.057783368941344795,0.06728901090810512
1988,No migration background,Rural regions,3.0,0.054140127388535034,9970,0.049698096957196784,0.05858215781987328
1988,Direct migration background,Urban regions,1.0,0.033005211349160395,9970,0.02949840472659627,0.036512017971724514
1988,No migration background,Rural regions,4.0,0.029530978575564564,9970,0.026207918062815864,0.03285403908831327
1988,No migration background,Rural regions,2.0,0.023161551823972205,9970,0.020208958104700685,0.026114145543243726
1988,Direct migration background,Rural regions,3.0,0.023161551823972205,9970,0.020208958104700685,0.026114145543243726
1988,Direct migration background,Urban regions,2.0,0.020845396641574986,9970,0.01804100148217102,0.023649791800978953
1988,Direct migration background,Urban regions,4.0,0.01563404748118124,9970,0.013198915539348259,0.01806917942301422
1988,Direct migration background,Rural regions,1.0,0.008106543138390272,9970,0.0063463559568028545,0.009866730319977689
1988,Indirect migration background,Urban regions,3.0,0.0052113491603937466,9970,0.0037980015495452856,0.0066246967712422075
1988,Indirect migration background,Urban regions,1.0,0.004921829762594094,9970,0.0035481029159148483,0.006295556609273339
1988,Direct migration background,Rural regions,2.0,0.0028951939779965257,9970,0.0018405212152613553,0.003949866740731696
1988,Direct migration background,Rural regions,4.0,0.0028951939779965257,9970,0.0018405212152613553,0.003949866740731696
1988,Indirect migration background,Urban regions,2.0,0.0017371163867979154,9970,0.0009196960983529904,0.0025545366752428404
1988,Indirect migration background,Rural regions,1.0,0.0014475969889982628,9970,0.00070128957106011,0.0021939044069364155
1988,Indirect migration background,Urban regions,4.0,0.0011580775911986102,9970,0.000490463181025869,0.0018256920013713515
