year,pgisced97,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,Paid,0.19041,207,207,0.13679,0.24403
1984,Lower Secondary Level,Comp. time,0.05322,181,812,0.03777,0.06867
1984,Lower Secondary Level,Some of both,0.01733,60,812,0.00835,0.02631
1984,Lower Secondary Level,Paid,0.08939,445,812,0.06975,0.10902
1984,Lower Secondary Level,Not compensated,0.03662,126,812,0.02369,0.04954
1984,Upper Secondary Level,Comp. time,0.12226,677,2350,0.10901,0.13551
1984,Upper Secondary Level,Some of both,0.04422,257,2350,0.03591,0.05254
1984,Upper Secondary Level,Paid,0.15308,994,2350,0.13852,0.16764
1984,Upper Secondary Level,Not compensated,0.07506,422,2350,0.06441,0.08572
1984,Post-secondary Non-tertiary Level,Comp. time,0.14749,37,125,0.08508,0.20991
1984,Post-secondary Non-tertiary Level,Paid,0.11371,48,125,0.05783,0.16959
1984,Post-secondary Non-tertiary Level,Not compensated,0.16576,40,125,0.10031,0.23122
1984,First Stage of Tertiary Education,Comp. time,0.15352,106,348,0.11559,0.19145
1984,First Stage of Tertiary Education,Some of both,0.07179,52,348,0.04463,0.09895
1984,First Stage of Tertiary Education,Paid,0.11539,82,348,0.08177,0.14901
1984,First Stage of Tertiary Education,Not compensated,0.16165,108,348,0.12292,0.20039
1984,Second Stage of Tertiary Education,Comp. time,0.08129,60,426,0.05531,0.10727
1984,Second Stage of Tertiary Education,Some of both,0.06439,60,426,0.04105,0.08772
1984,Second Stage of Tertiary Education,Paid,0.07623,68,426,0.05100,0.10145
1984,Second Stage of Tertiary Education,Not compensated,0.31712,238,426,0.27287,0.36136
1985,Primary Level,Paid,0.13909,131,131,0.07960,0.19857
1985,Lower Secondary Level,Comp. time,0.04935,146,667,0.03290,0.06580
1985,Lower Secondary Level,Some of both,0.02075,64,667,0.00992,0.03157
1985,Lower Secondary Level,Paid,0.08654,367,667,0.06519,0.10789
1985,Lower Secondary Level,Not compensated,0.03088,90,667,0.01774,0.04401
1985,Upper Secondary Level,Comp. time,0.10968,560,2027,0.09607,0.12328
1985,Upper Secondary Level,Some of both,0.04291,224,2027,0.03408,0.05173
1985,Upper Secondary Level,Paid,0.13642,812,2027,0.12148,0.15137
1985,Upper Secondary Level,Not compensated,0.08433,431,2027,0.07223,0.09643
1985,Post-secondary Non-tertiary Level,Paid,0.11727,42,42,0.01878,0.21575
1985,First Stage of Tertiary Education,Comp. time,0.14883,91,305,0.10882,0.18884
1985,First Stage of Tertiary Education,Some of both,0.06220,42,305,0.03505,0.08935
1985,First Stage of Tertiary Education,Paid,0.09063,65,305,0.05836,0.12290
1985,First Stage of Tertiary Education,Not compensated,0.17139,107,305,0.12903,0.21376
1985,Second Stage of Tertiary Education,Comp. time,0.09218,67,413,0.06425,0.12011
1985,Second Stage of Tertiary Education,Some of both,0.06747,54,413,0.04325,0.09169
1985,Second Stage of Tertiary Education,Paid,0.05768,51,413,0.03517,0.08020
1985,Second Stage of Tertiary Education,Not compensated,0.31690,241,413,0.27198,0.36183
1986,Primary Level,Paid,0.15549,123,123,0.09119,0.21979
1986,Lower Secondary Level,Comp. time,0.05080,147,654,0.03396,0.06764
1986,Lower Secondary Level,Some of both,0.01807,59,654,0.00785,0.02828
1986,Lower Secondary Level,Paid,0.09092,373,654,0.06887,0.11297
1986,Lower Secondary Level,Not compensated,0.02387,75,654,0.01216,0.03558
1986,Upper Secondary Level,Comp. time,0.12099,604,1940,0.10647,0.13550
1986,Upper Secondary Level,Some of both,0.04706,241,1940,0.03764,0.05649
1986,Upper Secondary Level,Paid,0.13930,812,1940,0.12388,0.15471
1986,Upper Secondary Level,Not compensated,0.05609,283,1940,0.04585,0.06633
1986,Post-secondary Non-tertiary Level,Paid,0.13733,45,45,0.03562,0.23903
1986,First Stage of Tertiary Education,Comp. time,0.13964,84,251,0.09667,0.18261
1986,First Stage of Tertiary Education,Some of both,0.05254,34,251,0.02489,0.08020
1986,First Stage of Tertiary Education,Paid,0.09974,64,251,0.06259,0.13688
1986,First Stage of Tertiary Education,Not compensated,0.10636,69,251,0.06814,0.14458
1986,Second Stage of Tertiary Education,Comp. time,0.09990,77,353,0.06857,0.13122
1986,Second Stage of Tertiary Education,Some of both,0.04596,35,353,0.02409,0.06784
1986,Second Stage of Tertiary Education,Paid,0.05411,45,353,0.03047,0.07774
1986,Second Stage of Tertiary Education,Not compensated,0.26727,196,353,0.22103,0.31350
1988,Primary Level,Paid,0.18196,130,130,0.11538,0.24853
1988,Lower Secondary Level,Comp. time,0.05956,165,670,0.04163,0.07750
1988,Lower Secondary Level,Some of both,0.02130,65,670,0.01036,0.03224
1988,Lower Secondary Level,Paid,0.09416,382,670,0.07203,0.11629
1988,Lower Secondary Level,Not compensated,0.02076,58,670,0.00996,0.03157
1988,Upper Secondary Level,Comp. time,0.13159,623,1876,0.11629,0.14689
1988,Upper Secondary Level,Some of both,0.04850,243,1876,0.03878,0.05823
1988,Upper Secondary Level,Paid,0.14073,765,1876,0.12499,0.15647
1988,Upper Secondary Level,Not compensated,0.05272,245,1876,0.04261,0.06284
1988,Post-secondary Non-tertiary Level,Paid,0.08795,36,36,-0.00588,0.18178
1988,First Stage of Tertiary Education,Comp. time,0.16627,89,237,0.11877,0.21377
1988,First Stage of Tertiary Education,Some of both,0.06457,38,237,0.03322,0.09593
1988,First Stage of Tertiary Education,Paid,0.08718,54,237,0.05119,0.12317
1988,First Stage of Tertiary Education,Not compensated,0.10110,56,237,0.06264,0.13956
1988,Second Stage of Tertiary Education,Comp. time,0.09947,78,362,0.06860,0.13034
1988,Second Stage of Tertiary Education,Some of both,0.05689,43,362,0.03299,0.08078
1988,Second Stage of Tertiary Education,Paid,0.04907,39,362,0.02679,0.07135
1988,Second Stage of Tertiary Education,Not compensated,0.29042,202,362,0.24360,0.33725
1989,Primary Level,Paid,0.20788,125,125,0.13646,0.27931
1989,Lower Secondary Level,Comp. time,0.06658,164,710,0.04823,0.08493
1989,Lower Secondary Level,Some of both,0.03096,97,710,0.01821,0.04371
1989,Lower Secondary Level,Paid,0.10328,388,710,0.08088,0.12568
1989,Lower Secondary Level,Not compensated,0.02293,61,710,0.01191,0.03394
1989,Upper Secondary Level,Comp. time,0.14047,645,2016,0.12529,0.15564
1989,Upper Secondary Level,Some of both,0.05832,280,2016,0.04809,0.06855
1989,Upper Secondary Level,Paid,0.16010,846,2016,0.14408,0.17611
1989,Upper Secondary Level,Not compensated,0.05629,245,2016,0.04622,0.06635
1989,Post-secondary Non-tertiary Level,Comp. time,0.16294,44,80,0.08150,0.24437
1989,Post-secondary Non-tertiary Level,Paid,0.09173,36,80,0.02808,0.15539
1989,First Stage of Tertiary Education,Comp. time,0.15408,81,232,0.10753,0.20064
1989,First Stage of Tertiary Education,Some of both,0.09847,54,232,0.06005,0.13689
1989,First Stage of Tertiary Education,Paid,0.09127,50,232,0.05413,0.12841
1989,First Stage of Tertiary Education,Not compensated,0.09152,47,232,0.05434,0.12871
1989,Second Stage of Tertiary Education,Comp. time,0.10173,75,356,0.07028,0.13318
1989,Second Stage of Tertiary Education,Some of both,0.07789,55,356,0.05001,0.10577
1989,Second Stage of Tertiary Education,Paid,0.04788,39,356,0.02567,0.07009
1989,Second Stage of Tertiary Education,Not compensated,0.26951,187,356,0.22335,0.31566
1990,Primary Level,Paid,0.18529,114,114,0.11365,0.25692
1990,Lower Secondary Level,Comp. time,0.07059,204,846,0.05332,0.08786
1990,Lower Secondary Level,Some of both,0.03100,110,846,0.01931,0.04269
1990,Lower Secondary Level,Paid,0.11679,478,846,0.09514,0.13845
1990,Lower Secondary Level,Not compensated,0.01829,54,846,0.00925,0.02732
1990,Upper Secondary Level,Comp. time,0.15618,1161,3472,0.14410,0.16826
