,Unnamed: 0,year,age_gr,regtyp,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,17-29 y.,Urban regions,Comp. time,0.33706,241,3649,0.31852,0.35168
1,1,1985,17-29 y.,Urban regions,Some of both,0.14374,106,3649,0.13009,0.15703
2,2,1985,17-29 y.,Urban regions,Paid,0.34912,334,3649,0.32518,0.37075
3,3,1985,17-29 y.,Urban regions,Not compensated,0.17008,132,3649,0.1572,0.18176
4,4,1985,17-29 y.,Rural regions,Comp. time,0.32601,81,3649,0.29536,0.35694
5,5,1985,17-29 y.,Rural regions,Some of both,0.12978,33,3649,0.11064,0.15031
6,6,1985,17-29 y.,Rural regions,Paid,0.32476,86,3649,0.29247,0.35234
7,7,1985,17-29 y.,Rural regions,Not compensated,0.21945,50,3649,0.2031,0.23392
8,8,1985,30-45 y.,Urban regions,Comp. time,0.24989,262,3649,0.2379,0.26128
9,9,1985,30-45 y.,Urban regions,Some of both,0.11711,133,3649,0.1087,0.12489
10,10,1985,30-45 y.,Urban regions,Paid,0.36177,512,3649,0.34258,0.38092
11,11,1985,30-45 y.,Urban regions,Not compensated,0.27122,285,3649,0.2606,0.28023
12,12,1985,30-45 y.,Rural regions,Comp. time,0.28377,76,3649,0.27268,0.29648
13,13,1985,30-45 y.,Rural regions,Paid,0.35691,129,3649,0.32705,0.38327
14,14,1985,30-45 y.,Rural regions,Not compensated,0.35932,99,3649,0.34279,0.37759
15,15,1985,46-65 y.,Urban regions,Comp. time,0.24954,191,3649,0.23679,0.26333
16,16,1985,46-65 y.,Urban regions,Some of both,0.1059,83,3649,0.09935,0.11238
17,17,1985,46-65 y.,Urban regions,Paid,0.29738,325,3649,0.27525,0.3188
18,18,1985,46-65 y.,Urban regions,Not compensated,0.34718,264,3649,0.33416,0.3604
19,19,1985,46-65 y.,Rural regions,Comp. time,0.24397,52,3649,0.2265,0.26147
20,20,1985,46-65 y.,Rural regions,Paid,0.39347,95,3649,0.36139,0.42491
21,21,1985,46-65 y.,Rural regions,Not compensated,0.36256,80,3649,0.34535,0.37916
22,22,1986,17-29 y.,Urban regions,Comp. time,0.30418,227,3455,0.28692,0.3261
23,23,1986,17-29 y.,Urban regions,Some of both,0.15753,114,3455,0.14214,0.17551
24,24,1986,17-29 y.,Urban regions,Paid,0.37447,355,3455,0.34582,0.39973
25,25,1986,17-29 y.,Urban regions,Not compensated,0.16381,127,3455,0.14804,0.17849
26,26,1986,17-29 y.,Rural regions,Comp. time,0.38088,89,3455,0.3488,0.40946
27,27,1986,17-29 y.,Rural regions,Some of both,0.14074,31,3455,0.11896,0.1604
28,28,1986,17-29 y.,Rural regions,Paid,0.36732,95,3455,0.33469,0.40347
29,29,1986,17-29 y.,Rural regions,Not compensated,0.11106,32,3455,0.09414,0.13186
30,30,1986,30-45 y.,Urban regions,Comp. time,0.29582,288,3455,0.27994,0.31382
31,31,1986,30-45 y.,Urban regions,Some of both,0.12635,137,3455,0.1146,0.13678
32,32,1986,30-45 y.,Urban regions,Paid,0.35553,468,3455,0.3365,0.37737
33,33,1986,30-45 y.,Urban regions,Not compensated,0.22231,209,3455,0.20909,0.23304
34,34,1986,30-45 y.,Rural regions,Comp. time,0.4062,107,3455,0.37787,0.42915
35,35,1986,30-45 y.,Rural regions,Paid,0.35748,111,3455,0.31932,0.39115
36,36,1986,30-45 y.,Rural regions,Not compensated,0.23631,65,3455,0.21848,0.2533
37,37,1986,46-65 y.,Urban regions,Comp. time,0.2875,205,3455,0.27075,0.30241
38,38,1986,46-65 y.,Urban regions,Some of both,0.09296,68,3455,0.08175,0.10343
39,39,1986,46-65 y.,Urban regions,Paid,0.36548,358,3455,0.33986,0.39248
40,40,1986,46-65 y.,Urban regions,Not compensated,0.25406,178,3455,0.23985,0.26807
41,41,1986,46-65 y.,Rural regions,Comp. time,0.29479,50,3455,0.26112,0.32652
42,42,1986,46-65 y.,Rural regions,Paid,0.45544,94,3455,0.40715,0.50102
43,43,1986,46-65 y.,Rural regions,Not compensated,0.24977,47,3455,0.22352,0.27757
44,44,1988,17-29 y.,Urban regions,Comp. time,0.35276,261,3401,0.32217,0.3772
45,45,1988,17-29 y.,Urban regions,Some of both,0.10379,90,3401,0.09183,0.11597
46,46,1988,17-29 y.,Urban regions,Paid,0.37199,353,3401,0.34182,0.40168
47,47,1988,17-29 y.,Urban regions,Not compensated,0.17146,125,3401,0.15266,0.19089
48,48,1988,17-29 y.,Rural regions,Comp. time,0.39275,94,3401,0.34783,0.43859
49,49,1988,17-29 y.,Rural regions,Some of both,0.18387,41,3401,0.16057,0.20719
50,50,1988,17-29 y.,Rural regions,Paid,0.27812,81,3401,0.23791,0.31751
51,51,1988,17-29 y.,Rural regions,Not compensated,0.14526,34,3401,0.11815,0.16562
52,52,1988,30-45 y.,Urban regions,Comp. time,0.27954,275,3401,0.25976,0.2958
53,53,1988,30-45 y.,Urban regions,Some of both,0.13633,142,3401,0.12363,0.14797
54,54,1988,30-45 y.,Urban regions,Paid,0.35904,468,3401,0.33486,0.37842
55,55,1988,30-45 y.,Urban regions,Not compensated,0.22509,197,3401,0.2128,0.23957
56,56,1988,30-45 y.,Rural regions,Comp. time,0.41929,95,3401,0.38464,0.45146
57,57,1988,30-45 y.,Rural regions,Paid,0.41531,117,3401,0.36275,0.45421
58,58,1988,30-45 y.,Rural regions,Not compensated,0.1654,38,3401,0.14291,0.18289
59,59,1988,46-65 y.,Urban regions,Comp. time,0.32305,231,3401,0.30699,0.34057
60,60,1988,46-65 y.,Urban regions,Some of both,0.1264,96,3401,0.11288,0.13759
