syear,migback,sampreg,plb0195_h,proportion,n,lower_confidence,upper_confidence
1984,No migration background,West,3.0,0.2473514509442653,12164,0.23968364327270997,0.25501925861582064
1984,No migration background,West,1.0,0.21441731920773838,12164,0.20712368889586036,0.2217109495196164
1984,No migration background,West,4.0,0.1911561492399816,12164,0.18416828681216105,0.19814401166780213
1984,Direct migration background,West,3.0,0.17664670658682635,12164,0.16986929670498627,0.18342411646866644
1984,No migration background,West,2.0,0.08705665591893137,12164,0.0820466208096018,0.09206669102826094
1984,Direct migration background,West,1.0,0.0327038231229848,12164,0.029543024234925556,0.03586462201104405
1984,Direct migration background,West,4.0,0.02487333026255182,12164,0.022105653604077243,0.027641006921026397
1984,Direct migration background,West,2.0,0.01911561492399816,12164,0.016682173410140836,0.02154905643785548
1984,Indirect migration background,West,3.0,0.0029940119760479044,12164,0.0020230694667409998,0.003964954485354809
1984,Indirect migration background,West,4.0,0.0020727775218793184,12164,0.0012645313697040293,0.0028810236740546076
1984,Indirect migration background,West,1.0,0.0016121602947950253,12164,0.0008991897018090376,0.0023251308877810127
1985,No migration background,West,3.0,0.24392876416621695,11026,0.23591272292293716,0.25194480540949676
1985,No migration background,West,4.0,0.22450080949811116,11026,0.21671243712916194,0.23228918186706038
1985,No migration background,West,1.0,0.21289800323799243,11026,0.20525703528049075,0.22053897119549412
1985,Direct migration background,West,3.0,0.15299514301133296,11026,0.1462757684693797,0.15971451755328622
1985,No migration background,West,2.0,0.08904479222881813,11026,0.08372861009931695,0.0943609743583193
1985,Direct migration background,West,1.0,0.02914193200215866,11026,0.02600226116146181,0.03228160284285551
1985,Direct migration background,West,4.0,0.021856449001618997,11026,0.019127231314091584,0.02458566668914641
1985,Direct migration background,West,2.0,0.0186184565569347,11026,0.01609533683537859,0.021141576278490812
1985,Indirect migration background,West,3.0,0.0029681597409606042,11026,0.0019527408793612016,0.003983578602560007
1985,Indirect migration background,West,1.0,0.0016189962223421479,11026,0.0008685524644734042,0.0023694399802108917
1985,Indirect migration background,West,4.0,0.0013491635186184566,11026,0.000664012658888615,0.002034314378348298
1985,Indirect migration background,West,2.0,0.0010793308148947653,11026,0.00046643047079939393,0.0016922311589901366
1986,No migration background,West,3.0,0.2552826956025129,10583,0.24697543022214588,0.26358996098287985
