year,bula_h,migback,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Comp. time,0.07991,35,85,0.02192,0.13790
1984,Schleswig-Holstein,No migration background,Paid,0.11884,50,85,0.04964,0.18805
1984,Lower Saxony,No migration background,Comp. time,0.09300,120,385,0.06395,0.12205
1984,Lower Saxony,No migration background,Some of both,0.03425,46,385,0.01606,0.05244
1984,Lower Saxony,No migration background,Paid,0.09340,120,385,0.06430,0.12251
1984,Lower Saxony,No migration background,Not compensated,0.07432,99,385,0.04808,0.10055
1984,Lower Saxony,Direct migration background,Paid,0.20127,38,38,0.07208,0.33047
1984,North Rhine-Westphalia,No migration background,Comp. time,0.07429,216,824,0.05637,0.09220
1984,North Rhine-Westphalia,No migration background,Some of both,0.03397,102,824,0.02159,0.04635
1984,North Rhine-Westphalia,No migration background,Paid,0.10192,292,824,0.08125,0.12259
1984,North Rhine-Westphalia,No migration background,Not compensated,0.07536,214,824,0.05733,0.09339
1984,North Rhine-Westphalia,Direct migration background,Comp. time,0.04374,32,263,0.01898,0.06850
1984,North Rhine-Westphalia,Direct migration background,Paid,0.17004,231,263,0.12455,0.21553
1984,Hesse,No migration background,Comp. time,0.10391,96,300,0.06932,0.13850
1984,Hesse,No migration background,Some of both,0.03533,35,300,0.01441,0.05626
1984,Hesse,No migration background,Paid,0.09412,89,300,0.06103,0.12722
1984,Hesse,No migration background,Not compensated,0.08766,80,300,0.05560,0.11971
1984,Hesse,Direct migration background,Paid,0.18821,101,101,0.11160,0.26483
1984,"Rhineland-Palatinate, Saarland",No migration background,Comp. time,0.07098,60,195,0.03485,0.10712
1984,"Rhineland-Palatinate, Saarland",No migration background,Paid,0.09539,80,195,0.05405,0.13673
1984,"Rhineland-Palatinate, Saarland",No migration background,Not compensated,0.06621,55,195,0.03122,0.10120
1984,"Rhineland-Palatinate, Saarland",Direct migration background,Paid,0.19176,33,33,0.05535,0.32816
1984,Baden-Wuerttemberg,No migration background,Comp. time,0.07010,122,526,0.04826,0.09194
1984,Baden-Wuerttemberg,No migration background,Some of both,0.03024,57,526,0.01559,0.04489
1984,Baden-Wuerttemberg,No migration background,Paid,0.11394,197,526,0.08676,0.14112
1984,Baden-Wuerttemberg,No migration background,Not compensated,0.08575,150,526,0.06180,0.10970
1984,Baden-Wuerttemberg,Direct migration background,Paid,0.18755,201,201,0.13345,0.24165
1984,Bavaria,No migration background,Comp. time,0.09335,195,609,0.07022,0.11647
1984,Bavaria,No migration background,Some of both,0.04037,84,609,0.02473,0.05602
1984,Bavaria,No migration background,Paid,0.08130,166,609,0.05957,0.10302
1984,Bavaria,No migration background,Not compensated,0.08174,164,609,0.05996,0.10351
1984,Bavaria,Direct migration background,Comp. time,0.09364,31,129,0.04317,0.14411
1984,Bavaria,Direct migration background,Paid,0.12937,98,129,0.07123,0.18751
1984,Berlin,No migration background,Comp. time,0.14187,52,91,0.06978,0.21396
1984,Berlin,No migration background,Paid,0.10797,39,91,0.04386,0.17209
1985,Schleswig-Holstein,No migration background,Comp. time,0.08383,33,87,0.02526,0.14240
1985,Schleswig-Holstein,No migration background,Paid,0.13470,54,87,0.06254,0.20685
1985,Lower Saxony,No migration background,Comp. time,0.08978,106,305,0.05765,0.12192
1985,Lower Saxony,No migration background,Paid,0.08820,103,305,0.05632,0.12008
1985,Lower Saxony,No migration background,Not compensated,0.08021,96,305,0.04968,0.11074
1985,North Rhine-Westphalia,No migration background,Comp. time,0.07256,192,739,0.05384,0.09127
1985,North Rhine-Westphalia,No migration background,Some of both,0.03052,83,739,0.01811,0.04293
1985,North Rhine-Westphalia,No migration background,Paid,0.09070,245,739,0.06998,0.11142
1985,North Rhine-Westphalia,No migration background,Not compensated,0.08077,219,739,0.06111,0.10043
1985,North Rhine-Westphalia,Direct migration background,Paid,0.16008,183,183,0.10681,0.21336
1985,Hesse,No migration background,Comp. time,0.09692,80,264,0.06116,0.13268
1985,Hesse,No migration background,Some of both,0.03949,32,264,0.01595,0.06303
1985,Hesse,No migration background,Paid,0.07795,69,264,0.04555,0.11035
1985,Hesse,No migration background,Not compensated,0.09539,83,264,0.05988,0.13089
1985,Hesse,Direct migration background,Paid,0.14572,75,75,0.06533,0.22611
1985,"Rhineland-Palatinate, Saarland",No migration background,Comp. time,0.05825,43,159,0.02173,0.09477
1985,"Rhineland-Palatinate, Saarland",No migration background,Paid,0.08338,66,159,0.04027,0.12648
1985,"Rhineland-Palatinate, Saarland",No migration background,Not compensated,0.06319,50,159,0.02525,0.10113
1985,Baden-Wuerttemberg,No migration background,Comp. time,0.06716,102,472,0.04455,0.08976
1985,Baden-Wuerttemberg,No migration background,Some of both,0.03649,60,472,0.01956,0.05343
1985,Baden-Wuerttemberg,No migration background,Paid,0.10332,163,472,0.07583,0.13081
