year,migback,sex,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Comp. time,0.22874,489,4288,0.22849,0.22900
1984,No migration background,male,Some of both,0.11755,261,4288,0.11736,0.11775
1984,No migration background,male,Paid,0.38411,818,4288,0.38382,0.38441
1984,No migration background,male,Not compensated,0.26959,580,4288,0.26933,0.26986
1984,No migration background,female,Comp. time,0.41269,442,4288,0.41227,0.41312
1984,No migration background,female,Some of both,0.10688,117,4288,0.10662,0.10715
1984,No migration background,female,Paid,0.24010,256,4288,0.23973,0.24047
1984,No migration background,female,Not compensated,0.24032,250,4288,0.23995,0.24070
1984,Direct migration background,male,Comp. time,0.16405,78,4288,0.16336,0.16474
1984,Direct migration background,male,Some of both,0.06654,58,4288,0.06608,0.06701
1984,Direct migration background,male,Paid,0.64356,614,4288,0.64267,0.64445
1984,Direct migration background,male,Not compensated,0.12585,70,4288,0.12523,0.12647
1984,Direct migration background,female,Comp. time,0.36984,64,4288,0.36837,0.37130
1984,Direct migration background,female,Paid,0.43882,153,4288,0.43731,0.44032
1984,Direct migration background,female,Not compensated,0.19135,38,4288,0.19016,0.19254
1985,No migration background,male,Comp. time,0.21604,399,3635,0.21579,0.21630
1985,No migration background,male,Some of both,0.11671,222,3635,0.11651,0.11691
1985,No migration background,male,Paid,0.36173,673,3635,0.36143,0.36203
1985,No migration background,male,Not compensated,0.30552,578,3635,0.30523,0.30581
1985,No migration background,female,Comp. time,0.40176,390,3635,0.40134,0.40218
1985,No migration background,female,Some of both,0.11199,108,3635,0.11172,0.11226
1985,No migration background,female,Paid,0.22770,231,3635,0.22734,0.22806
1985,No migration background,female,Not compensated,0.25855,254,3635,0.25817,0.25892
1985,Direct migration background,male,Comp. time,0.12438,56,3635,0.12373,0.12503
1985,Direct migration background,male,Some of both,0.13158,54,3635,0.13091,0.13225
1985,Direct migration background,male,Paid,0.61928,455,3635,0.61832,0.62024
1985,Direct migration background,male,Not compensated,0.12476,51,3635,0.12411,0.12542
1985,Direct migration background,female,Comp. time,0.46512,52,3635,0.46339,0.46685
1985,Direct migration background,female,Paid,0.53488,112,3635,0.53315,0.53661
1986,No migration background,male,Comp. time,0.25446,429,3416,0.25418,0.25474
1986,No migration background,male,Some of both,0.12926,214,3416,0.12904,0.12948
1986,No migration background,male,Paid,0.40532,675,3416,0.40501,0.40564
1986,No migration background,male,Not compensated,0.21096,366,3416,0.21070,0.21123
1986,No migration background,female,Comp. time,0.43635,400,3416,0.43592,0.43678
1986,No migration background,female,Some of both,0.10997,102,3416,0.10970,0.11024
1986,No migration background,female,Paid,0.23469,219,3416,0.23432,0.23505
1986,No migration background,female,Not compensated,0.21899,203,3416,0.21863,0.21935
1986,Direct migration background,male,Comp. time,0.13809,76,3416,0.13744,0.13874
1986,Direct migration background,male,Some of both,0.10085,54,3416,0.10028,0.10142
1986,Direct migration background,male,Paid,0.62825,477,3416,0.62733,0.62916
1986,Direct migration background,male,Not compensated,0.13281,53,3416,0.13216,0.13345
1986,Direct migration background,female,Comp. time,0.51035,53,3416,0.50861,0.51209
1986,Direct migration background,female,Paid,0.48965,95,3416,0.48791,0.49139
1988,No migration background,male,Comp. time,0.26986,449,3363,0.26958,0.27014
1988,No migration background,male,Some of both,0.14001,228,3363,0.13979,0.14023
1988,No migration background,male,Paid,0.37739,597,3363,0.37708,0.37769
1988,No migration background,male,Not compensated,0.21274,340,3363,0.21248,0.21300
1988,No migration background,female,Comp. time,0.45649,405,3363,0.45607,0.45690
1988,No migration background,female,Some of both,0.11120,102,3363,0.11094,0.11147
1988,No migration background,female,Paid,0.22910,221,3363,0.22874,0.22945
1988,No migration background,female,Not compensated,0.20322,183,3363,0.20288,0.20356
1988,Direct migration background,male,Comp. time,0.15341,75,3363,0.15276,0.15406
1988,Direct migration background,male,Some of both,0.10724,66,3363,0.10668,0.10780
1988,Direct migration background,male,Paid,0.63450,460,3363,0.63363,0.63537
1988,Direct migration background,male,Not compensated,0.10485,41,3363,0.10430,0.10541
1988,Direct migration background,female,Comp. time,0.52874,67,3363,0.52717,0.53030
1988,Direct migration background,female,Paid,0.47126,129,3363,0.46970,0.47283
1989,No migration background,male,Comp. time,0.26251,436,3529,0.26225,0.26278
1989,No migration background,male,Some of both,0.15778,268,3529,0.15756,0.15800
1989,No migration background,male,Paid,0.38101,634,3529,0.38072,0.38131
