year,pgisced97,sex,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,Primary Level,male,Paid,1.00000,157,4061,1.00000,1.00000
1984,Primary Level,female,Paid,1.00000,50,4061,1.00000,1.00000
1984,Lower Secondary Level,male,Comp. time,0.19623,72,4061,0.19556,0.19689
1984,Lower Secondary Level,male,Some of both,0.11832,41,4061,0.11778,0.11886
1984,Lower Secondary Level,male,Paid,0.55486,290,4061,0.55403,0.55569
1984,Lower Secondary Level,male,Not compensated,0.13059,49,4061,0.13003,0.13115
1984,Lower Secondary Level,female,Comp. time,0.36481,109,4061,0.36399,0.36563
1984,Lower Secondary Level,female,Paid,0.37965,155,4061,0.37883,0.38048
1984,Lower Secondary Level,female,Not compensated,0.25554,77,4061,0.25479,0.25628
1984,Upper Secondary Level,male,Comp. time,0.25356,381,4061,0.25324,0.25388
1984,Upper Secondary Level,male,Some of both,0.10660,172,4061,0.10638,0.10683
1984,Upper Secondary Level,male,Paid,0.45745,830,4061,0.45708,0.45781
1984,Upper Secondary Level,male,Not compensated,0.18239,285,4061,0.18211,0.18268
1984,Upper Secondary Level,female,Comp. time,0.44065,295,4061,0.44009,0.44121
1984,Upper Secondary Level,female,Some of both,0.12503,85,4061,0.12466,0.12540
1984,Upper Secondary Level,female,Paid,0.22548,164,4061,0.22501,0.22596
1984,Upper Secondary Level,female,Not compensated,0.20884,137,4061,0.20838,0.20930
1984,Post-secondary Non-tertiary Level,male,Paid,1.00000,40,4061,1.00000,1.00000
1984,First Stage of Tertiary Education,male,Comp. time,0.22193,53,4061,0.22117,0.22269
1984,First Stage of Tertiary Education,male,Some of both,0.15021,37,4061,0.14955,0.15086
1984,First Stage of Tertiary Education,male,Paid,0.26240,65,4061,0.26160,0.26321
1984,First Stage of Tertiary Education,male,Not compensated,0.36546,87,4061,0.36458,0.36634
1984,First Stage of Tertiary Education,female,Comp. time,1.00000,54,4061,1.00000,1.00000
1984,Second Stage of Tertiary Education,male,Comp. time,0.12767,39,4061,0.12714,0.12820
1984,Second Stage of Tertiary Education,male,Some of both,0.11505,46,4061,0.11454,0.11555
1984,Second Stage of Tertiary Education,male,Paid,0.13418,53,4061,0.13363,0.13472
1984,Second Stage of Tertiary Education,male,Not compensated,0.62311,197,4061,0.62234,0.62388
1984,Second Stage of Tertiary Education,female,Not compensated,1.00000,41,4061,1.00000,1.00000
1985,Primary Level,male,Paid,1.00000,98,3429,1.00000,1.00000
1985,Primary Level,female,Paid,1.00000,33,3429,1.00000,1.00000
1985,Lower Secondary Level,male,Comp. time,0.19337,51,3429,0.19264,0.19410
1985,Lower Secondary Level,male,Some of both,0.13388,37,3429,0.13325,0.13451
1985,Lower Secondary Level,male,Paid,0.67275,251,3429,0.67188,0.67362
1985,Lower Secondary Level,female,Comp. time,0.38204,95,3429,0.38119,0.38289
1985,Lower Secondary Level,female,Paid,0.37124,116,3429,0.37039,0.37209
1985,Lower Secondary Level,female,Not compensated,0.24672,63,3429,0.24596,0.24747
1985,Upper Secondary Level,male,Comp. time,0.23309,306,3429,0.23277,0.23341
1985,Upper Secondary Level,male,Some of both,0.11474,155,3429,0.11450,0.11499
1985,Upper Secondary Level,male,Paid,0.42633,651,3429,0.42595,0.42671
1985,Upper Secondary Level,male,Not compensated,0.22584,296,3429,0.22552,0.22616
1985,Upper Secondary Level,female,Comp. time,0.42525,253,3429,0.42470,0.42581
1985,Upper Secondary Level,female,Some of both,0.11537,69,3429,0.11500,0.11573
1985,Upper Secondary Level,female,Paid,0.23269,161,3429,0.23222,0.23317
1985,Upper Secondary Level,female,Not compensated,0.22669,135,3429,0.22621,0.22716
1985,Post-secondary Non-tertiary Level,male,Paid,1.00000,36,3429,1.00000,1.00000
1985,First Stage of Tertiary Education,male,Comp. time,0.22595,46,3429,0.22517,0.22672
1985,First Stage of Tertiary Education,male,Some of both,0.14021,31,3429,0.13957,0.14085
1985,First Stage of Tertiary Education,male,Paid,0.21280,50,3429,0.21204,0.21355
1985,First Stage of Tertiary Education,male,Not compensated,0.42105,88,3429,0.42014,0.42196
1985,First Stage of Tertiary Education,female,Comp. time,1.00000,46,3429,1.00000,1.00000
1985,Second Stage of Tertiary Education,male,Comp. time,0.14883,41,3429,0.14826,0.14940
1985,Second Stage of Tertiary Education,male,Some of both,0.11687,40,3429,0.11636,0.11739
1985,Second Stage of Tertiary Education,male,Paid,0.11601,40,3429,0.11549,0.11652
1985,Second Stage of Tertiary Education,male,Not compensated,0.61830,188,3429,0.61752,0.61907
1985,Second Stage of Tertiary Education,female,Not compensated,1.00000,53,3429,1.00000,1.00000
1986,Primary Level,male,Paid,1.00000,96,3208,1.00000,1.00000
1986,Lower Secondary Level,male,Comp. time,0.18229,59,3208,0.18161,0.18298
1986,Lower Secondary Level,male,Some of both,0.10717,36,3208,0.10662,0.10771
1986,Lower Secondary Level,male,Paid,0.61106,253,3208,0.61019,0.61192
1986,Lower Secondary Level,male,Not compensated,0.09949,32,3208,0.09896,0.10002
1986,Lower Secondary Level,female,Comp. time,0.40295,88,3208,0.40206,0.40384
1986,Lower Secondary Level,female,Paid,0.42238,120,3208,0.42148,0.42327
1986,Lower Secondary Level,female,Not compensated,0.17467,43,3208,0.17398,0.17536
1986,Upper Secondary Level,male,Comp. time,0.26916,330,3208,0.26882,0.26951
1986,Upper Secondary Level,male,Some of both,0.13069,165,3208,0.13043,0.13095
1986,Upper Secondary Level,male,Paid,0.46316,671,3208,0.46277,0.46354
1986,Upper Secondary Level,male,Not compensated,0.13699,171,3208,0.13672,0.13725
1986,Upper Secondary Level,female,Comp. time,0.46443,273,3208,0.46387,0.46498
1986,Upper Secondary Level,female,Some of both,0.12720,76,3208,0.12683,0.12757
1986,Upper Secondary Level,female,Paid,0.21771,141,3208,0.21725,0.21817
1986,Upper Secondary Level,female,Not compensated,0.19067,112,3208,0.19023,0.19111
1986,Post-secondary Non-tertiary Level,male,Paid,1.00000,39,3208,1.00000,1.00000
1986,First Stage of Tertiary Education,male,Comp. time,0.32266,44,3208,0.32160,0.32372
1986,First Stage of Tertiary Education,male,Paid,0.34322,49,3208,0.34214,0.34430
