year,regtyp,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Comp. time,0.07900,346,1945,0.06701,0.09099
1985,Urban regions,male,Some of both,0.04738,224,1945,0.03794,0.05683
1985,Urban regions,male,Paid,0.14862,902,1945,0.13280,0.16443
1985,Urban regions,male,Not compensated,0.10696,473,1945,0.09322,0.12070
1985,Urban regions,female,Comp. time,0.07402,353,941,0.05729,0.09076
1985,Urban regions,female,Some of both,0.02074,99,941,0.01163,0.02985
1985,Urban regions,female,Paid,0.04255,271,941,0.02964,0.05545
1985,Urban regions,female,Not compensated,0.04527,218,941,0.03198,0.05856
1985,Rural regions,male,Comp. time,0.07873,110,557,0.05634,0.10111
1985,Rural regions,male,Some of both,0.03722,54,557,0.02148,0.05296
1985,Rural regions,male,Paid,0.14178,234,557,0.11279,0.17078
1985,Rural regions,male,Not compensated,0.11950,159,557,0.09254,0.14646
1985,Rural regions,female,Comp. time,0.06308,94,237,0.03206,0.09409
1985,Rural regions,female,Paid,0.04575,75,237,0.01909,0.07241
1985,Rural regions,female,Not compensated,0.04487,68,237,0.01845,0.07128
1986,Urban regions,male,Comp. time,0.08449,379,1870,0.07188,0.09710
1986,Urban regions,male,Some of both,0.05008,226,1870,0.04019,0.05997
1986,Urban regions,male,Paid,0.15726,933,1870,0.14075,0.17376
1986,Urban regions,male,Not compensated,0.07629,332,1870,0.06425,0.08832
1986,Urban regions,female,Comp. time,0.07498,345,876,0.05753,0.09243
1986,Urban regions,female,Some of both,0.01808,93,876,0.00925,0.02691
1986,Urban regions,female,Paid,0.04322,253,876,0.02975,0.05670
1986,Urban regions,female,Not compensated,0.04064,185,876,0.02756,0.05373
1986,Rural regions,male,Comp. time,0.09778,131,499,0.07169,0.12386
1986,Rural regions,male,Some of both,0.03415,47,499,0.01820,0.05010
1986,Rural regions,male,Paid,0.15010,230,499,0.11873,0.18147
1986,Rural regions,male,Not compensated,0.06527,91,499,0.04357,0.08696
1986,Rural regions,female,Comp. time,0.07883,111,229,0.04385,0.11381
1986,Rural regions,female,Paid,0.04385,67,229,0.01727,0.07043
1986,Rural regions,female,Not compensated,0.03120,51,229,0.00863,0.05377
1988,Urban regions,male,Comp. time,0.09236,394,1819,0.07905,0.10567
1988,Urban regions,male,Some of both,0.05212,236,1819,0.04191,0.06234
1988,Urban regions,male,Paid,0.16071,877,1819,0.14383,0.17759
1988,Urban regions,male,Not compensated,0.08031,312,1819,0.06782,0.09281
1988,Urban regions,female,Comp. time,0.08884,378,922,0.07047,0.10722
1988,Urban regions,female,Some of both,0.01966,93,922,0.01069,0.02863
1988,Urban regions,female,Paid,0.04645,283,922,0.03285,0.06004
1988,Urban regions,female,Not compensated,0.03951,168,922,0.02693,0.05209
1988,Rural regions,male,Comp. time,0.10734,139,468,0.07926,0.13541
1988,Rural regions,male,Some of both,0.04850,63,468,0.02902,0.06799
1988,Rural regions,male,Paid,0.12238,196,468,0.09266,0.15210
1988,Rural regions,male,Not compensated,0.05682,70,468,0.03583,0.07782
1988,Rural regions,female,Comp. time,0.07781,107,219,0.04225,0.11337
1988,Rural regions,female,Paid,0.04353,71,219,0.01644,0.07062
1988,Rural regions,female,Not compensated,0.03075,41,219,0.00783,0.05367
1989,Urban regions,male,Comp. time,0.09729,385,1881,0.08389,0.11069
1989,Urban regions,male,Some of both,0.06720,294,1881,0.05588,0.07851
1989,Urban regions,male,Paid,0.16927,908,1881,0.15231,0.18622
1989,Urban regions,male,Not compensated,0.07621,294,1881,0.06422,0.08821
1989,Urban regions,female,Comp. time,0.09791,419,1022,0.07968,0.11614
1989,Urban regions,female,Some of both,0.02636,123,1022,0.01653,0.03619
1989,Urban regions,female,Paid,0.05571,314,1022,0.04164,0.06978
1989,Urban regions,female,Not compensated,0.04110,166,1022,0.02892,0.05327
1989,Rural regions,male,Comp. time,0.10842,135,486,0.08075,0.13609
1989,Rural regions,male,Some of both,0.06119,76,486,0.03986,0.08253
