year,age_gr,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Comp. time,0.13344,373,1234,0.11445,0.15242
1984,17-29 y.,Some of both,0.05387,158,1234,0.04127,0.06647
1984,17-29 y.,Paid,0.14856,527,1234,0.12871,0.16842
1984,17-29 y.,Not compensated,0.06085,176,1234,0.04751,0.07420
1984,30-45 y.,Comp. time,0.13516,422,1834,0.11951,0.15081
1984,30-45 y.,Some of both,0.05996,202,1834,0.04909,0.07083
1984,30-45 y.,Paid,0.18192,785,1834,0.16426,0.19958
1984,30-45 y.,Not compensated,0.13810,425,1834,0.12231,0.15390
1984,46-65 y.,Comp. time,0.09046,282,1255,0.07459,0.10634
1984,46-65 y.,Some of both,0.02888,101,1255,0.01961,0.03814
1984,46-65 y.,Paid,0.12350,538,1255,0.10529,0.14171
1984,46-65 y.,Not compensated,0.10688,334,1255,0.08978,0.12399
1985,17-29 y.,Comp. time,0.12452,322,1063,0.10466,0.14438
1985,17-29 y.,Some of both,0.05215,139,1063,0.03877,0.06552
1985,17-29 y.,Paid,0.12755,420,1063,0.10749,0.14762
1985,17-29 y.,Not compensated,0.06796,182,1063,0.05283,0.08310
1985,30-45 y.,Comp. time,0.12315,338,1522,0.10664,0.13967
1985,30-45 y.,Some of both,0.05319,159,1522,0.04191,0.06447
1985,30-45 y.,Paid,0.17276,641,1522,0.15376,0.19175
1985,30-45 y.,Not compensated,0.13901,384,1522,0.12163,0.15640
1985,46-65 y.,Comp. time,0.08295,243,1112,0.06673,0.09917
1985,46-65 y.,Some of both,0.03509,105,1112,0.02427,0.04590
1985,46-65 y.,Paid,0.10690,420,1112,0.08873,0.12507
1985,46-65 y.,Not compensated,0.11722,344,1112,0.09830,0.13613
1986,17-29 y.,Comp. time,0.12585,316,1071,0.10597,0.14572
1986,17-29 y.,Some of both,0.05947,145,1071,0.04530,0.07364
1986,17-29 y.,Paid,0.14457,450,1071,0.12349,0.16564
1986,17-29 y.,Not compensated,0.05916,160,1071,0.04502,0.07330
1986,30-45 y.,Comp. time,0.14890,395,1406,0.13029,0.16751
1986,30-45 y.,Some of both,0.05409,159,1406,0.04226,0.06591
1986,30-45 y.,Paid,0.16569,579,1406,0.14625,0.18513
1986,30-45 y.,Not compensated,0.10398,273,1406,0.08802,0.11994
1986,46-65 y.,Comp. time,0.08681,255,1022,0.06954,0.10408
1986,46-65 y.,Some of both,0.02905,90,1022,0.01875,0.03935
1986,46-65 y.,Paid,0.11550,452,1022,0.09589,0.13511
1986,46-65 y.,Not compensated,0.07602,225,1022,0.05976,0.09228
1988,17-29 y.,Comp. time,0.15338,355,1079,0.13187,0.17490
1988,17-29 y.,Some of both,0.05213,131,1079,0.03886,0.06540
1988,17-29 y.,Paid,0.14788,434,1079,0.12669,0.16907
1988,17-29 y.,Not compensated,0.06993,159,1079,0.05470,0.08515
1988,30-45 y.,Comp. time,0.14716,370,1359,0.12832,0.16600
1988,30-45 y.,Some of both,0.06307,169,1359,0.05014,0.07599
1988,30-45 y.,Paid,0.17755,585,1359,0.15722,0.19787
1988,30-45 y.,Not compensated,0.10238,235,1359,0.08626,0.11850
1988,46-65 y.,Comp. time,0.10554,291,1011,0.08659,0.12448
1988,46-65 y.,Some of both,0.04076,117,1011,0.02857,0.05296
1988,46-65 y.,Paid,0.10773,408,1011,0.08861,0.12686
1988,46-65 y.,Not compensated,0.07135,195,1011,0.05547,0.08722
1989,17-29 y.,Comp. time,0.15110,354,1131,0.13021,0.17198
1989,17-29 y.,Some of both,0.06357,166,1131,0.04935,0.07780
1989,17-29 y.,Paid,0.16252,470,1131,0.14101,0.18403
1989,17-29 y.,Not compensated,0.06123,141,1131,0.04725,0.07521
1989,30-45 y.,Comp. time,0.16192,400,1434,0.14285,0.18099
1989,30-45 y.,Some of both,0.09032,222,1434,0.07548,0.10516
1989,30-45 y.,Paid,0.19235,590,1434,0.17194,0.21275
1989,30-45 y.,Not compensated,0.09615,222,1434,0.08089,0.11142
1989,46-65 y.,Comp. time,0.11386,286,1077,0.09488,0.13284
1989,46-65 y.,Some of both,0.04806,138,1077,0.03528,0.06084
1989,46-65 y.,Paid,0.12279,448,1077,0.10318,0.14240
1989,46-65 y.,Not compensated,0.08275,205,1077,0.06629,0.09921
1990,17-29 y.,Comp. time,0.16827,597,1775,0.15086,0.18568
1990,17-29 y.,Some of both,0.07269,287,1775,0.06061,0.08477
1990,17-29 y.,Paid,0.18248,741,1775,0.16451,0.20045
1990,17-29 y.,Not compensated,0.05170,150,1775,0.04140,0.06201
1990,30-45 y.,Comp. time,0.19308,812,2516,0.17766,0.20851
1990,30-45 y.,Some of both,0.09478,394,2516,0.08333,0.10623
1990,30-45 y.,Paid,0.19820,985,2516,0.18262,0.21378
1990,30-45 y.,Not compensated,0.08937,325,2516,0.07822,0.10052
1990,46-65 y.,Comp. time,0.13747,561,1839,0.12173,0.15322
1990,46-65 y.,Some of both,0.04951,239,1839,0.03959,0.05943
1990,46-65 y.,Paid,0.15209,763,1839,0.13568,0.16851
1990,46-65 y.,Not compensated,0.07470,276,1839,0.06268,0.08672
1991,17-29 y.,Comp. time,0.17552,607,1658,0.15720,0.19384
1991,17-29 y.,Some of both,0.07595,262,1658,0.06320,0.08871
1991,17-29 y.,Paid,0.17430,644,1658,0.15603,0.19256
1991,17-29 y.,Not compensated,0.05237,145,1658,0.04164,0.06309
1991,30-45 y.,Comp. time,0.20402,880,2436,0.18801,0.22003
1991,30-45 y.,Some of both,0.08539,344,2436,0.07429,0.09649
1991,30-45 y.,Paid,0.19764,868,2436,0.18182,0.21346
1991,30-45 y.,Not compensated,0.08605,344,2436,0.07491,0.09719
1991,46-65 y.,Comp. time,0.13327,526,1615,0.11669,0.14986
1991,46-65 y.,Some of both,0.05031,209,1615,0.03964,0.06097
1991,46-65 y.,Paid,0.12732,578,1615,0.11106,0.14358
1991,46-65 y.,Not compensated,0.08373,302,1615,0.07022,0.09724
1992,17-29 y.,Comp. time,0.17839,567,1558,0.15938,0.19741
1992,17-29 y.,Some of both,0.08445,267,1558,0.07064,0.09827
1992,17-29 y.,Paid,0.15669,571,1558,0.13864,0.17475
1992,17-29 y.,Not compensated,0.04767,153,1558,0.03709,0.05825
1992,30-45 y.,Comp. time,0.19490,803,2358,0.17891,0.21089
1992,30-45 y.,Some of both,0.10282,419,2358,0.09056,0.11509
1992,30-45 y.,Paid,0.18525,793,2358,0.16956,0.20093
1992,30-45 y.,Not compensated,0.08493,343,2358,0.07367,0.09618
1992,46-65 y.,Comp. time,0.12175,474,1460,0.10497,0.13852
1992,46-65 y.,Some of both,0.04948,201,1460,0.03835,0.06061
1992,46-65 y.,Paid,0.11405,510,1460,0.09774,0.13036
1992,46-65 y.,Not compensated,0.07588,275,1460,0.06229,0.08947
1993,17-29 y.,Comp. time,0.17250,554,1503,0.15340,0.19161
1993,17-29 y.,Some of both,0.08249,278,1503,0.06858,0.09640
