year,migback,quintil_oecd,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Comp. time,0.24459,66,241,0.19020,0.29897
1984,No migration background,1st Quintile,Paid,0.48418,128,241,0.42096,0.54741
1984,No migration background,1st Quintile,Not compensated,0.17869,47,241,0.13022,0.22716
1984,No migration background,2nd Quintile,Comp. time,0.30075,141,483,0.25981,0.34169
1984,No migration background,2nd Quintile,Some of both,0.11754,57,483,0.08879,0.14629
1984,No migration background,2nd Quintile,Paid,0.40378,199,483,0.35998,0.44759
1984,No migration background,2nd Quintile,Not compensated,0.17793,86,483,0.14378,0.21207
1984,No migration background,3rd Quintile,Comp. time,0.32395,208,654,0.28806,0.35984
1984,No migration background,3rd Quintile,Some of both,0.14376,97,654,0.11685,0.17067
1984,No migration background,3rd Quintile,Paid,0.37652,243,654,0.33936,0.41369
1984,No migration background,3rd Quintile,Not compensated,0.15577,106,654,0.12795,0.18358
1984,No migration background,4th Quintile,Comp. time,0.29418,235,781,0.26220,0.32616
1984,No migration background,4th Quintile,Some of both,0.10949,88,781,0.08757,0.13140
1984,No migration background,4th Quintile,Paid,0.33574,255,781,0.30260,0.36888
1984,No migration background,4th Quintile,Not compensated,0.26059,203,781,0.22979,0.29140
1984,No migration background,5th Quintile,Comp. time,0.26871,281,1027,0.24159,0.29584
1984,No migration background,5th Quintile,Some of both,0.10269,111,1027,0.08411,0.12126
1984,No migration background,5th Quintile,Paid,0.24021,247,1027,0.21407,0.26635
1984,No migration background,5th Quintile,Not compensated,0.38839,388,1027,0.35857,0.41821
1984,Direct migration background,1st Quintile,Paid,0.72191,185,185,0.65717,0.78665
1984,Direct migration background,2nd Quintile,Paid,0.58737,163,163,0.51156,0.66318
1984,Direct migration background,3rd Quintile,Comp. time,0.27308,41,189,0.20939,0.33677
1984,Direct migration background,3rd Quintile,Paid,0.58611,148,189,0.51571,0.65652
1984,Direct migration background,4th Quintile,Comp. time,0.20039,33,205,0.14546,0.25532
1984,Direct migration background,4th Quintile,Paid,0.54750,172,205,0.47920,0.61581
1984,Direct migration background,5th Quintile,Paid,0.43879,99,99,0.34054,0.53704
1985,No migration background,1st Quintile,Comp. time,0.24151,62,230,0.18607,0.29694
1985,No migration background,1st Quintile,Paid,0.41319,107,230,0.34941,0.47697
1985,No migration background,1st Quintile,Not compensated,0.23484,61,230,0.17994,0.28975
1985,No migration background,2nd Quintile,Comp. time,0.27773,114,417,0.23469,0.32077
1985,No migration background,2nd Quintile,Some of both,0.11242,44,417,0.08206,0.14278
1985,No migration background,2nd Quintile,Paid,0.41527,178,417,0.36791,0.46262
1985,No migration background,2nd Quintile,Not compensated,0.19459,81,417,0.15654,0.23263
1985,No migration background,3rd Quintile,Comp. time,0.28807,154,557,0.25042,0.32571
1985,No migration background,3rd Quintile,Some of both,0.10706,62,557,0.08136,0.13276
1985,No migration background,3rd Quintile,Paid,0.36706,205,557,0.32699,0.40712
1985,No migration background,3rd Quintile,Not compensated,0.23782,136,557,0.20243,0.27321
1985,No migration background,4th Quintile,Comp. time,0.28408,207,743,0.25163,0.31652
1985,No migration background,4th Quintile,Some of both,0.12767,93,743,0.10366,0.15168
1985,No migration background,4th Quintile,Paid,0.32540,243,743,0.29169,0.35911
1985,No migration background,4th Quintile,Not compensated,0.26286,200,743,0.23118,0.29453
1985,No migration background,5th Quintile,Comp. time,0.28411,252,881,0.25432,0.31391
1985,No migration background,5th Quintile,Some of both,0.11227,104,881,0.09141,0.13313
1985,No migration background,5th Quintile,Paid,0.19851,171,881,0.17216,0.22487
1985,No migration background,5th Quintile,Not compensated,0.40510,354,881,0.37267,0.43754
1985,Direct migration background,1st Quintile,Paid,0.58344,122,122,0.49559,0.67128
1985,Direct migration background,2nd Quintile,Paid,0.60119,126,126,0.51535,0.68703
1985,Direct migration background,3rd Quintile,Paid,0.54153,128,128,0.45486,0.62819
1985,Direct migration background,4th Quintile,Paid,0.54155,110,110,0.44801,0.63510
1985,Direct migration background,5th Quintile,Paid,0.51614,81,81,0.40663,0.62565
1986,No migration background,1st Quintile,Comp. time,0.24771,53,156,0.17975,0.31567
1986,No migration background,1st Quintile,Paid,0.50173,103,156,0.42302,0.58045
1986,No migration background,2nd Quintile,Comp. time,0.30343,116,376,0.25689,0.34996
1986,No migration background,2nd Quintile,Some of both,0.12806,43,376,0.09424,0.16188
1986,No migration background,2nd Quintile,Paid,0.44661,168,376,0.39629,0.49692
1986,No migration background,2nd Quintile,Not compensated,0.12190,49,376,0.08879,0.15502
1986,No migration background,3rd Quintile,Comp. time,0.33989,178,532,0.29960,0.38018
1986,No migration background,3rd Quintile,Some of both,0.12218,67,532,0.09433,0.15004
1986,No migration background,3rd Quintile,Paid,0.36901,192,532,0.32797,0.41005
1986,No migration background,3rd Quintile,Not compensated,0.16892,95,532,0.13705,0.20079
1986,No migration background,4th Quintile,Comp. time,0.33974,240,721,0.30514,0.37433
1986,No migration background,4th Quintile,Some of both,0.13171,97,721,0.10701,0.15641
1986,No migration background,4th Quintile,Paid,0.33544,242,721,0.30095,0.36993
1986,No migration background,4th Quintile,Not compensated,0.19311,142,721,0.16428,0.22194
1986,No migration background,5th Quintile,Comp. time,0.31078,243,777,0.27821,0.34334
1986,No migration background,5th Quintile,Some of both,0.11362,89,777,0.09129,0.13595
1986,No migration background,5th Quintile,Paid,0.24448,189,777,0.21424,0.27471
1986,No migration background,5th Quintile,Not compensated,0.33113,256,777,0.29801,0.36424
1986,Direct migration background,1st Quintile,Paid,0.70737,127,127,0.62792,0.78681
1986,Direct migration background,2nd Quintile,Paid,0.63880,144,144,0.56007,0.71753
1986,Direct migration background,3rd Quintile,Comp. time,0.24985,33,159,0.18234,0.31735
1986,Direct migration background,3rd Quintile,Paid,0.49749,126,159,0.41952,0.57545
1986,Direct migration background,4th Quintile,Paid,0.55013,113,113,0.45799,0.64226
1986,Direct migration background,5th Quintile,Paid,0.41264,62,62,0.28910,0.53619
1988,No migration background,1st Quintile,Comp. time,0.32395,67,160,0.25121,0.39669
1988,No migration background,1st Quintile,Paid,0.43877,93,160,0.36164,0.51590
1988,No migration background,2nd Quintile,Comp. time,0.37728,141,382,0.32861,0.42595
1988,No migration background,2nd Quintile,Some of both,0.11388,48,382,0.08198,0.14578
1988,No migration background,2nd Quintile,Paid,0.38710,146,382,0.33819,0.43601
1988,No migration background,2nd Quintile,Not compensated,0.12174,47,382,0.08891,0.15457
1988,No migration background,3rd Quintile,Comp. time,0.34390,170,517,0.30291,0.38488
1988,No migration background,3rd Quintile,Some of both,0.12763,67,517,0.09884,0.15643
1988,No migration background,3rd Quintile,Paid,0.35736,185,517,0.31601,0.39870
1988,No migration background,3rd Quintile,Not compensated,0.17111,95,517,0.13862,0.20361
1988,No migration background,4th Quintile,Comp. time,0.33289,219,646,0.29652,0.36926
1988,No migration background,4th Quintile,Some of both,0.13401,88,646,0.10771,0.16030
1988,No migration background,4th Quintile,Paid,0.33503,217,646,0.29861,0.37146
1988,No migration background,4th Quintile,Not compensated,0.19807,122,646,0.16732,0.22883
1988,No migration background,5th Quintile,Comp. time,0.32163,257,772,0.28866,0.35460
1988,No migration background,5th Quintile,Some of both,0.13751,102,772,0.11320,0.16182
1988,No migration background,5th Quintile,Paid,0.23093,177,772,0.20118,0.26068
1988,No migration background,5th Quintile,Not compensated,0.30993,236,772,0.27728,0.34257
1988,Direct migration background,1st Quintile,Paid,0.65802,137,137,0.57829,0.73775
1988,Direct migration background,2nd Quintile,Comp. time,0.24375,34,194,0.18318,0.30432
1988,Direct migration background,2nd Quintile,Paid,0.60187,160,194,0.53281,0.67093
1988,Direct migration background,3rd Quintile,Comp. time,0.26939,35,163,0.20107,0.33770
1988,Direct migration background,3rd Quintile,Paid,0.57292,128,163,0.49674,0.64909
1988,Direct migration background,4th Quintile,Comp. time,0.26797,37,142,0.19486,0.34108
1988,Direct migration background,4th Quintile,Paid,0.52035,105,142,0.43789,0.60281
1988,Direct migration background,5th Quintile,Paid,0.47110,59,59,0.34263,0.59956
1989,No migration background,1st Quintile,Comp. time,0.29575,62,158,0.22436,0.36714
1989,No migration background,1st Quintile,Paid,0.45458,96,158,0.37669,0.53247
1989,No migration background,2nd Quintile,Comp. time,0.34349,128,391,0.29636,0.39062
1989,No migration background,2nd Quintile,Some of both,0.16826,70,391,0.13113,0.20539
1989,No migration background,2nd Quintile,Paid,0.36933,146,391,0.32143,0.41723
1989,No migration background,2nd Quintile,Not compensated,0.11892,47,391,0.08679,0.15105
1989,No migration background,3rd Quintile,Comp. time,0.32232,169,544,0.28301,0.36163
1989,No migration background,3rd Quintile,Some of both,0.13509,74,544,0.10634,0.16384
1989,No migration background,3rd Quintile,Paid,0.41220,220,544,0.37080,0.45360
1989,No migration background,3rd Quintile,Not compensated,0.13040,81,544,0.10207,0.15872
1989,No migration background,4th Quintile,Comp. time,0.34129,247,711,0.30641,0.37616
1989,No migration background,4th Quintile,Some of both,0.15844,112,711,0.13158,0.18530
1989,No migration background,4th Quintile,Paid,0.32774,237,711,0.29321,0.36227
1989,No migration background,4th Quintile,Not compensated,0.17253,115,711,0.14474,0.20033
1989,No migration background,5th Quintile,Comp. time,0.31795,260,805,0.28576,0.35014
1989,No migration background,5th Quintile,Some of both,0.12554,107,805,0.10264,0.14844
1989,No migration background,5th Quintile,Paid,0.23543,191,805,0.20611,0.26476
1989,No migration background,5th Quintile,Not compensated,0.32107,247,805,0.28880,0.35334
1989,Direct migration background,1st Quintile,Comp. time,0.16701,32,172,0.11111,0.22292
1989,Direct migration background,1st Quintile,Paid,0.65677,140,172,0.58561,0.72793
1989,Direct migration background,2nd Quintile,Comp. time,0.25617,37,221,0.19849,0.31385
1989,Direct migration background,2nd Quintile,Some of both,0.17135,42,221,0.12156,0.22114
1989,Direct migration background,2nd Quintile,Paid,0.54709,142,221,0.48131,0.61286
1989,Direct migration background,3rd Quintile,Comp. time,0.26808,33,173,0.20188,0.33428
1989,Direct migration background,3rd Quintile,Paid,0.49619,140,173,0.42147,0.57091
1989,Direct migration background,4th Quintile,Comp. time,0.20406,37,155,0.14041,0.26772
1989,Direct migration background,4th Quintile,Paid,0.53199,118,155,0.45318,0.61080
1989,Direct migration background,5th Quintile,Paid,0.51569,49,49,0.37431,0.65707
1990,No migration background,1st Quintile,Comp. time,0.30646,61,159,0.23457,0.37835
1990,No migration background,1st Quintile,Paid,0.44240,98,159,0.36495,0.51984
1990,No migration background,2nd Quintile,Comp. time,0.33710,142,423,0.29199,0.38220
1990,No migration background,2nd Quintile,Some of both,0.13930,61,423,0.10626,0.17234
1990,No migration background,2nd Quintile,Paid,0.40480,172,423,0.35796,0.45163
1990,No migration background,2nd Quintile,Not compensated,0.11881,48,423,0.08794,0.14968
1990,No migration background,3rd Quintile,Comp. time,0.37046,193,526,0.32915,0.41177
1990,No migration background,3rd Quintile,Some of both,0.13512,75,526,0.10588,0.16437
1990,No migration background,3rd Quintile,Paid,0.37025,193,526,0.32894,0.41155
1990,No migration background,3rd Quintile,Not compensated,0.12417,65,526,0.09596,0.15238
1990,No migration background,4th Quintile,Comp. time,0.37221,262,702,0.33642,0.40799
1990,No migration background,4th Quintile,Some of both,0.15516,115,702,0.12836,0.18196
1990,No migration background,4th Quintile,Paid,0.32558,228,702,0.29089,0.36027
