year,migback,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Comp. time,0.08470,931,3213,0.07507,0.09433
1984,No migration background,Some of both,0.03345,378,3213,0.02723,0.03967
1984,No migration background,Paid,0.09885,1074,3213,0.08853,0.10917
1984,No migration background,Not compensated,0.07626,830,3213,0.06708,0.08544
1984,Direct migration background,Comp. time,0.06399,142,1100,0.04952,0.07846
1984,Direct migration background,Some of both,0.02392,83,1100,0.01488,0.03295
1984,Direct migration background,Paid,0.17047,767,1100,0.14824,0.19270
1984,Direct migration background,Not compensated,0.04173,108,1100,0.02991,0.05356
1985,No migration background,Comp. time,0.07955,789,2855,0.06962,0.08948
1985,No migration background,Some of both,0.03268,330,2855,0.02616,0.03920
1985,No migration background,Paid,0.08962,904,2855,0.07914,0.10010
1985,No migration background,Not compensated,0.08214,832,2855,0.07207,0.09221
1985,Direct migration background,Comp. time,0.05210,108,825,0.03692,0.06727
1985,Direct migration background,Some of both,0.03179,69,825,0.01981,0.04377
1985,Direct migration background,Paid,0.14992,567,825,0.12555,0.17430
1985,Direct migration background,Not compensated,0.03676,81,825,0.02391,0.04961
1986,No migration background,Comp. time,0.08693,830,2609,0.07612,0.09774
1986,No migration background,Some of both,0.03340,316,2609,0.02650,0.04030
1986,No migration background,Paid,0.09410,894,2609,0.08290,0.10531
1986,No migration background,Not compensated,0.05832,569,2609,0.04932,0.06731
1986,Direct migration background,Comp. time,0.05686,129,854,0.04132,0.07240
1986,Direct migration background,Some of both,0.02522,73,854,0.01469,0.03574
1986,Direct migration background,Paid,0.15209,572,854,0.12799,0.17619
1986,Direct migration background,Not compensated,0.03818,80,854,0.02532,0.05104
1988,No migration background,Comp. time,0.09604,854,2526,0.08455,0.10754
1988,No migration background,Some of both,0.03694,330,2526,0.02958,0.04429
1988,No migration background,Paid,0.09232,819,2526,0.08103,0.10361
1988,No migration background,Not compensated,0.05964,523,2526,0.05040,0.06888
1988,Direct migration background,Comp. time,0.07092,142,877,0.05392,0.08792
1988,Direct migration background,Some of both,0.02714,82,877,0.01638,0.03790
1988,Direct migration background,Paid,0.17023,589,877,0.14534,0.19511
1988,Direct migration background,Not compensated,0.03351,64,877,0.02159,0.04543
1989,No migration background,Comp. time,0.10287,866,2660,0.09133,0.11442
1989,No migration background,Some of both,0.04515,390,2660,0.03726,0.05305
1989,No migration background,Paid,0.10443,890,2660,0.09281,0.11605
1989,No migration background,Not compensated,0.06203,514,2660,0.05286,0.07120
1989,Direct migration background,Comp. time,0.06806,151,915,0.05174,0.08439
1989,Direct migration background,Some of both,0.05697,123,915,0.04195,0.07200
1989,Direct migration background,Paid,0.17277,589,915,0.14827,0.19728
1989,Direct migration background,Not compensated,0.01980,52,915,0.01077,0.02884
1989,Indirect migration background,Paid,0.02091,31,31,-0.03029,0.07211
1990,No migration background,Comp. time,0.11980,1792,5074,0.11086,0.12874
1990,No migration background,Some of both,0.04972,771,5074,0.04374,0.05570
1990,No migration background,Paid,0.11769,1832,5074,0.10883,0.12656
1990,No migration background,Not compensated,0.05351,679,5074,0.04732,0.05971
1990,Direct migration background,Comp. time,0.07226,155,969,0.05595,0.08857
1990,Direct migration background,Some of both,0.04809,130,969,0.03461,0.06157
1990,Direct migration background,Paid,0.18727,622,969,0.16270,0.21185
1990,Direct migration background,Not compensated,0.02871,62,969,0.01819,0.03923
1990,Indirect migration background,Paid,0.01658,38,38,-0.02456,0.05772
1991,No migration background,Comp. time,0.12138,1768,4580,0.11192,0.13084
1991,No migration background,Some of both,0.04857,674,4580,0.04234,0.05479
1991,No migration background,Paid,0.10634,1412,4580,0.09741,0.11527
1991,No migration background,Not compensated,0.05582,726,4580,0.04917,0.06247
1991,Direct migration background,Comp. time,0.08832,208,1014,0.07085,0.10580
1991,Direct migration background,Some of both,0.04609,122,1014,0.03318,0.05901
1991,Direct migration background,Paid,0.19735,629,1014,0.17284,0.22186
1991,Direct migration background,Not compensated,0.02945,55,1014,0.01904,0.03986
1991,Indirect migration background,Comp. time,0.02494,39,89,-0.00764,0.05753
1991,Indirect migration background,Paid,0.02563,50,89,-0.00739,0.05864
1992,No migration background,Comp. time,0.11667,1614,4343,0.10712,0.12622
1992,No migration background,Some of both,0.05370,745,4343,0.04699,0.06040
1992,No migration background,Paid,0.09837,1287,4343,0.08952,0.10723
1992,No migration background,Not compensated,0.05188,697,4343,0.04528,0.05848
1992,Direct migration background,Comp. time,0.08068,196,922,0.06309,0.09827
1992,Direct migration background,Some of both,0.06005,130,922,0.04471,0.07540
1992,Direct migration background,Paid,0.16341,537,922,0.13953,0.18729
1992,Direct migration background,Not compensated,0.03206,59,922,0.02068,0.04343
1992,Indirect migration background,Comp. time,0.02933,34,86,-0.00654,0.06520
1992,Indirect migration background,Paid,0.03454,52,86,-0.00428,0.07336
1993,No migration background,Comp. time,0.11298,1559,4271,0.10348,0.12248
1993,No migration background,Some of both,0.05343,743,4271,0.04669,0.06018
1993,No migration background,Paid,0.09500,1244,4271,0.08620,0.10379
1993,No migration background,Not compensated,0.05586,725,4271,0.04897,0.06275
1993,Direct migration background,Comp. time,0.08862,186,830,0.06928,0.10797
1993,Direct migration background,Some of both,0.04890,128,830,0.03422,0.06358
1993,Direct migration background,Paid,0.15004,452,830,0.12573,0.17436
1993,Direct migration background,Not compensated,0.04322,64,830,0.02938,0.05706
1993,Indirect migration background,Comp. time,0.03520,51,113,0.00107,0.06933
1993,Indirect migration background,Paid,0.04330,62,113,0.00560,0.08099
1994,No migration background,Comp. time,0.12436,1652,4246,0.11443,0.13429
1994,No migration background,Some of both,0.05666,773,4246,0.04971,0.06362
1994,No migration background,Paid,0.08638,1103,4246,0.07793,0.09484
1994,No migration background,Not compensated,0.05491,718,4246,0.04806,0.06176
1994,Direct migration background,Comp. time,0.08926,208,765,0.06904,0.10947
1994,Direct migration background,Some of both,0.04395,102,765,0.02941,0.05848
1994,Direct migration background,Paid,0.14476,401,765,0.11981,0.16972
1994,Direct migration background,Not compensated,0.03814,54,765,0.02456,0.05173
1994,Indirect migration background,Comp. time,0.03336,55,117,0.00068,0.06604
1994,Indirect migration background,Paid,0.04436,62,117,0.00689,0.08183
1995,No migration background,Comp. time,0.12759,1736,4386,0.11771,0.13746
1995,No migration background,Some of both,0.05983,827,4386,0.05281,0.06685
1995,No migration background,Paid,0.08318,1109,4386,0.07501,0.09136
1995,No migration background,Not compensated,0.05581,714,4386,0.04902,0.06261
1995,Direct migration background,Comp. time,0.08170,229,946,0.06424,0.09917
1995,Direct migration background,Some of both,0.04074,138,946,0.02814,0.05335
1995,Direct migration background,Paid,0.14451,502,946,0.12209,0.16693
1995,Direct migration background,Not compensated,0.04105,77,946,0.02840,0.05370
1995,Indirect migration background,Comp. time,0.03892,69,131,0.00567,0.07216
1995,Indirect migration background,Paid,0.03422,62,131,0.00297,0.06547
1996,No migration background,Comp. time,0.13856,1854,4286,0.12822,0.14891
1996,No migration background,Some of both,0.05534,717,4286,0.04850,0.06219
1996,No migration background,Paid,0.07572,1011,4286,0.06780,0.08364
1996,No migration background,Not compensated,0.05341,704,4286,0.04668,0.06015
1996,Direct migration background,Comp. time,0.10246,277,865,0.08224,0.12268
1996,Direct migration background,Some of both,0.03835,120,865,0.02555,0.05116
1996,Direct migration background,Paid,0.12250,401,865,0.10063,0.14436
1996,Direct migration background,Not compensated,0.03793,67,865,0.02519,0.05067
1996,Indirect migration background,Comp. time,0.04700,73,168,0.01490,0.07910
1996,Indirect migration background,Some of both,0.02018,41,168,-0.00115,0.04151
1996,Indirect migration background,Paid,0.02956,54,168,0.00387,0.05525
1997,No migration background,Comp. time,0.12421,1616,3715,0.11361,0.13482
1997,No migration background,Some of both,0.05930,798,3715,0.05170,0.06689
1997,No migration background,Paid,0.04477,619,3715,0.03812,0.05142
1997,No migration background,Not compensated,0.05483,682,3715,0.04751,0.06215
1997,Direct migration background,Comp. time,0.09704,254,680,0.07478,0.11931
1997,Direct migration background,Some of both,0.04785,134,680,0.03180,0.06391
1997,Direct migration background,Paid,0.06493,217,680,0.04639,0.08346
1997,Direct migration background,Not compensated,0.04560,75,680,0.02991,0.06130
1997,Indirect migration background,Comp. time,0.06677,90,169,0.02902,0.10452
1997,Indirect migration background,Some of both,0.02141,41,169,-0.00048,0.04330
1997,Indirect migration background,Paid,0.02835,38,169,0.00325,0.05344
1998,No migration background,Comp. time,0.12730,1892,4209,0.11723,0.13738
1998,No migration background,Some of both,0.05885,911,4209,0.05174,0.06596
1998,No migration background,Paid,0.04299,645,4209,0.03687,0.04912
1998,No migration background,Not compensated,0.05143,761,4209,0.04475,0.05810
1998,Direct migration background,Comp. time,0.09300,244,625,0.07021,0.11579
1998,Direct migration background,Some of both,0.04895,127,625,0.03202,0.06588
1998,Direct migration background,Paid,0.06610,188,625,0.04661,0.08560
1998,Direct migration background,Not compensated,0.03945,66,625,0.02417,0.05472
1998,Indirect migration background,Comp. time,0.05681,78,160,0.02083,0.09279
1998,Indirect migration background,Some of both,0.02437,43,160,0.00040,0.04834
1998,Indirect migration background,Paid,0.02443,39,160,0.00043,0.04842
1999,No migration background,Comp. time,0.13084,1889,4179,0.12061,0.14106
1999,No migration background,Some of both,0.06205,911,4179,0.05474,0.06937
1999,No migration background,Paid,0.04011,619,4179,0.03416,0.04606
1999,No migration background,Not compensated,0.05257,760,4179,0.04580,0.05934
1999,Direct migration background,Comp. time,0.10483,221,567,0.07959,0.13006
1999,Direct migration background,Some of both,0.03957,112,567,0.02351,0.05563
1999,Direct migration background,Paid,0.06383,180,567,0.04369,0.08397
1999,Direct migration background,Not compensated,0.03634,54,567,0.02092,0.05175
1999,Indirect migration background,Comp. time,0.06970,89,180,0.03240,0.10701
1999,Indirect migration background,Some of both,0.01793,44,180,-0.00151,0.03736
1999,Indirect migration background,Paid,0.02585,47,180,0.00260,0.04910
2000,No migration background,Comp. time,0.13689,3398,7122,0.12891,0.14488
2000,No migration background,Some of both,0.05960,1471,7122,0.05410,0.06510
2000,No migration background,Paid,0.04070,1011,7122,0.03611,0.04529
2000,No migration background,Not compensated,0.04812,1242,7122,0.04315,0.05309
2000,Direct migration background,Comp. time,0.10080,375,882,0.08092,0.12069
2000,Direct migration background,Some of both,0.04517,167,882,0.03145,0.05888
2000,Direct migration background,Paid,0.06590,246,882,0.04951,0.08228
2000,Direct migration background,Not compensated,0.03177,94,882,0.02019,0.04335
2000,Indirect migration background,Comp. time,0.06596,115,260,0.03573,0.09619
2000,Indirect migration background,Some of both,0.02691,61,260,0.00720,0.04661
2000,Indirect migration background,Paid,0.02185,49,260,0.00404,0.03965
2000,Indirect migration background,Not compensated,0.01750,35,260,0.00153,0.03347
2001,No migration background,Comp. time,0.13671,3096,6636,0.12844,0.14498
2001,No migration background,Some of both,0.06248,1440,6636,0.05666,0.06831
2001,No migration background,Paid,0.04318,969,6636,0.03829,0.04808
2001,No migration background,Not compensated,0.04749,1131,6636,0.04238,0.05261
2001,Direct migration background,Comp. time,0.08915,299,811,0.06952,0.10877
2001,Direct migration background,Some of both,0.06032,196,811,0.04393,0.07672
2001,Direct migration background,Paid,0.06171,215,811,0.04514,0.07829
2001,Direct migration background,Not compensated,0.03948,101,811,0.02607,0.05290
2001,Indirect migration background,Comp. time,0.06314,118,269,0.03402,0.09225
2001,Indirect migration background,Some of both,0.03381,68,269,0.01217,0.05545
2001,Indirect migration background,Paid,0.02443,44,269,0.00594,0.04291
2001,Indirect migration background,Not compensated,0.02196,39,269,0.00442,0.03951
2002,No migration background,Comp. time,0.13451,3239,6988,0.12651,0.14251
2002,No migration background,Some of both,0.05770,1436,6988,0.05223,0.06316
2002,No migration background,Paid,0.03344,769,6988,0.02922,0.03765
2002,No migration background,Not compensated,0.05013,1544,6988,0.04501,0.05524
2002,Direct migration background,Comp. time,0.08837,277,714,0.06753,0.10920
2002,Direct migration background,Some of both,0.04450,164,714,0.02936,0.05963
2002,Direct migration background,Paid,0.05886,181,714,0.04158,0.07613
2002,Direct migration background,Not compensated,0.02791,92,714,0.01582,0.04000
2002,Indirect migration background,Comp. time,0.05740,106,256,0.02885,0.08595
2002,Indirect migration background,Some of both,0.02936,57,256,0.00864,0.05008
2002,Indirect migration background,Paid,0.01703,40,256,0.00115,0.03291
2002,Indirect migration background,Not compensated,0.02543,53,256,0.00611,0.04475
2003,No migration background,Comp. time,0.14129,3227,6646,0.13292,0.14967
2003,No migration background,Some of both,0.05350,1283,6646,0.04809,0.05891
2003,No migration background,Paid,0.03147,700,6646,0.02727,0.03566
2003,No migration background,Not compensated,0.04945,1436,6646,0.04424,0.05466
2003,Direct migration background,Comp. time,0.09941,278,645,0.07630,0.12252
2003,Direct migration background,Some of both,0.04610,148,645,0.02990,0.06229
2003,Direct migration background,Paid,0.05356,147,645,0.03617,0.07095
2003,Direct migration background,Not compensated,0.01976,72,645,0.00901,0.03051
2003,Indirect migration background,Comp. time,0.06246,116,257,0.03282,0.09210
2003,Indirect migration background,Some of both,0.03047,55,257,0.00941,0.05152
2003,Indirect migration background,Paid,0.02891,50,257,0.00838,0.04943
2003,Indirect migration background,Not compensated,0.01996,36,257,0.00283,0.03710
2004,No migration background,Comp. time,0.13775,3090,6426,0.12932,0.14617
2004,No migration background,Some of both,0.05200,1203,6426,0.04657,0.05742
2004,No migration background,Paid,0.03166,654,6426,0.02738,0.03594
2004,No migration background,Not compensated,0.05336,1479,6426,0.04786,0.05885
2004,Direct migration background,Comp. time,0.09992,272,613,0.07616,0.12368
2004,Direct migration background,Some of both,0.04294,138,613,0.02688,0.05900
2004,Direct migration background,Paid,0.04429,117,613,0.02799,0.06059
2004,Direct migration background,Not compensated,0.03136,86,613,0.01755,0.04517
2004,Indirect migration background,Comp. time,0.07002,122,244,0.03793,0.10210
2004,Indirect migration background,Some of both,0.02710,50,244,0.00668,0.04751
2004,Indirect migration background,Paid,0.01220,36,244,-0.00160,0.02600
2004,Indirect migration background,Not compensated,0.02256,36,244,0.00389,0.04123
2005,No migration background,Comp. time,0.14197,2991,5954,0.13310,0.15084
2005,No migration background,Some of both,0.05494,1149,5954,0.04915,0.06072
2005,No migration background,Paid,0.02854,555,5954,0.02431,0.03277
2005,No migration background,Not compensated,0.04960,1259,5954,0.04408,0.05511
2005,Direct migration background,Comp. time,0.10706,271,575,0.08177,0.13235
2005,Direct migration background,Some of both,0.05604,140,575,0.03722,0.07486
2005,Direct migration background,Paid,0.03832,96,575,0.02261,0.05402
2005,Direct migration background,Not compensated,0.03207,68,575,0.01765,0.04648
2005,Indirect migration background,Comp. time,0.06486,118,250,0.03427,0.09545
2005,Indirect migration background,Some of both,0.02504,48,250,0.00564,0.04445
2005,Indirect migration background,Paid,0.01864,38,250,0.00184,0.03544
2005,Indirect migration background,Not compensated,0.02680,46,250,0.00674,0.04685
2006,No migration background,Comp. time,0.14631,3330,6598,0.13778,0.15484
2006,No migration background,Some of both,0.05510,1198,6598,0.04959,0.06060
2006,No migration background,Paid,0.03060,607,6598,0.02644,0.03476
2006,No migration background,Not compensated,0.05765,1463,6598,0.05203,0.06328
2006,Direct migration background,Comp. time,0.10387,261,616,0.07975,0.12798
2006,Direct migration background,Some of both,0.04624,137,616,0.02964,0.06283
2006,Direct migration background,Paid,0.05010,121,616,0.03286,0.06734
2006,Direct migration background,Not compensated,0.03684,97,616,0.02195,0.05173
2006,Indirect migration background,Comp. time,0.08468,138,281,0.05207,0.11729
2006,Indirect migration background,Some of both,0.02941,54,281,0.00962,0.04921
2006,Indirect migration background,Paid,0.02382,34,281,0.00596,0.04168
2006,Indirect migration background,Not compensated,0.03164,55,281,0.01114,0.05214
2007,No migration background,Comp. time,0.14674,3077,6133,0.13789,0.15560
2007,No migration background,Some of both,0.06006,1181,6133,0.05411,0.06600
2007,No migration background,Paid,0.02725,521,6133,0.02317,0.03132
2007,No migration background,Not compensated,0.05643,1354,6133,0.05066,0.06221
2007,Direct migration background,Comp. time,0.10025,238,524,0.07451,0.12599
2007,Direct migration background,Some of both,0.04864,120,524,0.03021,0.06708
2007,Direct migration background,Paid,0.04016,86,524,0.02334,0.05699
2007,Direct migration background,Not compensated,0.03464,80,524,0.01897,0.05031
2007,Indirect migration background,Comp. time,0.08064,130,259,0.04741,0.11386
2007,Indirect migration background,Some of both,0.03537,69,259,0.01283,0.05791
2007,Indirect migration background,Not compensated,0.03805,60,259,0.01470,0.06140
2008,No migration background,Comp. time,0.15360,2963,6064,0.14452,0.16267
2008,No migration background,Some of both,0.06478,1186,6064,0.05858,0.07098
2008,No migration background,Paid,0.03032,569,6064,0.02600,0.03463
2008,No migration background,Not compensated,0.06050,1346,6064,0.05450,0.06651
2008,Direct migration background,Comp. time,0.10879,223,515,0.08187,0.13571
2008,Direct migration background,Some of both,0.05242,117,515,0.03315,0.07168
2008,Direct migration background,Paid,0.05167,97,515,0.03254,0.07081
2008,Direct migration background,Not compensated,0.03889,78,515,0.02218,0.05560
2008,Indirect migration background,Comp. time,0.09613,135,248,0.05937,0.13289
2008,Indirect migration background,Some of both,0.04312,63,248,0.01779,0.06845
2008,Indirect migration background,Not compensated,0.02800,50,248,0.00742,0.04857
2009,No migration background,Comp. time,0.14889,2682,5411,0.13941,0.15838
2009,No migration background,Some of both,0.06418,1080,5411,0.05765,0.07071
2009,No migration background,Paid,0.02774,485,5411,0.02336,0.03211
2009,No migration background,Not compensated,0.05577,1164,5411,0.04966,0.06189
2009,Direct migration background,Comp. time,0.09722,177,404,0.06830,0.12615
2009,Direct migration background,Some of both,0.05269,86,404,0.03087,0.07450
2009,Direct migration background,Paid,0.05419,70,404,0.03209,0.07629
2009,Direct migration background,Not compensated,0.04034,71,404,0.02113,0.05955
2009,Indirect migration background,Comp. time,0.09903,117,259,0.06258,0.13547
2009,Indirect migration background,Some of both,0.04748,56,259,0.02153,0.07343
2009,Indirect migration background,Paid,0.02141,33,259,0.00375,0.03907
2009,Indirect migration background,Not compensated,0.04787,53,259,0.02182,0.07392
2010,No migration background,Comp. time,0.16389,3752,7275,0.15538,0.17240
2010,No migration background,Some of both,0.05869,1346,7275,0.05329,0.06409
2010,No migration background,Paid,0.03000,740,7275,0.02608,0.03392
