year,age_gr,migback,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Comp. time,0.09253455051896758,328,4204,0.09239651652077968,0.09267258451715549
1984,17-29 y.,No migration background,Some of both,0.03775540393897703,137,4204,0.03766461114952659,0.03784619672842746
1984,17-29 y.,No migration background,Paid,0.09485647639375674,340,4204,0.09471690022392827,0.09499605256358522
1984,17-29 y.,No migration background,Not compensated,0.04149716178579224,147,4204,0.0414021614901306,0.04159216208145388
1984,17-29 y.,Direct migration background,Comp. time,0.00471471901756688,40,4204,0.004682088740858658,0.004747349294275102
1984,17-29 y.,Direct migration background,Paid,0.012967803402991716,177,4204,0.012913912193964025,0.013021694612019408
1984,30-45 y.,No migration background,Comp. time,0.0984429804485587,359,4204,0.09830107207098294,0.09858488882613446
1984,30-45 y.,No migration background,Some of both,0.04269699236279926,158,4204,0.04260068878724446,0.042793295938354056
1984,30-45 y.,No migration background,Paid,0.11787748540209911,419,4204,0.1177238826690668,0.11803108813513141
1984,30-45 y.,No migration background,Not compensated,0.1015305171080822,366,4204,0.10138664751254545,0.10167438670361895
1984,30-45 y.,Direct migration background,Comp. time,0.007270225198479603,61,4204,0.007229757499205118,0.007310692897754089
1984,30-45 y.,Direct migration background,Some of both,0.0043375956227997906,44,4204,0.004306291636583146,0.004368899609016435
1984,30-45 y.,Direct migration background,Paid,0.024519660682420064,364,4204,0.024445991551483453,0.024593329813356674
1984,30-45 y.,Direct migration background,Not compensated,0.0064244161480347065,56,4204,0.006386358990661422,0.006462473305407991
1984,46-65 y.,No migration background,Comp. time,0.07446649924544577,241,4204,0.07434144581816955,0.07459155267272198
1984,46-65 y.,No migration background,Some of both,0.024873037225470837,83,4204,0.024798852575688517,0.024947221875253157
1984,46-65 y.,No migration background,Paid,0.09666291278190917,311,4204,0.09652215451282271,0.09680367105099562
1984,46-65 y.,No migration background,Not compensated,0.09319288081824512,306,4204,0.09305440692990247,0.09333135470658777
1984,46-65 y.,Direct migration background,Comp. time,0.007897223592695695,41,4204,0.007855060291389701,0.007939386894001688
1984,46-65 y.,Direct migration background,Paid,0.015481458304907717,226,4204,0.01542265023284688,0.015540266376968554
1985,17-29 y.,No migration background,Comp. time,0.09373363044834446,287,3588,0.09359198562108029,0.09387527527560863
1985,17-29 y.,No migration background,Some of both,0.03848914575083938,117,3588,0.03839565442910678,0.03858263707257198
1985,17-29 y.,No migration background,Paid,0.0880347687514208,274,3588,0.08789706641078336,0.08817247109205824
1985,17-29 y.,No migration background,Not compensated,0.04923838361260477,153,3588,0.04913323276402059,0.04934353446118895
1985,17-29 y.,Direct migration background,Comp. time,0.003835415897782782,31,3588,0.0038053761107980596,0.0038654556847675047
1985,17-29 y.,Direct migration background,Paid,0.011289274100660246,138,3588,0.011237929746008873,0.011340618455311618
1985,30-45 y.,No migration background,Comp. time,0.09306555658699074,296,3588,0.09292436542731572,0.09320674774666576
1985,30-45 y.,No migration background,Some of both,0.037578113527434606,123,3588,0.037485691540627745,0.03767053551424147
1985,30-45 y.,No migration background,Paid,0.1148340790184411,374,3588,0.1146791357166723,0.1149890223202099
1985,30-45 y.,No migration background,Not compensated,0.1066670552485578,351,3588,0.10651703603101481,0.10681707446610078
1985,30-45 y.,Direct migration background,Comp. time,0.005534137379624442,41,3588,0.005498084083502779,0.005570190675746105
1985,30-45 y.,Direct migration background,Some of both,0.00441370781605398,33,3588,0.004381492209546181,0.004445923422561779
1985,30-45 y.,Direct migration background,Paid,0.022971003369311908,265,3588,0.022898197100099972,0.023043809638523843
1985,30-45 y.,Direct migration background,Not compensated,0.004697691557847661,33,3588,0.004664460449778686,0.0047309226659166355
1985,46-65 y.,No migration background,Comp. time,0.07344917187969464,206,3588,0.07332239118008493,0.07357595257930435
1985,46-65 y.,No migration background,Some of both,0.03088149201949972,90,3588,0.030797417837761736,0.030965566201237707
1985,46-65 y.,No migration background,Paid,0.09002296480612632,255,3588,0.08988386806983778,0.09016206154241485
1985,46-65 y.,No migration background,Not compensated,0.11028902838366435,321,3588,0.11013679296834869,0.11044126379898
1985,46-65 y.,Direct migration background,Comp. time,0.007290085605038192,36,3588,0.007248742550377826,0.007331428659698559
1985,46-65 y.,Direct migration background,Paid,0.013685294240062137,164,3588,0.013628831767591852,0.013741756712532423
1986,17-29 y.,No migration background,Comp. time,0.0995791840371493,282,3319,0.09943048046082265,0.09972788761347595
1986,17-29 y.,No migration background,Some of both,0.045973747394869764,127,3319,0.045869743528643765,0.04607775126109576
1986,17-29 y.,No migration background,Paid,0.10429849970313318,297,3319,0.10414671253795357,0.10445028686831279
