,Unnamed: 0,year,pgisced97,sampreg,plb0195_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Primary Level,West,Paid,1.0,207,4268,0.85939,1.17142
1,1,1984,Lower Secondary Level,West,Comp. time,0.27078,181,4268,0.25287,0.28886
2,2,1984,Lower Secondary Level,West,Some of both,0.08816,60,4268,0.07818,0.09958
3,3,1984,Lower Secondary Level,West,Paid,0.45477,445,4268,0.42103,0.48659
4,4,1984,Lower Secondary Level,West,Not compensated,0.18629,126,4268,0.17143,0.20238
5,5,1984,Upper Secondary Level,West,Comp. time,0.3095,676,4268,0.30322,0.31705
6,6,1984,Upper Secondary Level,West,Some of both,0.11211,257,4268,0.10771,0.11617
7,7,1984,Upper Secondary Level,West,Paid,0.38809,994,4268,0.37632,0.39851
8,8,1984,Upper Secondary Level,West,Not compensated,0.1903,422,4268,0.18473,0.19594
9,9,1984,Post-secondary Non-tertiary Level,West,Comp. time,0.34545,37,4268,0.2975,0.38719
10,10,1984,Post-secondary Non-tertiary Level,West,Paid,0.26632,48,4268,0.21474,0.32064
11,11,1984,Post-secondary Non-tertiary Level,West,Not compensated,0.38823,40,4268,0.33352,0.43346
12,12,1984,First Stage of Tertiary Education,West,Comp. time,0.30754,107,4268,0.29541,0.32042
13,13,1984,First Stage of Tertiary Education,West,Some of both,0.14251,52,4268,0.13251,0.15351
14,14,1984,First Stage of Tertiary Education,West,Paid,0.22906,82,4268,0.21568,0.24084
15,15,1984,First Stage of Tertiary Education,West,Not compensated,0.32089,108,4268,0.30751,0.33244
16,16,1984,Second Stage of Tertiary Education,West,Comp. time,0.15081,60,4268,0.14129,0.16063
17,17,1984,Second Stage of Tertiary Education,West,Some of both,0.11945,60,4268,0.10665,0.13026
18,18,1984,Second Stage of Tertiary Education,West,Paid,0.14142,68,4268,0.1244,0.15823
19,19,1984,Second Stage of Tertiary Education,West,Not compensated,0.58832,238,4268,0.5715,0.60536
20,20,1985,Primary Level,West,Paid,1.0,131,3585,0.84883,1.17045
21,21,1985,Lower Secondary Level,West,Comp. time,0.26305,146,3585,0.24249,0.27846
22,22,1985,Lower Secondary Level,West,Some of both,0.11083,64,3585,0.09951,0.12232
23,23,1985,Lower Secondary Level,West,Paid,0.46132,367,3585,0.4255,0.49532
24,24,1985,Lower Secondary Level,West,Not compensated,0.1648,90,3585,0.15391,0.17544
25,25,1985,Upper Secondary Level,West,Comp. time,0.29343,559,3585,0.28414,0.30165
26,26,1985,Upper Secondary Level,West,Some of both,0.11494,224,3585,0.10878,0.11997
27,27,1985,Upper Secondary Level,West,Paid,0.36553,812,3585,0.3532,0.37764
28,28,1985,Upper Secondary Level,West,Not compensated,0.2261,431,3585,0.21967,0.23436
29,29,1985,Post-secondary Non-tertiary Level,West,Paid,1.0,42,3585,0.70468,1.28223
30,30,1985,First Stage of Tertiary Education,West,Comp. time,0.31658,92,3585,0.30002,0.33889
31,31,1985,First Stage of Tertiary Education,West,Some of both,0.13106,42,3585,0.11759,0.14234
32,32,1985,First Stage of Tertiary Education,West,Paid,0.19118,65,3585,0.17617,0.20397
33,33,1985,First Stage of Tertiary Education,West,Not compensated,0.36119,107,3585,0.34569,0.38462
34,34,1985,Second Stage of Tertiary Education,West,Comp. time,0.17259,67,3585,0.15877,0.18563
35,35,1985,Second Stage of Tertiary Education,West,Some of both,0.12631,54,3585,0.11308,0.1417
36,36,1985,Second Stage of Tertiary Education,West,Paid,0.10805,51,3585,0.09294,0.12178
37,37,1985,Second Stage of Tertiary Education,West,Not compensated,0.59306,241,3585,0.57273,0.61366
38,38,1986,Primary Level,West,Paid,1.0,123,3366,0.84475,1.22727
39,39,1986,Lower Secondary Level,West,Comp. time,0.27673,147,3366,0.25365,0.30239
40,40,1986,Lower Secondary Level,West,Some of both,0.09833,59,3366,0.08258,0.11178
