year,age_gr,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Comp. time,0.11504,165,721,0.09174,0.13835
1984,17-29 y.,male,Some of both,0.06564,96,721,0.04755,0.08373
1984,17-29 y.,male,Paid,0.21207,380,721,0.18221,0.24192
1984,17-29 y.,male,Not compensated,0.05464,80,721,0.03804,0.07124
1984,17-29 y.,female,Comp. time,0.15227,208,513,0.12115,0.18340
1984,17-29 y.,female,Some of both,0.04181,62,513,0.02448,0.05915
1984,17-29 y.,female,Paid,0.08352,147,513,0.05956,0.10749
1984,17-29 y.,female,Not compensated,0.06721,96,513,0.04553,0.08890
1984,30-45 y.,male,Comp. time,0.15085,231,1317,0.13151,0.17019
1984,30-45 y.,male,Some of both,0.08143,143,1317,0.06666,0.09621
1984,30-45 y.,male,Paid,0.28522,621,1317,0.26083,0.30962
1984,30-45 y.,male,Not compensated,0.20956,322,1317,0.18757,0.23155
1984,30-45 y.,female,Comp. time,0.11921,191,517,0.09125,0.14717
1984,30-45 y.,female,Some of both,0.03813,59,517,0.02161,0.05466
1984,30-45 y.,female,Paid,0.07691,164,517,0.05392,0.09990
1984,30-45 y.,female,Not compensated,0.06547,103,517,0.04413,0.08682
1984,46-65 y.,male,Comp. time,0.11780,172,935,0.09712,0.13847
1984,46-65 y.,male,Some of both,0.04867,80,935,0.03487,0.06247
1984,46-65 y.,male,Paid,0.20915,439,935,0.18307,0.23523
1984,46-65 y.,male,Not compensated,0.16373,244,935,0.14000,0.18746
1984,46-65 y.,female,Comp. time,0.06599,110,299,0.03780,0.09417
1984,46-65 y.,female,Paid,0.04682,99,299,0.02283,0.07080
1984,46-65 y.,female,Not compensated,0.05599,90,299,0.02989,0.08210
1985,17-29 y.,male,Comp. time,0.09442,126,614,0.07127,0.11757
1985,17-29 y.,male,Some of both,0.06109,89,614,0.04213,0.08004
1985,17-29 y.,male,Paid,0.18292,309,614,0.15232,0.21353
1985,17-29 y.,male,Not compensated,0.06582,90,614,0.04619,0.08545
1985,17-29 y.,female,Comp. time,0.15548,196,449,0.12192,0.18903
1985,17-29 y.,female,Some of both,0.04295,50,449,0.02417,0.06172
1985,17-29 y.,female,Paid,0.07060,111,449,0.04688,0.09432
1985,17-29 y.,female,Not compensated,0.07017,92,449,0.04651,0.09382
1985,30-45 y.,male,Comp. time,0.13702,187,1078,0.11649,0.15756
1985,30-45 y.,male,Some of both,0.06838,105,1078,0.05330,0.08345
1985,30-45 y.,male,Paid,0.27148,507,1078,0.24492,0.29804
1985,30-45 y.,male,Not compensated,0.20304,279,1078,0.17902,0.22707
1985,30-45 y.,female,Comp. time,0.10915,151,444,0.08012,0.13819
1985,30-45 y.,female,Some of both,0.03787,54,444,0.02009,0.05565
1985,30-45 y.,female,Paid,0.07312,134,444,0.04888,0.09736
1985,30-45 y.,female,Not compensated,0.07439,105,444,0.04996,0.09883
1985,46-65 y.,male,Comp. time,0.10027,143,802,0.07947,0.12107
1985,46-65 y.,male,Some of both,0.05884,84,802,0.04254,0.07514
1985,46-65 y.,male,Paid,0.16546,319,802,0.13973,0.19120
1985,46-65 y.,male,Not compensated,0.18071,256,802,0.15406,0.20736
1985,46-65 y.,female,Comp. time,0.06720,100,289,0.03828,0.09611
1985,46-65 y.,female,Paid,0.05363,101,289,0.02761,0.07965
1985,46-65 y.,female,Not compensated,0.05947,88,289,0.03216,0.08679
1986,17-29 y.,male,Comp. time,0.09084,128,622,0.06824,0.11345
1986,17-29 y.,male,Some of both,0.07038,89,622,0.05026,0.09049
1986,17-29 y.,male,Paid,0.20851,344,622,0.17656,0.24046
1986,17-29 y.,male,Not compensated,0.04072,61,622,0.02517,0.05626
1986,17-29 y.,female,Comp. time,0.16268,188,449,0.12851,0.19686
1986,17-29 y.,female,Some of both,0.04799,56,449,0.02820,0.06778
1986,17-29 y.,female,Paid,0.07728,106,449,0.05255,0.10200
1986,17-29 y.,female,Not compensated,0.07857,99,449,0.05365,0.10348
1986,30-45 y.,male,Comp. time,0.16848,220,985,0.14510,0.19187
1986,30-45 y.,male,Some of both,0.07723,116,985,0.06055,0.09391
1986,30-45 y.,male,Paid,0.25622,453,985,0.22894,0.28349
1986,30-45 y.,male,Not compensated,0.15020,196,985,0.12788,0.17252
1986,30-45 y.,female,Comp. time,0.12906,175,421,0.09700,0.16112
1986,30-45 y.,female,Some of both,0.03064,43,421,0.01415,0.04712
1986,30-45 y.,female,Paid,0.07398,126,421,0.04894,0.09901
1986,30-45 y.,female,Not compensated,0.05715,77,421,0.03495,0.07935
1986,46-65 y.,male,Comp. time,0.10930,162,761,0.08711,0.13148
1986,46-65 y.,male,Some of both,0.04813,68,761,0.03292,0.06335
1986,46-65 y.,male,Paid,0.18821,365,761,0.16042,0.21600
1986,46-65 y.,male,Not compensated,0.11430,166,761,0.09168,0.13692
1986,46-65 y.,female,Comp. time,0.06616,93,239,0.03458,0.09774
1986,46-65 y.,female,Paid,0.04875,87,239,0.02139,0.07611
1986,46-65 y.,female,Not compensated,0.04088,59,239,0.01572,0.06604
1988,17-29 y.,male,Comp. time,0.12145,156,617,0.09566,0.14725
1988,17-29 y.,male,Some of both,0.06083,81,617,0.04196,0.07971
1988,17-29 y.,male,Paid,0.20820,317,617,0.17614,0.24026
1988,17-29 y.,male,Not compensated,0.05152,63,617,0.03406,0.06897
1988,17-29 y.,female,Comp. time,0.18757,199,462,0.15194,0.22321
1988,17-29 y.,female,Some of both,0.04281,50,462,0.02433,0.06129
1988,17-29 y.,female,Paid,0.08329,117,462,0.05807,0.10851
1988,17-29 y.,female,Not compensated,0.08964,96,462,0.06356,0.11572
1988,30-45 y.,male,Comp. time,0.15778,203,934,0.13439,0.18117
1988,30-45 y.,male,Some of both,0.09304,127,934,0.07440,0.11168
1988,30-45 y.,male,Paid,0.26790,438,934,0.23949,0.29632
1988,30-45 y.,male,Not compensated,0.14346,166,934,0.12097,0.16596
1988,30-45 y.,female,Comp. time,0.13620,167,425,0.10355,0.16885
1988,30-45 y.,female,Some of both,0.03213,42,425,0.01535,0.04892
1988,30-45 y.,female,Paid,0.08429,147,425,0.05785,0.11074
1988,30-45 y.,female,Not compensated,0.05998,69,425,0.03738,0.08258
1988,46-65 y.,male,Comp. time,0.12586,173,732,0.10182,0.14991
1988,46-65 y.,male,Some of both,0.06238,90,732,0.04485,0.07991
1988,46-65 y.,male,Paid,0.17026,318,732,0.14302,0.19751
1988,46-65 y.,male,Not compensated,0.11348,151,732,0.09048,0.13647
1988,46-65 y.,female,Comp. time,0.08638,118,252,0.05162,0.12113
1988,46-65 y.,female,Paid,0.04881,90,252,0.02215,0.07547
1988,46-65 y.,female,Not compensated,0.03164,44,252,0.00999,0.05330
1989,17-29 y.,male,Comp. time,0.11669,140,641,0.09182,0.14156
1989,17-29 y.,male,Some of both,0.07213,101,641,0.05209,0.09218
1989,17-29 y.,male,Paid,0.22146,345,641,0.18929,0.25363
1989,17-29 y.,male,Not compensated,0.03914,55,641,0.02412,0.05417
1989,17-29 y.,female,Comp. time,0.18739,214,490,0.15280,0.22198
1989,17-29 y.,female,Some of both,0.05454,65,490,0.03442,0.07467
1989,17-29 y.,female,Paid,0.10035,125,490,0.07372,0.12698
1989,17-29 y.,female,Not compensated,0.08452,86,490,0.05987,0.10918
1989,30-45 y.,male,Comp. time,0.17268,213,939,0.14849,0.19687
1989,30-45 y.,male,Some of both,0.12477,156,939,0.10363,0.14592
1989,30-45 y.,male,Paid,0.26932,414,939,0.24093,0.29770
1989,30-45 y.,male,Not compensated,0.13701,156,939,0.11501,0.15902
1989,30-45 y.,female,Comp. time,0.15078,187,495,0.11923,0.18234
1989,30-45 y.,female,Some of both,0.05466,66,495,0.03461,0.07470
1989,30-45 y.,female,Paid,0.11269,176,495,0.08480,0.14057
1989,30-45 y.,female,Not compensated,0.05387,66,495,0.03396,0.07378
1989,46-65 y.,male,Comp. time,0.12924,166,782,0.10572,0.15277
1989,46-65 y.,male,Some of both,0.07982,113,782,0.06081,0.09883
1989,46-65 y.,male,Paid,0.19137,347,782,0.16378,0.21896
1989,46-65 y.,male,Not compensated,0.12302,156,782,0.09998,0.14605
1989,46-65 y.,female,Comp. time,0.09898,120,270,0.06329,0.13467
1989,46-65 y.,female,Paid,0.05641,101,270,0.02884,0.08398
1989,46-65 y.,female,Not compensated,0.04378,49,270,0.01933,0.06823
1990,17-29 y.,male,Comp. time,0.12273,226,995,0.10233,0.14313
1990,17-29 y.,male,Some of both,0.08179,167,995,0.06476,0.09883
1990,17-29 y.,male,Paid,0.25903,536,995,0.23180,0.28627
1990,17-29 y.,male,Not compensated,0.03998,66,995,0.02780,0.05215
1990,17-29 y.,female,Comp. time,0.21676,371,780,0.18782,0.24569
1990,17-29 y.,female,Some of both,0.06300,120,780,0.04594,0.08006
1990,17-29 y.,female,Paid,0.10099,205,780,0.07983,0.12215
1990,17-29 y.,female,Not compensated,0.06418,84,780,0.04697,0.08140
1990,30-45 y.,male,Comp. time,0.19499,384,1528,0.17512,0.21487
1990,30-45 y.,male,Some of both,0.13029,265,1528,0.11341,0.14718
1990,30-45 y.,male,Paid,0.27494,671,1528,0.25254,0.29733
1990,30-45 y.,male,Not compensated,0.11946,208,1528,0.10319,0.13573
1990,30-45 y.,female,Comp. time,0.19112,428,988,0.16659,0.21565
1990,30-45 y.,female,Some of both,0.05829,129,988,0.04367,0.07291
1990,30-45 y.,female,Paid,0.11936,314,988,0.09913,0.13959
1990,30-45 y.,female,Not compensated,0.05846,117,988,0.04382,0.07309
1990,46-65 y.,male,Comp. time,0.14797,295,1201,0.12788,0.16806
1990,46-65 y.,male,Some of both,0.07010,165,1201,0.05565,0.08454
1990,46-65 y.,male,Paid,0.21264,525,1201,0.18949,0.23579
1990,46-65 y.,male,Not compensated,0.11616,216,1201,0.09803,0.13429
1990,46-65 y.,female,Comp. time,0.12721,266,638,0.10133,0.15308
1990,46-65 y.,female,Some of both,0.02938,74,638,0.01626,0.04249
