year,sex,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Comp. time,0.22249,569,2984,0.20757,0.23742
1984,male,Some of both,0.11242,319,2984,0.10109,0.12376
1984,male,Paid,0.40957,1442,2984,0.39192,0.42722
1984,male,Not compensated,0.25551,654,2984,0.23986,0.27117
1984,female,Comp. time,0.40492,511,1358,0.37880,0.43104
1984,female,Some of both,0.10668,142,1358,0.09026,0.12311
1984,female,Paid,0.25253,412,1358,0.22941,0.27565
1984,female,Not compensated,0.23587,293,1358,0.21328,0.25846
1985,male,Comp. time,0.20729,456,2502,0.19140,0.22317
1985,male,Some of both,0.11780,278,2502,0.10517,0.13044
1985,male,Paid,0.38584,1136,2502,0.36676,0.40491
1985,male,Not compensated,0.28907,632,2502,0.27131,0.30684
1985,female,Comp. time,0.39674,447,1204,0.36909,0.42438
1985,female,Some of both,0.11099,125,1204,0.09324,0.12874
1985,female,Paid,0.24103,346,1204,0.21686,0.26520
1985,female,Not compensated,0.25125,286,1204,0.22674,0.27576
1986,male,Comp. time,0.24166,510,2369,0.22442,0.25891
1986,male,Some of both,0.12724,273,2369,0.11382,0.14066
1986,male,Paid,0.42837,1163,2369,0.40844,0.44830
1986,male,Not compensated,0.20273,423,2369,0.18654,0.21892
1986,female,Comp. time,0.43044,456,1133,0.40160,0.45929
1986,female,Some of both,0.10634,121,1133,0.08838,0.12430
1986,female,Paid,0.24593,320,1133,0.22085,0.27102
1986,female,Not compensated,0.21729,236,1133,0.19326,0.24131
1988,male,Comp. time,0.25716,533,2287,0.23924,0.27508
1988,male,Some of both,0.13729,299,2287,0.12318,0.15140
1988,male,Paid,0.40565,1073,2287,0.38552,0.42577
1988,male,Not compensated,0.19991,382,2287,0.18351,0.21630
1988,female,Comp. time,0.45525,485,1167,0.42667,0.48384
1988,female,Some of both,0.10553,119,1167,0.08790,0.12317
1988,female,Paid,0.24158,354,1167,0.21702,0.26615
1988,female,Not compensated,0.19763,209,1167,0.17477,0.22049
1989,male,Comp. time,0.24894,520,2367,0.23152,0.26636
1989,male,Some of both,0.16384,370,2367,0.14893,0.17875
1989,male,Paid,0.40296,1107,2367,0.38319,0.42272
1989,male,Not compensated,0.18427,370,2367,0.16864,0.19989
1989,female,Comp. time,0.43087,521,1282,0.40375,0.45799
1989,female,Some of both,0.12184,156,1282,0.10393,0.13976
1989,female,Paid,0.26668,403,1282,0.24246,0.29090
1989,female,Not compensated,0.18061,202,1282,0.15954,0.20167
1990,male,Comp. time,0.26378,906,3729,0.24963,0.27792
1990,male,Some of both,0.15753,597,3729,0.14583,0.16922
1990,male,Paid,0.41782,1735,3729,0.40198,0.43365
1990,male,Not compensated,0.16088,491,3729,0.14909,0.17268
1990,female,Comp. time,0.46060,1066,2409,0.44069,0.48051
1990,female,Some of both,0.12807,323,2409,0.11472,0.14141
1990,female,Paid,0.27583,757,2409,0.25798,0.29368
1990,female,Not compensated,0.13551,263,2409,0.12183,0.14918
1991,male,Comp. time,0.28192,975,3478,0.26696,0.29687
1991,male,Some of both,0.15992,540,3478,0.14774,0.17210
1991,male,Paid,0.39481,1482,3478,0.37856,0.41106
1991,male,Not compensated,0.16335,481,3478,0.15106,0.17564
1991,female,Comp. time,0.46545,1040,2236,0.44477,0.48613
1991,female,Some of both,0.12135,276,2236,0.10781,0.13489
1991,female,Paid,0.26180,609,2236,0.24358,0.28003
1991,female,Not compensated,0.15140,311,2236,0.13654,0.16626
1992,male,Comp. time,0.27570,882,3288,0.26042,0.29098
1992,male,Some of both,0.18136,581,3288,0.16819,0.19454
1992,male,Paid,0.38526,1358,3288,0.36862,0.40189
1992,male,Not compensated,0.15768,467,3288,0.14522,0.17014
1992,female,Comp. time,0.47012,962,2092,0.44873,0.49152
1992,female,Some of both,0.14644,307,2092,0.13129,0.16160
1992,female,Paid,0.23250,518,2092,0.21440,0.25061
1992,female,Not compensated,0.15093,305,2092,0.13559,0.16627
1993,male,Comp. time,0.26616,801,3157,0.25075,0.28158
1993,male,Some of both,0.18335,596,3157,0.16985,0.19685
1993,male,Paid,0.37210,1265,3157,0.35524,0.38896
1993,male,Not compensated,0.17839,495,3157,0.16503,0.19174
1993,female,Comp. time,0.47206,995,2099,0.45070,0.49343
1993,female,Some of both,0.13976,303,2099,0.12492,0.15460
1993,female,Paid,0.23147,493,2099,0.21343,0.24952
1993,female,Not compensated,0.15670,308,2099,0.14115,0.17226
1994,male,Comp. time,0.28875,866,3073,0.27273,0.30478
1994,male,Some of both,0.19540,602,3073,0.18138,0.20942
1994,male,Paid,0.34040,1119,3073,0.32365,0.35716
1994,male,Not compensated,0.17545,486,3073,0.16200,0.18890
