year,age_gr,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,At least once per month,0.01719,46,3080,0.01260,0.02178
1985,17-29 y.,Seldom,0.06517,172,3080,0.05645,0.07389
1985,17-29 y.,Never,0.89984,2862,3080,0.88923,0.91044
1985,30-45 y.,At least once per week,0.01478,43,3433,0.01075,0.01882
1985,30-45 y.,At least once per month,0.02589,78,3433,0.02058,0.03121
1985,30-45 y.,Seldom,0.06759,194,3433,0.05919,0.07599
1985,30-45 y.,Never,0.87910,3118,3433,0.86820,0.89001
1985,46-65 y.,At least once per week,0.01194,33,3250,0.00821,0.01568
1985,46-65 y.,At least once per month,0.02476,69,3250,0.01942,0.03010
1985,46-65 y.,Seldom,0.04220,129,3250,0.03529,0.04912
1985,46-65 y.,Never,0.90339,3019,3250,0.89324,0.91355
1985,66 and older,Never,0.95275,1052,1052,0.93993,0.96558
1986,17-29 y.,At least once per month,0.02004,46,3016,0.01504,0.02505
1986,17-29 y.,Seldom,0.06100,156,3016,0.05245,0.06954
1986,17-29 y.,Never,0.90789,2814,3016,0.89756,0.91821
1986,30-45 y.,At least once per week,0.01400,41,3242,0.00995,0.01804
1986,30-45 y.,At least once per month,0.02191,60,3242,0.01687,0.02695
1986,30-45 y.,Seldom,0.07156,188,3242,0.06269,0.08044
1986,30-45 y.,Never,0.88367,2953,3242,0.87263,0.89470
1986,46-65 y.,At least once per week,0.01336,36,3176,0.00937,0.01735
1986,46-65 y.,At least once per month,0.02086,56,3176,0.01589,0.02583
1986,46-65 y.,Seldom,0.04925,146,3176,0.04172,0.05677
1986,46-65 y.,Never,0.89745,2938,3176,0.88690,0.90801
1986,66 and older,Never,0.95916,985,985,0.94679,0.97153
1988,17-29 y.,Seldom,0.05587,130,2828,0.04741,0.06434
1988,17-29 y.,Never,0.92756,2698,2828,0.91800,0.93712
1988,30-45 y.,At least once per month,0.02060,48,2898,0.01542,0.02577
1988,30-45 y.,Seldom,0.07847,190,2898,0.06868,0.08827
1988,30-45 y.,Never,0.87970,2660,2898,0.86786,0.89155
1988,46-65 y.,At least once per month,0.01848,50,3040,0.01369,0.02326
1988,46-65 y.,Seldom,0.06175,170,3040,0.05319,0.07030
1988,46-65 y.,Never,0.89278,2820,3040,0.88178,0.90378
1988,66 and older,Never,0.95067,984,984,0.93713,0.96421
1990,17-29 y.,At least once per month,0.02307,77,3794,0.01829,0.02785
1990,17-29 y.,Seldom,0.11387,372,3794,0.10376,0.12398
1990,17-29 y.,Never,0.84878,3345,3794,0.83738,0.86018
1990,30-45 y.,At least once per week,0.01743,76,4255,0.01350,0.02136
1990,30-45 y.,At least once per month,0.03227,151,4255,0.02696,0.03758
1990,30-45 y.,Seldom,0.16492,607,4255,0.15377,0.17607
1990,30-45 y.,Never,0.77872,3421,4255,0.76624,0.79119
1990,46-65 y.,At least once per week,0.02003,85,4203,0.01579,0.02427
1990,46-65 y.,At least once per month,0.04330,180,4203,0.03715,0.04945
1990,46-65 y.,Seldom,0.12891,481,4203,0.11878,0.13905
1990,46-65 y.,Never,0.79818,3457,4203,0.78604,0.81031
1990,66 and older,Seldom,0.06007,91,1390,0.04757,0.07257
1990,66 and older,Never,0.89990,1299,1390,0.88411,0.91568
1992,17-29 y.,At least once per month,0.00872,31,3532,0.00565,0.01179
1992,17-29 y.,Seldom,0.04956,163,3532,0.04240,0.05672
1992,17-29 y.,Never,0.93182,3338,3532,0.92351,0.94014
1992,30-45 y.,At least once per week,0.00973,44,4205,0.00676,0.01269
1992,30-45 y.,At least once per month,0.02039,81,4205,0.01612,0.02467
1992,30-45 y.,Seldom,0.07853,306,4205,0.07040,0.08667
1992,30-45 y.,Never,0.88084,3774,4205,0.87104,0.89063
1992,46-65 y.,At least once per week,0.01133,48,3944,0.00803,0.01463
1992,46-65 y.,At least once per month,0.02568,94,3944,0.02074,0.03061
1992,46-65 y.,Seldom,0.06115,224,3944,0.05368,0.06863
1992,46-65 y.,Never,0.87395,3578,3944,0.86359,0.88431
1992,66 and older,Seldom,0.02594,39,1374,0.01753,0.03435
1992,66 and older,Never,0.90938,1335,1374,0.89419,0.92456
1994,17-29 y.,At least once per month,0.00819,31,3302,0.00512,0.01127
1994,17-29 y.,Seldom,0.05206,167,3302,0.04448,0.05964
1994,17-29 y.,Never,0.92718,3104,3302,0.91832,0.93605
1994,30-45 y.,At least once per week,0.00825,37,4119,0.00549,0.01101
1994,30-45 y.,At least once per month,0.01324,59,4119,0.00975,0.01673
1994,30-45 y.,Seldom,0.07938,302,4119,0.07112,0.08764
1994,30-45 y.,Never,0.89297,3721,4119,0.88353,0.90242
1994,46-65 y.,At least once per week,0.01349,54,3829,0.00984,0.01715
1994,46-65 y.,At least once per month,0.02424,100,3829,0.01937,0.02911
1994,46-65 y.,Seldom,0.06664,241,3829,0.05874,0.07454
1994,46-65 y.,Never,0.87095,3434,3829,0.86033,0.88157
1994,66 and older,Seldom,0.05132,71,1431,0.03989,0.06276
1994,66 and older,Never,0.90413,1360,1431,0.88887,0.91939
1995,17-29 y.,Seldom,0.07164,214,3296,0.06283,0.08044
1995,17-29 y.,Never,0.91013,3082,3296,0.90037,0.91990
1995,30-45 y.,At least once per week,0.00897,48,4408,0.00619,0.01176
1995,30-45 y.,At least once per month,0.01849,74,4408,0.01451,0.02246
1995,30-45 y.,Seldom,0.09525,390,4408,0.08658,0.10391
1995,30-45 y.,Never,0.86580,3896,4408,0.85574,0.87586
1995,46-65 y.,At least once per week,0.01757,71,3935,0.01347,0.02168
1995,46-65 y.,At least once per month,0.02674,100,3935,0.02170,0.03178
1995,46-65 y.,Seldom,0.09780,338,3935,0.08852,0.10708
1995,46-65 y.,Never,0.84757,3426,3935,0.83634,0.85881
1995,66 and older,At least once per month,0.02330,37,1488,0.01564,0.03097
1995,66 and older,Seldom,0.05602,77,1488,0.04433,0.06770
1995,66 and older,Never,0.89276,1374,1488,0.87703,0.90848
1996,17-29 y.,Seldom,0.07389,203,3120,0.06471,0.08307
1996,17-29 y.,Never,0.91312,2917,3120,0.90324,0.92301
1996,30-45 y.,At least once per week,0.00750,33,4419,0.00495,0.01004
1996,30-45 y.,At least once per month,0.01530,68,4419,0.01168,0.01892
