"pglfs","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Hamburg","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Bremen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Nordrhein-Westfalen","121","0.206639896590904","0.16735186450483","0.245927928676979"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Hessen","31","0.181848539305942","0.118628925892924","0.245068152718961"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Baden-Wuerttemberg","85","0.143232701526752","0.106267670419615","0.180197732633889"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Bayern","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Saarland","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Berlin","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Sachsen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Thueringen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","Schleswig-Holstein","57","0.237955477818465","0.182314486594583","0.293596469042347"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","Hamburg","37","0.229749177957385","0.165366470590389","0.294131885324381"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","Niedersachsen","185","0.24875391594963","0.217795177444846","0.279712654454415"
