"pglfs","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","maennlich","32","0.0430461944422808","0.0267518148407614","0.0593405740438001"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","weiblich","293","0.290952120411598","0.25768309149834","0.324221149324856"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","maennlich","248","0.0866384646987537","0.0773494745502016","0.0959274548473058"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","weiblich","1547","0.387704290625888","0.372143242535007","0.403265338716769"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Realschulabschluss","maennlich","31","0.0432372194996187","0.029036315315114","0.0574381236841234"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Realschulabschluss","weiblich","291","0.25496326360274","0.229207205448448","0.280719321757032"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(Fach-)Abitur","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(Fach-)Abitur","weiblich","81","0.206526809488932","0.164237450132352","0.248816168845512"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","AkademikerInnen","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","AkademikerInnen","weiblich","54","0.199331524627209","0.150393947106955","0.248269102147464"
"NE: 65 Jahre und älter","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: 65 Jahre und älter","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: 65 Jahre und älter","1984","Hauptschulabschluss","maennlich","349","0.15179842142602","0.139949605974757","0.163647236877283"
"NE: 65 Jahre und älter","1984","Hauptschulabschluss","weiblich","594","0.249521709428261","0.235700973514677","0.263342445341846"
"NE: 65 Jahre und älter","1984","Realschulabschluss","maennlich","58","0.098896790861115","0.0780536410486534","0.119739940673577"
"NE: 65 Jahre und älter","1984","Realschulabschluss","weiblich","112","0.153815323421963","0.13249547423753","0.175135172606396"
"NE: 65 Jahre und älter","1984","(Fach-)Abitur","maennlich","","","",""
"NE: 65 Jahre und älter","1984","(Fach-)Abitur","weiblich","","","",""
"NE: 65 Jahre und älter","1984","AkademikerInnen","maennlich","37","0.0931132084792548","0.0685354013212972","0.117691015637212"
"NE: 65 Jahre und älter","1984","AkademikerInnen","weiblich","","","",""
"NE: derzeit in Ausbildung","1984","(noch) kein Abschluss","maennlich","109","0.431890233166984","0.392122779801998","0.471657686531971"
"NE: derzeit in Ausbildung","1984","(noch) kein Abschluss","weiblich","108","0.403369095305569","0.367435906185947","0.439302284425191"
"NE: derzeit in Ausbildung","1984","Hauptschulabschluss","maennlich","46","0.00831561441124472","0.00531696509889452","0.0113142637235949"
"NE: derzeit in Ausbildung","1984","Hauptschulabschluss","weiblich","56","0.0116991191678868","0.00826489131043477","0.0151333470253389"
"NE: derzeit in Ausbildung","1984","Realschulabschluss","maennlich","89","0.0976927711899647","0.0769630521845137","0.118422490195416"
"NE: derzeit in Ausbildung","1984","Realschulabschluss","weiblich","79","0.0683456831627162","0.0534337244274544","0.083257641897978"
"NE: derzeit in Ausbildung","1984","(Fach-)Abitur","maennlich","127","0.285882242618555","0.247009702677164","0.324754782559947"
"NE: derzeit in Ausbildung","1984","(Fach-)Abitur","weiblich","77","0.212416303265561","0.169687666091953","0.255144940439169"
"NE: derzeit in Ausbildung","1984","AkademikerInnen","maennlich","","","",""
"NE: derzeit in Ausbildung","1984","AkademikerInnen","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hauptschulabschluss","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hauptschulabschluss","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Realschulabschluss","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Realschulabschluss","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(Fach-)Abitur","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(Fach-)Abitur","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","AkademikerInnen","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","AkademikerInnen","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","Hauptschulabschluss","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","Hauptschulabschluss","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","Realschulabschluss","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","Realschulabschluss","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","(Fach-)Abitur","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","(Fach-)Abitur","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","AkademikerInnen","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","AkademikerInnen","weiblich","","","",""
"NE: arbeitslos registriert","1984","(noch) kein Abschluss","maennlich","42","0.0586371186022649","0.0397750288688185","0.0774992083357113"
"NE: arbeitslos registriert","1984","(noch) kein Abschluss","weiblich","37","0.043848006918009","0.0288501234110069","0.058845890425011"
"NE: arbeitslos registriert","1984","Hauptschulabschluss","maennlich","160","0.0414275528704018","0.0348472045887351","0.0480079011520686"
"NE: arbeitslos registriert","1984","Hauptschulabschluss","weiblich","109","0.0235025834513452","0.0186641888576928","0.0283409780449977"
"NE: arbeitslos registriert","1984","Realschulabschluss","maennlich","","","",""
"NE: arbeitslos registriert","1984","Realschulabschluss","weiblich","","","",""
"NE: arbeitslos registriert","1984","(Fach-)Abitur","maennlich","","","",""
"NE: arbeitslos registriert","1984","(Fach-)Abitur","weiblich","","","",""
"NE: arbeitslos registriert","1984","AkademikerInnen","maennlich","","","",""
"NE: arbeitslos registriert","1984","AkademikerInnen","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Realschulabschluss","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Realschulabschluss","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","AkademikerInnen","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","AkademikerInnen","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Hauptschulabschluss","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Hauptschulabschluss","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Realschulabschluss","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Realschulabschluss","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(Fach-)Abitur","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(Fach-)Abitur","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","AkademikerInnen","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","AkademikerInnen","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Realschulabschluss","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Realschulabschluss","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","AkademikerInnen","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","AkademikerInnen","weiblich","","","",""
"Erwerbstätig","1984","(noch) kein Abschluss","maennlich","407","0.42538201065408","0.38568990578844","0.465074115519721"
"Erwerbstätig","1984","(noch) kein Abschluss","weiblich","267","0.222981945468484","0.192493029381253","0.253470861555714"
"Erwerbstätig","1984","Hauptschulabschluss","maennlich","2711","0.708884615008879","0.693883894348737","0.72388533566902"
"Erwerbstätig","1984","Hauptschulabschluss","weiblich","1460","0.327572297326619","0.312582895052055","0.342561699601182"
"Erwerbstätig","1984","Realschulabschluss","maennlich","586","0.72875479456147","0.697712291691603","0.759797297431337"
"Erwerbstätig","1984","Realschulabschluss","weiblich","592","0.501842744552456","0.472295376407806","0.531390112697107"
"Erwerbstätig","1984","(Fach-)Abitur","maennlich","297","0.484860052587544","0.44186334227658","0.527856762898507"
"Erwerbstätig","1984","(Fach-)Abitur","weiblich","169","0.473722121078525","0.421561092151176","0.525883150005874"
"Erwerbstätig","1984","AkademikerInnen","maennlich","457","0.832392204130953","0.800800572430843","0.863983835831063"
"Erwerbstätig","1984","AkademikerInnen","weiblich","166","0.598868267898885","0.538828739994501","0.658907795803269"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Realschulabschluss","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Realschulabschluss","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","AkademikerInnen","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","AkademikerInnen","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Hauptschulabschluss","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Hauptschulabschluss","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Realschulabschluss","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Realschulabschluss","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","(Fach-)Abitur","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","(Fach-)Abitur","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","AkademikerInnen","maennlich","","","",""
