"pglfs","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Schleswig-Holstein","77","0.187672775880487","0.148771956283241","0.226573595477733"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hamburg","60","0.186995244670719","0.143661150710876","0.230329338630561"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Niedersachsen","265","0.207732742186454","0.185134425013736","0.230331059359173"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bremen","33","0.269151182646689","0.193774991014341","0.344527374279037"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Nordrhein-Westfalen","787","0.234797896836062","0.220278655227161","0.249317138444964"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hessen","275","0.217431390279081","0.194582334400615","0.240280446157548"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Rheinland-Pfalz,Saarland","216","0.250104215040121","0.221092582341566","0.279115847738676"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Baden-Wuerttemberg","458","0.19255692796012","0.176343327825125","0.208770528095115"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bayern","423","0.202270072331089","0.185130474750492","0.219409669911686"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Saarland","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Berlin","63","0.146834872128356","0.112658132042795","0.181011612213917"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Brandenburg","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Mecklenburg-Vorpommern","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Sachsen-Anhalt","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Thueringen","","","",""
"NE: 65 Jahre und älter","1984","Schleswig-Holstein","40","0.15482855093429","0.118788072969439","0.19086902889914"
"NE: 65 Jahre und älter","1984","Hamburg","45","0.242576135516593","0.19493726838425","0.290215002648936"
"NE: 65 Jahre und älter","1984","Niedersachsen","150","0.181805236317146","0.160321030198942","0.203289442435351"
"NE: 65 Jahre und älter","1984","Bremen","32","0.34625296052504","0.265394794668204","0.427111126381877"
"NE: 65 Jahre und älter","1984","Nordrhein-Westfalen","273","0.147204114603779","0.135067675633002","0.159340553574557"
"NE: 65 Jahre und älter","1984","Hessen","103","0.157178973822985","0.137018031280875","0.177339916365095"
"NE: 65 Jahre und älter","1984","Rheinland-Pfalz,Saarland","108","0.177101773264563","0.151527946041971","0.202675600487156"
"NE: 65 Jahre und älter","1984","Baden-Wuerttemberg","205","0.170795591719945","0.155321218855079","0.186269964584811"
"NE: 65 Jahre und älter","1984","Bayern","228","0.169352973100299","0.153349599885813","0.185356346314785"
"NE: 65 Jahre und älter","1984","Saarland","","","",""
"NE: 65 Jahre und älter","1984","Berlin","46","0.207370525125639","0.168222657984659","0.246518392266618"
"NE: 65 Jahre und älter","1984","Brandenburg","","","",""
"NE: 65 Jahre und älter","1984","Mecklenburg-Vorpommern","","","",""
"NE: 65 Jahre und älter","1984","Sachsen","","","",""
"NE: 65 Jahre und älter","1984","Sachsen-Anhalt","","","",""
"NE: 65 Jahre und älter","1984","Thueringen","","","",""
"NE: derzeit in Ausbildung","1984","Schleswig-Holstein","","","",""
"NE: derzeit in Ausbildung","1984","Hamburg","","","",""
"NE: derzeit in Ausbildung","1984","Niedersachsen","101","0.0736167136291296","0.0590697840267572","0.0881636432315019"
"NE: derzeit in Ausbildung","1984","Bremen","","","",""
"NE: derzeit in Ausbildung","1984","Nordrhein-Westfalen","238","0.0688610241256427","0.0601873571169476","0.0775346911343378"
"NE: derzeit in Ausbildung","1984","Hessen","66","0.0546536392551199","0.0420629081829432","0.0672443703272967"
"NE: derzeit in Ausbildung","1984","Rheinland-Pfalz,Saarland","46","0.0505515609421291","0.0358753418554579","0.0652277800288004"
"NE: derzeit in Ausbildung","1984","Baden-Wuerttemberg","105","0.0523510358022185","0.0431924100452181","0.061509661559219"
"NE: derzeit in Ausbildung","1984","Bayern","101","0.0435700556191778","0.0348598681399716","0.052280243098384"
"NE: derzeit in Ausbildung","1984","Saarland","","","",""
"NE: derzeit in Ausbildung","1984","Berlin","","","",""
"NE: derzeit in Ausbildung","1984","Brandenburg","","","",""
"NE: derzeit in Ausbildung","1984","Mecklenburg-Vorpommern","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen","","","",""
"NE: derzeit in Ausbildung","1984","Sachsen-Anhalt","","","",""
"NE: derzeit in Ausbildung","1984","Thueringen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Schleswig-Holstein","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hamburg","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Niedersachsen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bremen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Nordrhein-Westfalen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hessen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Rheinland-Pfalz,Saarland","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Baden-Wuerttemberg","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Bayern","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Saarland","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Berlin","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Brandenburg","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Mecklenburg-Vorpommern","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Sachsen-Anhalt","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Thueringen","","","",""
"NE: im Militär-/Zivildienst","1984","Schleswig-Holstein","","","",""
"NE: im Militär-/Zivildienst","1984","Hamburg","","","",""
"NE: im Militär-/Zivildienst","1984","Niedersachsen","","","",""
"NE: im Militär-/Zivildienst","1984","Bremen","","","",""
"NE: im Militär-/Zivildienst","1984","Nordrhein-Westfalen","","","",""
"NE: im Militär-/Zivildienst","1984","Hessen","","","",""
"NE: im Militär-/Zivildienst","1984","Rheinland-Pfalz,Saarland","","","",""
"NE: im Militär-/Zivildienst","1984","Baden-Wuerttemberg","","","",""
"NE: im Militär-/Zivildienst","1984","Bayern","","","",""
"NE: im Militär-/Zivildienst","1984","Saarland","","","",""
"NE: im Militär-/Zivildienst","1984","Berlin","","","",""
"NE: im Militär-/Zivildienst","1984","Brandenburg","","","",""
"NE: im Militär-/Zivildienst","1984","Mecklenburg-Vorpommern","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen","","","",""
"NE: im Militär-/Zivildienst","1984","Sachsen-Anhalt","","","",""
"NE: im Militär-/Zivildienst","1984","Thueringen","","","",""
"NE: arbeitslos registriert","1984","Schleswig-Holstein","","","",""
"NE: arbeitslos registriert","1984","Hamburg","","","",""
"NE: arbeitslos registriert","1984","Niedersachsen","49","0.0333357675464449","0.0233362091034757","0.0433353259894141"
"NE: arbeitslos registriert","1984","Bremen","","","",""
"NE: arbeitslos registriert","1984","Nordrhein-Westfalen","134","0.0344531131296253","0.0282055641076895","0.0407006621515611"
"NE: arbeitslos registriert","1984","Hessen","52","0.0264375155967079","0.0175508638299819","0.035324167363434"
"NE: arbeitslos registriert","1984","Rheinland-Pfalz,Saarland","","","",""
"NE: arbeitslos registriert","1984","Baden-Wuerttemberg","49","0.0141005693956255","0.00925239135056956","0.0189487474406814"
"NE: arbeitslos registriert","1984","Bayern","73","0.0277902463488505","0.0207767746540762","0.0348037180436248"
"NE: arbeitslos registriert","1984","Saarland","","","",""
"NE: arbeitslos registriert","1984","Berlin","","","",""
"NE: arbeitslos registriert","1984","Brandenburg","","","",""
"NE: arbeitslos registriert","1984","Mecklenburg-Vorpommern","","","",""
"NE: arbeitslos registriert","1984","Sachsen","","","",""
"NE: arbeitslos registriert","1984","Sachsen-Anhalt","","","",""
"NE: arbeitslos registriert","1984","Thueringen","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Schleswig-Holstein","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Hamburg","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Niedersachsen","","","",""
