"pglfs","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","325","0.171776833720542","0.151367108528288","0.192186558912795"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1795","0.251379853868017","0.24142098289386","0.261338724842175"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","322","0.169522329162483","0.152597490733898","0.186447167591068"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","110","0.118868112511312","0.0973753541513688","0.140360870871256"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","76","0.0943263586978794","0.0739834103556551","0.114669307040104"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","943","0.205272010366578","0.195999694063724","0.214544326669433"
"NE: 65 Jahre und älter","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","170","0.1316532376948","0.116401846432308","0.146904628957291"
"NE: 65 Jahre und älter","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","42","0.082518130939363","0.0642450217173955","0.100791240161331"
"NE: 65 Jahre und älter","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","56","0.107012976878615","0.0854974347281931","0.128528519029037"
"NE: 65 Jahre und älter","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","217","0.417080001037649","0.390399416867669","0.443760585207629"
"NE: derzeit in Ausbildung","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","102","0.0101670476390231","0.00786405526947711","0.012470040008569"
"NE: derzeit in Ausbildung","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","168","0.0801885465892266","0.0679380787763653","0.092439014402088"
"NE: derzeit in Ausbildung","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","204","0.255774324294155","0.226799566716279","0.28474908187203"
"NE: derzeit in Ausbildung","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","79","0.050957545013905","0.0390580579200108","0.0628570321077993"
"NE: arbeitslos registriert","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","269","0.0316191186058412","0.0276020236373006","0.0356362135743818"
"NE: arbeitslos registriert","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","44","0.0218152012487615","0.015225933384481","0.0284044691130419"
"NE: arbeitslos registriert","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","30","0.0339926884650625","0.0219583567755622","0.0460270201545629"
"NE: arbeitslos registriert","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","674","0.320281296827141","0.295034192611997","0.345528401042286"
"Erwerbstätig","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","4171","0.500232833529268","0.488754361688133","0.511711305370402"
"Erwerbstätig","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","1178","0.593411912014357","0.571255340885326","0.615568483143387"
"Erwerbstätig","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","466","0.480295489265689","0.447115861412022","0.513475117119356"
"Erwerbstätig","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","623","0.75573890945905","0.725835236491986","0.785642582426113"
"Erwerbstätig","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
