"pglfs","year","migback","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","kein Migrationshintergrund","1881","0.210804677346665","0.202230930703819","0.219378423989512"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","direkter Migrationshintergrund","756","0.238212389232349","0.223941738844883","0.252483039619816"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","kein Migrationshintergrund","1193","0.183165843531298","0.175035152404539","0.191296534658057"
"NE: 65 Jahre und älter","1984","direkter Migrationshintergrund","33","0.0391711258558006","0.0326720636863927","0.0456701880252086"
"NE: 65 Jahre und älter","1984","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","kein Migrationshintergrund","547","0.0579037124862705","0.0529941914644119","0.0628132335081291"
"NE: derzeit in Ausbildung","1984","direkter Migrationshintergrund","141","0.0445081125090898","0.037599708427537","0.0514165165906427"
"NE: derzeit in Ausbildung","1984","indirekter Migrationshintergrund","31","0.164781665511105","0.10051325487529","0.22905007614692"
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","indirekter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","kein Migrationshintergrund","31","0.00352877174965526","0.00228230000330039","0.00477524349601014"
"NE: im Militär-/Zivildienst","1984","direkter Migrationshintergrund","","","",""
"NE: im Militär-/Zivildienst","1984","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos registriert","1984","kein Migrationshintergrund","236","0.0266584283252936","0.0232724187635747","0.0300444378870124"
"NE: arbeitslos registriert","1984","direkter Migrationshintergrund","198","0.0590448802914855","0.0511486424812276","0.0669411181017434"
"NE: arbeitslos registriert","1984","indirekter Migrationshintergrund","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","kein Migrationshintergrund","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","direkter Migrationshintergrund","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","indirekter Migrationshintergrund","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","kein Migrationshintergrund","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","direkter Migrationshintergrund","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","indirekter Migrationshintergrund","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","kein Migrationshintergrund","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","direkter Migrationshintergrund","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","indirekter Migrationshintergrund","","","",""
"Erwerbstätig","1984","kein Migrationshintergrund","4806","0.517938566560818","0.507435198309214","0.528441934812421"
"Erwerbstätig","1984","direkter Migrationshintergrund","2291","0.6165963012447","0.600308095436135","0.632884507053265"
"Erwerbstätig","1984","indirekter Migrationshintergrund","68","0.502481050671023","0.415863128041584","0.589098973300462"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","kein Migrationshintergrund","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","direkter Migrationshintergrund","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","indirekter Migrationshintergrund","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","kein Migrationshintergrund","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","direkter Migrationshintergrund","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","kein Migrationshintergrund","1575","0.188796898400097","0.180220210236281","0.197373586563913"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","direkter Migrationshintergrund","625","0.233242715755199","0.217976993680763","0.248508437829635"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1985","kein Migrationshintergrund","1028","0.182310317366457","0.173848624189463","0.19077201054345"
"NE: 65 Jahre und älter","1985","direkter Migrationshintergrund","36","0.0507948190316194","0.0428684532484126","0.0587211848148262"
"NE: 65 Jahre und älter","1985","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1985","kein Migrationshintergrund","440","0.0504176038748879","0.0456223145074519","0.055212893242324"
"NE: derzeit in Ausbildung","1985","direkter Migrationshintergrund","110","0.0394423798765187","0.0324160648432234","0.046468694909814"
"NE: derzeit in Ausbildung","1985","indirekter Migrationshintergrund","40","0.0985873302632747","0.0498973916484737","0.147277268878076"
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","kein Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","direkter Migrationshintergrund","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","indirekter Migrationshintergrund","","","",""
