"pglfs","year","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","2657","0.21323722816329","0.205982483838419","0.220491972488161"
"NE: 65 Jahre und älter","1984","1230","0.169360572180822","0.162717314117226","0.176003830244418"
"NE: derzeit in Ausbildung","1984","719","0.0570760817888875","0.0529671011189442","0.0611850624588307"
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","","","",""
"NE: im Militär-/Zivildienst","1984","35","0.00341348179283264","0.0023804231023156","0.00444654048334968"
"NE: arbeitslos registriert","1984","439","0.0296820871262961","0.0266761981306337","0.0326879761219586"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","","","",""
"Erwerbstätig","1984","7165","0.527230548947872","0.518387669948304","0.53607342794744"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","2221","0.192796888197414","0.185454729934254","0.200139046460574"
"NE: 65 Jahre und älter","1985","1068","0.16961566998888","0.162630855491844","0.176600484485916"
"NE: derzeit in Ausbildung","1985","590","0.04963581960748","0.0455935530714651","0.0536780861434949"
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","","","",""
"NE: im Militär-/Zivildienst","1985","36","0.00350655800528111","0.00240638735708054","0.00460672865348168"
"NE: arbeitslos registriert","1985","495","0.0380008763689787","0.0344423805301084","0.041559372207849"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","118","0.0119089365282376","0.00989002497190717","0.0139278480845681"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","31","0.00294545312594298","0.00193685574751707","0.00395405050436889"
"Erwerbstätig","1985","6531","0.531589798177786","0.522302619321212","0.540876977034359"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","2029","0.185292008606185","0.177911535656409","0.19267248155596"
"NE: 65 Jahre und älter","1986","1005","0.17131445446827","0.164157195263584","0.178471713672956"
"NE: derzeit in Ausbildung","1986","564","0.0443435008072382","0.0404331046518895","0.0482538969625869"
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","","","",""
"NE: im Militär-/Zivildienst","1986","44","0.0045733250969702","0.00329165711641499","0.00585499307752541"
"NE: arbeitslos registriert","1986","436","0.0337065051618811","0.0302783043717585","0.0371347059520037"
