"pglfs","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1881","0.210804677346665","0.202230930703819","0.219378423989512"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","756","0.238212389232349","0.223941738844883","0.252483039619816"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1193","0.183165843531298","0.175035152404539","0.191296534658057"
"NE: 65 Jahre und älter","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","33","0.0391711258558006","0.0326720636863927","0.0456701880252086"
"NE: 65 Jahre und älter","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","547","0.0579037124862705","0.0529941914644119","0.0628132335081291"
"NE: derzeit in Ausbildung","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","141","0.0445081125090898","0.037599708427537","0.0514165165906427"
"NE: derzeit in Ausbildung","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","31","0.164781665511105","0.10051325487529","0.22905007614692"
"NE: derzeit in Ausbildung","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","31","0.00352877174965526","0.00228230000330039","0.00477524349601014"
"NE: im Militär-/Zivildienst","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","236","0.0266584283252936","0.0232724187635747","0.0300444378870124"
"NE: arbeitslos registriert","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","198","0.0590448802914855","0.0511486424812276","0.0669411181017434"
"NE: arbeitslos registriert","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
