"pglfs","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Schleswig-Holstein","kein Migrationshintergrund","68","0.188252805662106","0.146822688175054","0.229682923149158"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hamburg","kein Migrationshintergrund","41","0.186582108258296","0.135103285224437","0.238060931292156"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hamburg","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Niedersachsen","kein Migrationshintergrund","210","0.202652716194224","0.178080093752007","0.227225338636442"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Niedersachsen","direkter Migrationshintergrund","54","0.29423844522049","0.23155125861577","0.356925631825211"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bremen","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bremen","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Nordrhein-Westfalen","kein Migrationshintergrund","539","0.230952268467863","0.213634371383277","0.24827016555245"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","241","0.268570076211674","0.240518713704014","0.296621438719333"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hessen","kein Migrationshintergrund","167","0.212880611170511","0.183911259997543","0.24184996234348"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hessen","direkter Migrationshintergrund","104","0.243326312648817","0.204657006980233","0.281995618317402"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hessen","indirekter Migrationshintergrund","","","",""
