"pglfs","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","kein Migrationshintergrund","maennlich","266","0.0708481858281275","0.0630175600578839","0.0786788115983711"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","kein Migrationshintergrund","weiblich","1615","0.332699508550666","0.319038687793891","0.346360329307441"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","direkter Migrationshintergrund","maennlich","97","0.0757082205292322","0.0635584190289419","0.0878580220295225"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","direkter Migrationshintergrund","weiblich","659","0.410690324060968","0.38659982169564","0.434780826426296"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","indirekter Migrationshintergrund","weiblich","","","",""
"NE: 65 Jahre und älter","1984","kein Migrationshintergrund","maennlich","466","0.138467730421179","0.12792631753358","0.149009143308777"
"NE: 65 Jahre und älter","1984","kein Migrationshintergrund","weiblich","727","0.222095577290547","0.210044577845494","0.2341465767356"
"NE: 65 Jahre und älter","1984","direkter Migrationshintergrund","maennlich","","","",""
"NE: 65 Jahre und älter","1984","direkter Migrationshintergrund","weiblich","","","",""
"NE: 65 Jahre und älter","1984","indirekter Migrationshintergrund","maennlich","","","",""
"NE: 65 Jahre und älter","1984","indirekter Migrationshintergrund","weiblich","","","",""
"NE: derzeit in Ausbildung","1984","kein Migrationshintergrund","maennlich","293","0.0659831951481581","0.0584064482699265","0.0735599420263896"
"NE: derzeit in Ausbildung","1984","kein Migrationshintergrund","weiblich","254","0.0508669029420988","0.0444964370029967","0.0572373688812008"
"NE: derzeit in Ausbildung","1984","direkter Migrationshintergrund","maennlich","74","0.0456724130281108","0.0360835120020967","0.0552613140541249"
"NE: derzeit in Ausbildung","1984","direkter Migrationshintergrund","weiblich","67","0.043272352524326","0.0333087532905006","0.0532359517581515"
"NE: derzeit in Ausbildung","1984","indirekter Migrationshintergrund","maennlich","","","",""
"NE: derzeit in Ausbildung","1984","indirekter Migrationshintergrund","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","kein Migrationshintergrund","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","kein Migrationshintergrund","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","direkter Migrationshintergrund","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","direkter Migrationshintergrund","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","indirekter Migrationshintergrund","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","indirekter Migrationshintergrund","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","kein Migrationshintergrund","maennlich","30","0.00738781118053778","0.00477422720823279","0.0100013951528428"
"NE: im Militär-/Zivildienst","1984","kein Migrationshintergrund","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","direkter Migrationshintergrund","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","direkter Migrationshintergrund","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","indirekter Migrationshintergrund","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","indirekter Migrationshintergrund","weiblich","","","",""
