"pglfs","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Westdeutschland, alte Bundeslaender","maennlich","366","0.0711761346575134","0.0646740419488441","0.0776782273661827"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Westdeutschland, alte Bundeslaender","weiblich","2291","0.339164841225876","0.327416477352343","0.350913205099408"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: 65 Jahre und älter","1984","Westdeutschland, alte Bundeslaender","maennlich","479","0.127186334792936","0.118760745806911","0.135611923778961"
"NE: 65 Jahre und älter","1984","Westdeutschland, alte Bundeslaender","weiblich","751","0.206745199568443","0.196695583337215","0.21679481579967"
"NE: 65 Jahre und älter","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: 65 Jahre und älter","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: derzeit in Ausbildung","1984","Westdeutschland, alte Bundeslaender","maennlich","387","0.0643711466828914","0.0581650762374974","0.0705772171282854"
"NE: derzeit in Ausbildung","1984","Westdeutschland, alte Bundeslaender","weiblich","332","0.0506094969797171","0.0451699359000193","0.056049058059415"
"NE: derzeit in Ausbildung","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: derzeit in Ausbildung","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","Westdeutschland, alte Bundeslaender","maennlich","34","0.00709236742719707","0.00497025048356691","0.00921448437082724"
"NE: im Militär-/Zivildienst","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: arbeitslos registriert","1984","Westdeutschland, alte Bundeslaender","maennlich","250","0.035935074572187","0.0312282101213011","0.0406419390230729"
"NE: arbeitslos registriert","1984","Westdeutschland, alte Bundeslaender","weiblich","189","0.0241392339485587","0.0203304961444501","0.0279479717526673"
"NE: arbeitslos registriert","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: arbeitslos registriert","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig","1984","Westdeutschland, alte Bundeslaender","maennlich","4491","0.694238941867275","0.6825878977484","0.70588998598615"
"Erwerbstätig","1984","Westdeutschland, alte Bundeslaender","weiblich","2674","0.37918883138286","0.367148652617731","0.391229010147988"
"Erwerbstätig","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","Westdeutschland, alte Bundeslaender","maennlich","303","0.0657794071334326","0.0592028133007453","0.0723560009661199"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","Westdeutschland, alte Bundeslaender","weiblich","1918","0.305709647509165","0.293677534414266","0.317741760604064"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: 65 Jahre und älter","1985","Westdeutschland, alte Bundeslaender","maennlich","416","0.126347920811003","0.117533685662909","0.135162155959097"
"NE: 65 Jahre und älter","1985","Westdeutschland, alte Bundeslaender","weiblich","652","0.208078729624128","0.197477124703558","0.218680334544697"
"NE: 65 Jahre und älter","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: 65 Jahre und älter","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: derzeit in Ausbildung","1985","Westdeutschland, alte Bundeslaender","maennlich","332","0.0600205330626859","0.05371908395796","0.0663219821674118"
"NE: derzeit in Ausbildung","1985","Westdeutschland, alte Bundeslaender","weiblich","258","0.0404042820185829","0.0352617782868756","0.0455467857502903"
"NE: derzeit in Ausbildung","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: derzeit in Ausbildung","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1985","Westdeutschland, alte Bundeslaender","maennlich","36","0.00745114467334593","0.00516965362192216","0.0097326357247697"
"NE: im Militär-/Zivildienst","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: im Militär-/Zivildienst","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: im Militär-/Zivildienst","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: arbeitslos registriert","1985","Westdeutschland, alte Bundeslaender","maennlich","276","0.0457502062624664","0.0402070274169346","0.0512933851079982"
"NE: arbeitslos registriert","1985","Westdeutschland, alte Bundeslaender","weiblich","219","0.0311120748137819","0.0265776936241545","0.0356464560034093"
"NE: arbeitslos registriert","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: arbeitslos registriert","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
