"pglfs","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","kein Migrationshintergrund","395","0.116878040774061","0.105601215823411","0.128154865724711"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","direkter Migrationshintergrund","304","0.203862012490017","0.182773963048925","0.224950061931109"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","kein Migrationshintergrund","1486","0.356347997011896","0.342093031274187","0.370602962749605"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","direkter Migrationshintergrund","452","0.275774782189676","0.256119804029275","0.295429760350077"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","66 und älter","kein Migrationshintergrund","1191","0.964128237863734","0.953777268922724","0.974479206804745"
"NE: 65 Jahre und älter","1984","66 und älter","direkter Migrationshintergrund","32","0.979260445410424","0.932047305110061","1.02647358571079"
"NE: 65 Jahre und älter","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","kein Migrationshintergrund","533","0.172944589220183","0.159669702346574","0.186219476093792"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","direkter Migrationshintergrund","136","0.114692854182444","0.0980131152343334","0.131372593130554"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","indirekter Migrationshintergrund","31","0.27494426580939","0.188296766316487","0.361591765302293"
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
