"pglfs","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","direkter Migrationshintergrund","305","0.288499775551761","0.261302227721136","0.315697323382385"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","kein Migrationshintergrund","1440","0.252832606443427","0.241309263041779","0.264355949845075"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","direkter Migrationshintergrund","340","0.233632984093912","0.213802255688503","0.253463712499321"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Realschulabschluss","kein Migrationshintergrund","293","0.166023222317806","0.148438105170217","0.183608339465394"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(Fach-)Abitur","kein Migrationshintergrund","61","0.105260292024722","0.0804763100449744","0.130044274004469"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(Fach-)Abitur","direkter Migrationshintergrund","48","0.209106542812698","0.161042029801266","0.25717105582413"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","AkademikerInnen","kein Migrationshintergrund","61","0.0901054334068765","0.0683918807821865","0.111818986031566"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Hauptschulabschluss","kein Migrationshintergrund","920","0.218976526021767","0.208012152248027","0.229940899795506"
"NE: 65 Jahre und älter","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Realschulabschluss","kein Migrationshintergrund","166","0.13572094286574","0.119535138146992","0.151906747584489"
"NE: 65 Jahre und älter","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"NE: 65 Jahre und älter","1984","(Fach-)Abitur","kein Migrationshintergrund","42","0.0951329764225255","0.0714384317946452","0.118827521050406"
"NE: 65 Jahre und älter","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
