"pglfs","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","712","0.126454716506143","0.116872999317649","0.136036433694636"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1945","0.34714982149051","0.335434182733841","0.358865460247178"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1984","66 und älter","Westdeutschland, alte Bundeslaender","1227","0.964548823642206","0.954418564868111","0.974679082416301"
"NE: 65 Jahre und älter","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","700","0.16748223209921","0.156717226844379","0.17824723735404"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","35","0.01030782455279","0.00739598998286284","0.0132196591227171"
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","238","0.0515420335814896","0.0451678738909724","0.0579161932720068"
"NE: arbeitslos registriert","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","200","0.0255026939597028","0.0216231195465061","0.0293822683728996"
"NE: arbeitslos registriert","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: arbeitslos registriert","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2937","0.644213193260368","0.630411167055899","0.658015219464838"
"Erwerbstätig","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4178","0.623754146266602","0.611832305431166","0.635675987102038"
"Erwerbstätig","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig","1984","66 und älter","Westdeutschland, alte Bundeslaender","50","0.0342251191972692","0.0242652520931575","0.0441849863013809"
"Erwerbstätig","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","527","0.0953273676787133","0.0864301362663201","0.104224599091106"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1694","0.328545608937715","0.31644339101081","0.34064782686462"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: 65 Jahre und älter","1985","66 und älter","Westdeutschland, alte Bundeslaender","1064","0.960927485047089","0.949569319873315","0.972285650220863"
"NE: 65 Jahre und älter","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
