"pglfs","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Hamburg","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Niedersachsen","56","0.0998991086517803","0.0721316913863931","0.127666525917168"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Bremen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Nordrhein-Westfalen","221","0.139733201069899","0.120835228524596","0.158631173615202"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Hessen","78","0.122300583125493","0.0939490481291416","0.150652118121845"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","48","0.128562158253917","0.0917738924387696","0.165350424069064"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Baden-Wuerttemberg","149","0.143522959223307","0.120035839499455","0.167010078947159"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Bayern","102","0.113107987972872","0.0907515343966542","0.13546444154909"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Saarland","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Berlin","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Brandenburg","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Sachsen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Thueringen","","","",""
