"pglfs","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","712","0.126454716506143","0.116872999317649","0.136036433694636"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","1945","0.34714982149051","0.335434182733841","0.358865460247178"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","","","",""
"NE: 65 Jahre und älter","1984","66 und älter","1227","0.964548823642206","0.954418564868111","0.974679082416301"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","700","0.16748223209921","0.156717226844379","0.17824723735404"
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","35","0.01030782455279","0.00739598998286284","0.0132196591227171"
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","","","",""
"NE: arbeitslos registriert","1984","16-34 Jahre alt","238","0.0515420335814896","0.0451678738909724","0.0579161932720068"
"NE: arbeitslos registriert","1984","35-65 Jahre alt","200","0.0255026939597028","0.0216231195465061","0.0293822683728996"
"NE: arbeitslos registriert","1984","66 und älter","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","","","",""
"Erwerbstätig","1984","16-34 Jahre alt","2937","0.644213193260368","0.630411167055899","0.658015219464838"
"Erwerbstätig","1984","35-65 Jahre alt","4178","0.623754146266602","0.611832305431166","0.635675987102038"
"Erwerbstätig","1984","66 und älter","50","0.0342251191972692","0.0242652520931575","0.0441849863013809"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","16-34 Jahre alt","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","35-65 Jahre alt","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","66 und älter","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","16-34 Jahre alt","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","35-65 Jahre alt","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","66 und älter","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","16-34 Jahre alt","527","0.0953273676787133","0.0864301362663201","0.104224599091106"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","35-65 Jahre alt","1694","0.328545608937715","0.31644339101081","0.34064782686462"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","66 und älter","","","",""
"NE: 65 Jahre und älter","1985","16-34 Jahre alt","","","",""
"NE: 65 Jahre und älter","1985","35-65 Jahre alt","","","",""
"NE: 65 Jahre und älter","1985","66 und älter","1064","0.960927485047089","0.949569319873315","0.972285650220863"
"NE: derzeit in Ausbildung","1985","16-34 Jahre alt","579","0.145254019708804","0.134578648799439","0.155929390618169"
"NE: derzeit in Ausbildung","1985","35-65 Jahre alt","","","",""
"NE: derzeit in Ausbildung","1985","66 und älter","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","16-34 Jahre alt","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","35-65 Jahre alt","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","66 und älter","","","",""
"NE: im Militär-/Zivildienst","1985","16-34 Jahre alt","36","0.0104980097109581","0.00741011715182195","0.0135859022700942"
"NE: im Militär-/Zivildienst","1985","35-65 Jahre alt","","","",""
"NE: im Militär-/Zivildienst","1985","66 und älter","","","",""
"NE: arbeitslos registriert","1985","16-34 Jahre alt","237","0.0541877458942546","0.0473288632694088","0.0610466285191003"
"NE: arbeitslos registriert","1985","35-65 Jahre alt","258","0.040622355497332","0.0355356543274268","0.0457090566672372"
"NE: arbeitslos registriert","1985","66 und älter","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","16-34 Jahre alt","91","0.0266205920434457","0.0217436197081892","0.0314975643787021"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","35-65 Jahre alt","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","66 und älter","","","",""
