"pglfs","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","(noch) kein Abschluss","105","0.102976251582572","0.0770522738458835","0.12890022931926"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Hauptschulabschluss","406","0.163872473849297","0.148533215414059","0.179211732284535"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","Realschulabschluss","109","0.103730199690302","0.0849071575929275","0.122553241787676"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","(Fach-)Abitur","62","0.0814290391043684","0.0590358065171028","0.103822271691634"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","(noch) kein Abschluss","220","0.328285904129876","0.295031279119032","0.36154052914072"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","Hauptschulabschluss","1389","0.385996863126906","0.371060599297621","0.400933126956192"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","Realschulabschluss","213","0.31542070443784","0.281046194628889","0.349795214246791"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","(Fach-)Abitur","48","0.260109712027086","0.205729607985429","0.314489816068743"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","AkademikerInnen","56","0.123503540754397","0.0941311458028551","0.152875935705939"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","(noch) kein Abschluss","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","Hauptschulabschluss","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","Realschulabschluss","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","(Fach-)Abitur","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","AkademikerInnen","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: 65 Jahre und älter","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: 65 Jahre und älter","1984","66 und älter","Hauptschulabschluss","942","0.970140504964669","0.959435249777529","0.980845760151809"
"NE: 65 Jahre und älter","1984","66 und älter","Realschulabschluss","170","0.963030222274464","0.935310972753529","0.990749471795399"
"NE: 65 Jahre und älter","1984","66 und älter","(Fach-)Abitur","42","0.910277305424176","0.829430012260399","0.991124598587953"
"NE: 65 Jahre und älter","1984","66 und älter","AkademikerInnen","54","0.912852613167946","0.843205145183631","0.982500081152261"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","(noch) kein Abschluss","217","0.656193545084239","0.61567963873561","0.696707451432868"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","Hauptschulabschluss","95","0.0379744262632527","0.0300539003702045","0.0458949521563009"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","Realschulabschluss","163","0.159537086684765","0.136931908709537","0.182142264659993"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","(Fach-)Abitur","200","0.383776258633337","0.343958295000988","0.423594222265685"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","Realschulabschluss","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","AkademikerInnen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
