"pglfs","year","sex","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","maennlich","366","0.0711761346575134","0.0646740419488441","0.0776782273661827"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","weiblich","2291","0.339164841225876","0.327416477352343","0.350913205099408"
"NE: 65 Jahre und älter","1984","maennlich","479","0.127186334792936","0.118760745806911","0.135611923778961"
"NE: 65 Jahre und älter","1984","weiblich","751","0.206745199568443","0.196695583337215","0.21679481579967"
"NE: derzeit in Ausbildung","1984","maennlich","387","0.0643711466828914","0.0581650762374974","0.0705772171282854"
"NE: derzeit in Ausbildung","1984","weiblich","332","0.0506094969797171","0.0451699359000193","0.056049058059415"
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","maennlich","34","0.00709236742719707","0.00497025048356691","0.00921448437082724"
"NE: im Militär-/Zivildienst","1984","weiblich","","","",""
"NE: arbeitslos registriert","1984","maennlich","250","0.035935074572187","0.0312282101213011","0.0406419390230729"
"NE: arbeitslos registriert","1984","weiblich","189","0.0241392339485587","0.0203304961444501","0.0279479717526673"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","weiblich","","","",""
"Erwerbstätig","1984","maennlich","4491","0.694238941867275","0.6825878977484","0.70588998598615"
"Erwerbstätig","1984","weiblich","2674","0.37918883138286","0.367148652617731","0.391229010147988"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1984","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1984","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","maennlich","303","0.0657794071334326","0.0592028133007453","0.0723560009661199"
"Nicht erwerbstätig (NE): keine weitere Angabe","1985","weiblich","1918","0.305709647509165","0.293677534414266","0.317741760604064"
"NE: 65 Jahre und älter","1985","maennlich","416","0.126347920811003","0.117533685662909","0.135162155959097"
"NE: 65 Jahre und älter","1985","weiblich","652","0.208078729624128","0.197477124703558","0.218680334544697"
"NE: derzeit in Ausbildung","1985","maennlich","332","0.0600205330626859","0.05371908395796","0.0663219821674118"
"NE: derzeit in Ausbildung","1985","weiblich","258","0.0404042820185829","0.0352617782868756","0.0455467857502903"
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1985","weiblich","","","",""
"NE: im Militär-/Zivildienst","1985","maennlich","36","0.00745114467334593","0.00516965362192216","0.0097326357247697"
"NE: im Militär-/Zivildienst","1985","weiblich","","","",""
"NE: arbeitslos registriert","1985","maennlich","276","0.0457502062624664","0.0402070274169346","0.0512933851079982"
"NE: arbeitslos registriert","1985","weiblich","219","0.0311120748137819","0.0265776936241545","0.0356464560034093"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","maennlich","64","0.0132340036368594","0.0102023188956759","0.0162656883780429"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1985","weiblich","54","0.0107310121807034","0.0080401323141815","0.0134218920472254"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1985","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1985","weiblich","","","",""
"Erwerbstätig","1985","maennlich","4017","0.678631807243096","0.66624241861269","0.691021195873503"
"Erwerbstätig","1985","weiblich","2514","0.400876144913441","0.388077022857499","0.413675266969382"
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","maennlich","","","",""
"Erwerbstätig, aber inaktiv in den letzten 7 Tagen (seit 2000)","1985","weiblich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","maennlich","","","",""
"NE: aber bezahlte Nebentätigkeit (seit 2017)","1985","weiblich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","maennlich","312","0.0683891259216695","0.0615723780230028","0.0752058738203362"
"Nicht erwerbstätig (NE): keine weitere Angabe","1986","weiblich","1717","0.290019613216628","0.277893149291333","0.302146077141924"
"NE: 65 Jahre und älter","1986","maennlich","397","0.128111798776792","0.119085880506333","0.137137717047251"
"NE: 65 Jahre und älter","1986","weiblich","608","0.210017611648649","0.199132475105196","0.220902748192103"
"NE: derzeit in Ausbildung","1986","maennlich","314","0.0525763970930775","0.0465489425639229","0.058603851622232"
"NE: derzeit in Ausbildung","1986","weiblich","250","0.0369680496017362","0.0319257234231484","0.0420103757803241"
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1986","weiblich","","","",""
"NE: im Militär-/Zivildienst","1986","maennlich","44","0.00967832954424983","0.00703437018105984","0.0123222889074398"
"NE: im Militär-/Zivildienst","1986","weiblich","","","",""
"NE: arbeitslos registriert","1986","maennlich","217","0.0352307476952481","0.0302517825177047","0.0402097128727914"
"NE: arbeitslos registriert","1986","weiblich","219","0.0323410104392602","0.027613469711862","0.0370685511666584"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","maennlich","70","0.0157813107219378","0.0124155458685208","0.0191470755753547"
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1986","weiblich","71","0.0131508436056558","0.0101064590330791","0.0161952281782325"
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1986","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","maennlich","40","0.00944121314200074","0.00682953015277452","0.012052896131227"
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1986","weiblich","81","0.0148491047256107","0.0116169002138691","0.0180813092373524"
"Erwerbstätig","1986","maennlich","3873","0.680791077105024","0.668201507865217","0.693380646344831"
"Erwerbstätig","1986","weiblich","2433","0.402653766762459","0.389547582584166","0.415759950940752"
