"pglfs","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","maennlich","50","0.014600852370501","0.00967516972783894","0.0195265350131631"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","16-34 Jahre alt","weiblich","662","0.239340187758735","0.222067006237326","0.256613369280144"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","maennlich","316","0.128916334954985","0.117341786293319","0.140490883616651"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","35-65 Jahre alt","weiblich","1629","0.554663793283207","0.537232845158952","0.572094741407462"
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","maennlich","","","",""
"Nicht erwerbstätig (NE): keine weitere Angabe","1984","66 und älter","weiblich","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1984","16-34 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","maennlich","","","",""
"NE: 65 Jahre und älter","1984","35-65 Jahre alt","weiblich","","","",""
"NE: 65 Jahre und älter","1984","66 und älter","maennlich","477","0.94594916451226","0.92630541875576","0.965592910268759"
"NE: 65 Jahre und älter","1984","66 und älter","weiblich","750","0.974981179445301","0.963956843621155","0.986005515269446"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","maennlich","381","0.178179912224352","0.162465831575076","0.193893992873628"
"NE: derzeit in Ausbildung","1984","16-34 Jahre alt","weiblich","319","0.156685889285592","0.141970257433019","0.171401521138165"
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","maennlich","","","",""
"NE: derzeit in Ausbildung","1984","35-65 Jahre alt","weiblich","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","maennlich","","","",""
"NE: derzeit in Ausbildung","1984","66 und älter","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","16-34 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","35-65 Jahre alt","weiblich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","maennlich","","","",""
"NE: Mutterschutz/Elternzeit (seit 1991)","1984","66 und älter","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","maennlich","34","0.0200357763163962","0.0142816495045688","0.0257899031282236"
"NE: im Militär-/Zivildienst","1984","16-34 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","35-65 Jahre alt","weiblich","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","maennlich","","","",""
"NE: im Militär-/Zivildienst","1984","66 und älter","weiblich","","","",""
"NE: arbeitslos registriert","1984","16-34 Jahre alt","maennlich","125","0.0537836477033432","0.044519796250107","0.0630474991565794"
"NE: arbeitslos registriert","1984","16-34 Jahre alt","weiblich","113","0.0492797454748842","0.0405172079950179","0.0580422829547504"
"NE: arbeitslos registriert","1984","35-65 Jahre alt","maennlich","124","0.0328957749774704","0.0267351204337549","0.0390564295211858"
"NE: arbeitslos registriert","1984","35-65 Jahre alt","weiblich","76","0.018472757215635","0.0137501792204376","0.0231953352108323"
"NE: arbeitslos registriert","1984","66 und älter","maennlich","","","",""
"NE: arbeitslos registriert","1984","66 und älter","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","weiblich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","maennlich","","","",""
"NE: aber gelegentliche Nebentätigkeit (1985-2016)","1984","66 und älter","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","16-34 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","35-65 Jahre alt","weiblich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","maennlich","","","",""
"NE: aber bezahlte Arbeit in den letzten 7 Tagen (seit 1999)","1984","66 und älter","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","16-34 Jahre alt","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","35-65 Jahre alt","weiblich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","maennlich","","","",""
"NE: aber regelmäßig bezahlte Nebentätigkeit (1985-2016)","1984","66 und älter","weiblich","","","",""
"Erwerbstätig","1984","16-34 Jahre alt","maennlich","1688","0.733399811385408","0.715241650727648","0.751557972043167"
