"pld0043","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2003","(noch) kein Abschluss","Westdeutschland","61","0.0735271122877256","0.0542473411767063","0.0928068833987448"
"Sehr oft","2003","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sehr oft","2003","Hauptschule","Westdeutschland","186","0.0264080334770414","0.022638557598369","0.0301775093557138"
"Sehr oft","2003","Hauptschule","Ostdeutschland","","","",""
"Sehr oft","2003","Realschule","Westdeutschland","189","0.0533000171105322","0.0461238401025661","0.0604761941184983"
"Sehr oft","2003","Realschule","Ostdeutschland","76","0.0398064047568522","0.0312274866777724","0.048385322835932"
"Sehr oft","2003","(Fach-)Abitur","Westdeutschland","120","0.0689953083051511","0.0579917863131652","0.079998830297137"
"Sehr oft","2003","(Fach-)Abitur","Ostdeutschland","","","",""
"Sehr oft","2003","AkademikerIn","Westdeutschland","138","0.0424422957831502","0.0352877826933883","0.0495968088729121"
"Sehr oft","2003","AkademikerIn","Ostdeutschland","41","0.0302262115077829","0.0208615376154534","0.0395908854001125"
"Oft","2003","(noch) kein Abschluss","Westdeutschland","200","0.268229822775393","0.235503090337613","0.300956555213173"
"Oft","2003","(noch) kein Abschluss","Ostdeutschland","73","0.382762351176624","0.312531167112398","0.45299353524085"
"Oft","2003","Hauptschule","Westdeutschland","768","0.107370774633686","0.100092925629746","0.114648623637625"
"Oft","2003","Hauptschule","Ostdeutschland","118","0.0802321201777179","0.0661376304187637","0.0943266099366721"
"Oft","2003","Realschule","Westdeutschland","691","0.175100670061449","0.162959300930334","0.187242039192563"
"Oft","2003","Realschule","Ostdeutschland","332","0.170466143587679","0.153965048492073","0.186967238683285"
"Oft","2003","(Fach-)Abitur","Westdeutschland","509","0.238467707319987","0.219966292035119","0.256969122604855"
"Oft","2003","(Fach-)Abitur","Ostdeutschland","98","0.248259076120899","0.204181107432928","0.29233704480887"
"Oft","2003","AkademikerIn","Westdeutschland","649","0.223604862843981","0.20881785862783","0.238391867060132"
"Oft","2003","AkademikerIn","Ostdeutschland","208","0.158810863266474","0.138819035106485","0.178802691426462"
