year,age_gr,quintil_oecd,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,1st Quintile,Very often,0.07604,66,879,0.05851,0.09358
2003,17-29 y.,1st Quintile,Often,0.30086,248,879,0.27052,0.33119
2003,17-29 y.,1st Quintile,Sometimes,0.37929,349,879,0.34720,0.41139
2003,17-29 y.,1st Quintile,Seldom,0.17444,150,879,0.14934,0.19955
2003,17-29 y.,1st Quintile,Never,0.06783,66,879,0.05120,0.08446
2003,17-29 y.,2nd Quintile,Very often,0.11096,73,730,0.08816,0.13376
2003,17-29 y.,2nd Quintile,Often,0.33444,232,730,0.30019,0.36869
2003,17-29 y.,2nd Quintile,Sometimes,0.33318,258,730,0.29897,0.36740
2003,17-29 y.,2nd Quintile,Seldom,0.16522,130,730,0.13826,0.19218
2003,17-29 y.,2nd Quintile,Never,0.05068,37,730,0.03476,0.06660
2003,17-29 y.,3rd Quintile,Very often,0.10968,68,751,0.08732,0.13205
2003,17-29 y.,3rd Quintile,Often,0.27028,215,751,0.23849,0.30206
2003,17-29 y.,3rd Quintile,Sometimes,0.36268,285,751,0.32827,0.39709
2003,17-29 y.,3rd Quintile,Seldom,0.19577,143,751,0.16737,0.22417
2003,17-29 y.,3rd Quintile,Never,0.06159,40,751,0.04439,0.07880
2003,17-29 y.,4th Quintile,Very often,0.09653,83,780,0.07580,0.11727
2003,17-29 y.,4th Quintile,Often,0.30222,248,780,0.26997,0.33447
2003,17-29 y.,4th Quintile,Sometimes,0.43669,340,780,0.40186,0.47151
2003,17-29 y.,4th Quintile,Seldom,0.13755,109,780,0.11336,0.16173
2003,17-29 y.,5th Quintile,Very often,0.09690,83,815,0.07658,0.11722
2003,17-29 y.,5th Quintile,Often,0.33370,290,815,0.30130,0.36609
2003,17-29 y.,5th Quintile,Sometimes,0.36960,308,815,0.33643,0.40276
2003,17-29 y.,5th Quintile,Seldom,0.17544,134,815,0.14931,0.20156
2003,30-45 y.,1st Quintile,Very often,0.06000,48,984,0.04516,0.07485
2003,30-45 y.,1st Quintile,Often,0.18483,167,984,0.16057,0.20910
2003,30-45 y.,1st Quintile,Sometimes,0.33497,337,984,0.30546,0.36447
2003,30-45 y.,1st Quintile,Seldom,0.25359,262,984,0.22639,0.28079
2003,30-45 y.,1st Quintile,Never,0.15970,170,984,0.13680,0.18260
2003,30-45 y.,2nd Quintile,Very often,0.03413,37,1245,0.02404,0.04422
2003,30-45 y.,2nd Quintile,Often,0.19994,233,1245,0.17772,0.22217
2003,30-45 y.,2nd Quintile,Sometimes,0.41449,503,1245,0.38712,0.44187
2003,30-45 y.,2nd Quintile,Seldom,0.24844,330,1245,0.22443,0.27246
2003,30-45 y.,2nd Quintile,Never,0.09997,142,1245,0.08330,0.11664
2003,30-45 y.,3rd Quintile,Very often,0.04522,59,1348,0.03413,0.05632
2003,30-45 y.,3rd Quintile,Often,0.16191,229,1348,0.14224,0.18159
2003,30-45 y.,3rd Quintile,Sometimes,0.43202,582,1348,0.40557,0.45847
2003,30-45 y.,3rd Quintile,Seldom,0.24661,342,1348,0.22359,0.26963
2003,30-45 y.,3rd Quintile,Never,0.11012,136,1348,0.09340,0.12683
2003,30-45 y.,4th Quintile,Very often,0.03848,60,1511,0.02878,0.04819
2003,30-45 y.,4th Quintile,Often,0.21084,304,1511,0.19027,0.23142
2003,30-45 y.,4th Quintile,Sometimes,0.41706,637,1511,0.39219,0.44193
2003,30-45 y.,4th Quintile,Seldom,0.26016,404,1511,0.23803,0.28229
2003,30-45 y.,4th Quintile,Never,0.07149,106,1511,0.05850,0.08449
2003,30-45 y.,5th Quintile,Very often,0.05243,106,1822,0.04219,0.06267
2003,30-45 y.,5th Quintile,Often,0.22726,417,1822,0.20801,0.24651
2003,30-45 y.,5th Quintile,Sometimes,0.41553,750,1822,0.39290,0.43817
2003,30-45 y.,5th Quintile,Seldom,0.24253,450,1822,0.22284,0.26222
2003,30-45 y.,5th Quintile,Never,0.05594,99,1822,0.04538,0.06649
2003,46-65 y.,1st Quintile,Often,0.07027,63,852,0.05309,0.08744
