year,pgisced97,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No answer / don't know,Often,0.29820,70,205,0.23542,0.36097
2003,No answer / don't know,Sometimes,0.34403,84,205,0.27884,0.40922
2003,No answer / don't know,Seldom,0.24627,51,205,0.18715,0.30540
2003,Pre-primary Level,Very often,0.10484,75,605,0.08041,0.12927
2003,Pre-primary Level,Often,0.42302,250,605,0.38362,0.46242
2003,Pre-primary Level,Sometimes,0.33146,210,605,0.29392,0.36901
2003,Pre-primary Level,Seldom,0.11805,70,605,0.09232,0.14378
2003,Primary Level,Sometimes,0.28755,72,232,0.22918,0.34592
2003,Primary Level,Seldom,0.21620,65,232,0.16312,0.26929
2003,Primary Level,Never,0.34665,95,232,0.28528,0.40803
2003,Lower Secondary Level,Very often,0.03472,105,2706,0.02782,0.04162
2003,Lower Secondary Level,Often,0.13161,384,2706,0.11887,0.14435
2003,Lower Secondary Level,Sometimes,0.27609,796,2706,0.25924,0.29293
2003,Lower Secondary Level,Seldom,0.23914,643,2706,0.22307,0.25522
2003,Lower Secondary Level,Never,0.31844,778,2706,0.30088,0.33599
2003,Upper Secondary Level,Very often,0.03901,421,11038,0.03539,0.04262
2003,Upper Secondary Level,Often,0.13829,1618,11038,0.13185,0.14473
2003,Upper Secondary Level,Sometimes,0.32565,3718,11038,0.31691,0.33440
2003,Upper Secondary Level,Seldom,0.28942,3210,11038,0.28096,0.29788
2003,Upper Secondary Level,Never,0.20763,2071,11038,0.20006,0.21520
2003,Post-secondary Non-tertiary Level,Very often,0.04466,45,1150,0.03272,0.05661
2003,Post-secondary Non-tertiary Level,Often,0.19003,228,1150,0.16735,0.21272
2003,Post-secondary Non-tertiary Level,Sometimes,0.39313,462,1150,0.36488,0.42137
2003,Post-secondary Non-tertiary Level,Seldom,0.25732,285,1150,0.23204,0.28260
2003,Post-secondary Non-tertiary Level,Never,0.11485,130,1150,0.09642,0.13329
2003,First Stage of Tertiary Education,Very often,0.03812,54,1678,0.02895,0.04728
2003,First Stage of Tertiary Education,Often,0.17187,289,1678,0.15382,0.18993
2003,First Stage of Tertiary Education,Sometimes,0.35944,615,1678,0.33647,0.38241
2003,First Stage of Tertiary Education,Seldom,0.25891,488,1678,0.23795,0.27988
2003,First Stage of Tertiary Education,Never,0.17166,232,1678,0.15361,0.18971
2003,Second Stage of Tertiary Education,Very often,0.03937,179,4334,0.03358,0.04516
2003,Second Stage of Tertiary Education,Often,0.20727,857,4334,0.19520,0.21934
2003,Second Stage of Tertiary Education,Sometimes,0.39064,1727,4334,0.37611,0.40517
2003,Second Stage of Tertiary Education,Seldom,0.26748,1210,4334,0.25430,0.28066
2003,Second Stage of Tertiary Education,Never,0.09524,361,4334,0.08650,0.10398
2008,No answer / don't know,Often,0.21646,84,313,0.17076,0.26216
2008,No answer / don't know,Sometimes,0.41926,124,313,0.36450,0.47401
2008,No answer / don't know,Seldom,0.18023,65,313,0.13758,0.22288
2008,No answer / don't know,Never,0.13058,40,313,0.09320,0.16797
2008,Pre-primary Level,Very often,0.08883,37,346,0.05881,0.11885
2008,Pre-primary Level,Often,0.33753,122,346,0.28763,0.38743
2008,Pre-primary Level,Sometimes,0.40768,141,346,0.35582,0.45953
2008,Pre-primary Level,Seldom,0.14216,46,346,0.10531,0.17901
2008,Primary Level,Sometimes,0.22156,44,162,0.15741,0.28571
2008,Primary Level,Seldom,0.31389,44,162,0.24221,0.38558
2008,Primary Level,Never,0.36122,74,162,0.28702,0.43542
2008,Lower Secondary Level,Very often,0.02387,46,1989,0.01716,0.03058
2008,Lower Secondary Level,Often,0.11340,231,1989,0.09946,0.12734
2008,Lower Secondary Level,Sometimes,0.26882,561,1989,0.24933,0.28831
2008,Lower Secondary Level,Seldom,0.26789,532,1989,0.24842,0.28736
2008,Lower Secondary Level,Never,0.32603,619,1989,0.30542,0.34663
2008,Upper Secondary Level,Very often,0.02877,268,9660,0.02543,0.03210
2008,Upper Secondary Level,Often,0.13600,1340,9660,0.12917,0.14284
2008,Upper Secondary Level,Sometimes,0.32868,3173,9660,0.31931,0.33804
2008,Upper Secondary Level,Seldom,0.30081,2969,9660,0.29166,0.30996
2008,Upper Secondary Level,Never,0.20575,1910,9660,0.19768,0.21381
2008,Post-secondary Non-tertiary Level,Very often,0.03363,41,1089,0.02292,0.04434
2008,Post-secondary Non-tertiary Level,Often,0.19632,212,1089,0.17271,0.21992
2008,Post-secondary Non-tertiary Level,Sometimes,0.37271,418,1089,0.34398,0.40144
2008,Post-secondary Non-tertiary Level,Seldom,0.29057,300,1089,0.26359,0.31755
2008,Post-secondary Non-tertiary Level,Never,0.10678,118,1089,0.08843,0.12513
2008,First Stage of Tertiary Education,Very often,0.02221,35,1402,0.01450,0.02993
2008,First Stage of Tertiary Education,Often,0.14222,199,1402,0.12393,0.16050
2008,First Stage of Tertiary Education,Sometimes,0.36176,487,1402,0.33659,0.38692
2008,First Stage of Tertiary Education,Seldom,0.33108,499,1402,0.30644,0.35572
2008,First Stage of Tertiary Education,Never,0.14273,182,1402,0.12442,0.16105
2008,Second Stage of Tertiary Education,Very often,0.03999,159,4172,0.03404,0.04593
2008,Second Stage of Tertiary Education,Often,0.19814,812,4172,0.18604,0.21024
2008,Second Stage of Tertiary Education,Sometimes,0.37564,1612,4172,0.36094,0.39033
2008,Second Stage of Tertiary Education,Seldom,0.29059,1209,4172,0.27681,0.30437
2008,Second Stage of Tertiary Education,Never,0.09564,380,4172,0.08672,0.10457
2013,No answer / don't know,Often,0.20831,120,443,0.17045,0.24617
2013,No answer / don't know,Sometimes,0.37449,163,443,0.32937,0.41961
2013,No answer / don't know,Seldom,0.23172,99,443,0.19238,0.27105
2013,No answer / don't know,Never,0.13404,61,443,0.10228,0.16580
2013,Pre-primary Level,Often,0.27799,145,395,0.23376,0.32223
