year,quintil_oecd,regtyp,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,Urban regions,Very often,0.04003,86,2168,0.03178,0.04828
2003,1st Quintile,Urban regions,Often,0.16198,345,2168,0.14647,0.17749
2003,1st Quintile,Urban regions,Sometimes,0.29863,673,2168,0.27936,0.31790
2003,1st Quintile,Urban regions,Seldom,0.24220,517,2168,0.22417,0.26024
2003,1st Quintile,Urban regions,Never,0.25715,547,2168,0.23875,0.27556
2003,1st Quintile,Rural regions,Very often,0.03771,43,1212,0.02698,0.04844
2003,1st Quintile,Rural regions,Often,0.11961,157,1212,0.10133,0.13789
2003,1st Quintile,Rural regions,Sometimes,0.27876,352,1212,0.25351,0.30402
2003,1st Quintile,Rural regions,Seldom,0.25675,328,1212,0.23215,0.28135
2003,1st Quintile,Rural regions,Never,0.30716,332,1212,0.28118,0.33315
2003,2nd Quintile,Urban regions,Very often,0.03782,83,2278,0.02998,0.04565
2003,2nd Quintile,Urban regions,Often,0.16999,375,2278,0.15457,0.18542
2003,2nd Quintile,Urban regions,Sometimes,0.31836,729,2278,0.29923,0.33750
2003,2nd Quintile,Urban regions,Seldom,0.25204,587,2278,0.23420,0.26987
2003,2nd Quintile,Urban regions,Never,0.22179,504,2278,0.20473,0.23886
2003,2nd Quintile,Rural regions,Very often,0.03177,44,1548,0.02303,0.04051
2003,2nd Quintile,Rural regions,Often,0.14962,231,1548,0.13185,0.16740
2003,2nd Quintile,Rural regions,Sometimes,0.27274,461,1548,0.25055,0.29493
2003,2nd Quintile,Rural regions,Seldom,0.29222,456,1548,0.26956,0.31489
2003,2nd Quintile,Rural regions,Never,0.25364,356,1548,0.23196,0.27533
2003,3rd Quintile,Urban regions,Very often,0.03655,100,2552,0.02926,0.04383
2003,3rd Quintile,Urban regions,Often,0.14648,428,2552,0.13276,0.16020
2003,3rd Quintile,Urban regions,Sometimes,0.34077,890,2552,0.32238,0.35916
2003,3rd Quintile,Urban regions,Seldom,0.26835,684,2552,0.25115,0.28554
2003,3rd Quintile,Urban regions,Never,0.20786,450,2552,0.19211,0.22361
2003,3rd Quintile,Rural regions,Very often,0.04219,53,1490,0.03198,0.05240
