year,pgisced97,regtyp,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,Urban regions,Very often,0.10401,48,414,0.07457,0.13346
2003,Pre-primary Level,Urban regions,Often,0.43524,178,414,0.38742,0.48305
2003,Pre-primary Level,Urban regions,Sometimes,0.30307,139,414,0.25875,0.34740
2003,Pre-primary Level,Urban regions,Seldom,0.13100,49,414,0.09846,0.16354
2003,Pre-primary Level,Rural regions,Often,0.38514,72,143,0.30510,0.46518
2003,Pre-primary Level,Rural regions,Sometimes,0.39513,71,143,0.31472,0.47554
2003,Primary Level,Urban regions,Sometimes,0.30488,58,178,0.23706,0.37270
2003,Primary Level,Urban regions,Seldom,0.20057,48,178,0.14158,0.25957
2003,Primary Level,Urban regions,Never,0.31778,72,178,0.24918,0.38637
2003,Lower Secondary Level,Urban regions,Very often,0.03766,73,1827,0.02893,0.04639
2003,Lower Secondary Level,Urban regions,Often,0.14291,273,1827,0.12685,0.15896
2003,Lower Secondary Level,Urban regions,Sometimes,0.28163,551,1827,0.26100,0.30226
2003,Lower Secondary Level,Urban regions,Seldom,0.23073,426,1827,0.21140,0.25005
2003,Lower Secondary Level,Urban regions,Never,0.29530,504,1827,0.27438,0.31623
2003,Lower Secondary Level,Rural regions,Very often,0.02734,32,879,0.01655,0.03813
2003,Lower Secondary Level,Rural regions,Often,0.10330,111,879,0.08317,0.12343
2003,Lower Secondary Level,Rural regions,Sometimes,0.25561,245,879,0.22676,0.28447
2003,Lower Secondary Level,Rural regions,Seldom,0.24975,217,879,0.22112,0.27839
2003,Lower Secondary Level,Rural regions,Never,0.35814,274,879,0.32643,0.38985
2003,Upper Secondary Level,Urban regions,Very often,0.04088,287,7027,0.03625,0.04551
2003,Upper Secondary Level,Urban regions,Often,0.14127,1068,7027,0.13312,0.14941
2003,Upper Secondary Level,Urban regions,Sometimes,0.32713,2388,7027,0.31616,0.33810
2003,Upper Secondary Level,Urban regions,Seldom,0.28073,1987,7027,0.27022,0.29123
2003,Upper Secondary Level,Urban regions,Never,0.20278,1297,7027,0.19338,0.21218
2003,Upper Secondary Level,Rural regions,Very often,0.03465,134,4011,0.02899,0.04031
2003,Upper Secondary Level,Rural regions,Often,0.12993,550,4011,0.11952,0.14034
2003,Upper Secondary Level,Rural regions,Sometimes,0.31669,1330,4011,0.30229,0.33109
2003,Upper Secondary Level,Rural regions,Seldom,0.30085,1223,4011,0.28665,0.31504
2003,Upper Secondary Level,Rural regions,Never,0.21313,774,4011,0.20045,0.22580
2003,Post-secondary Non-tertiary Level,Urban regions,Very often,0.04834,36,881,0.03417,0.06252
2003,Post-secondary Non-tertiary Level,Urban regions,Often,0.18581,180,881,0.16011,0.21151
2003,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.40111,350,881,0.36872,0.43349
2003,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.24720,212,881,0.21870,0.27571
2003,Post-secondary Non-tertiary Level,Urban regions,Never,0.11485,103,881,0.09379,0.13592
2003,Post-secondary Non-tertiary Level,Rural regions,Often,0.20362,48,233,0.15180,0.25544
2003,Post-secondary Non-tertiary Level,Rural regions,Sometimes,0.36011,112,233,0.29834,0.42188
2003,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.29177,73,233,0.23327,0.35026
2003,First Stage of Tertiary Education,Urban regions,Very often,0.04738,45,1065,0.03461,0.06015
2003,First Stage of Tertiary Education,Urban regions,Often,0.17085,180,1065,0.14823,0.19346
2003,First Stage of Tertiary Education,Urban regions,Sometimes,0.38243,407,1065,0.35323,0.41163
2003,First Stage of Tertiary Education,Urban regions,Seldom,0.23361,296,1065,0.20819,0.25904
2003,First Stage of Tertiary Education,Urban regions,Never,0.16030,137,1065,0.13825,0.18234
2003,First Stage of Tertiary Education,Rural regions,Often,0.17034,109,604,0.14034,0.20035
2003,First Stage of Tertiary Education,Rural regions,Sometimes,0.30660,208,604,0.26980,0.34340
2003,First Stage of Tertiary Education,Rural regions,Seldom,0.30353,192,604,0.26683,0.34023
2003,First Stage of Tertiary Education,Rural regions,Never,0.19056,95,604,0.15921,0.22190
2003,Second Stage of Tertiary Education,Urban regions,Very often,0.03910,133,3076,0.03225,0.04595
2003,Second Stage of Tertiary Education,Urban regions,Often,0.21560,645,3076,0.20107,0.23014
2003,Second Stage of Tertiary Education,Urban regions,Sometimes,0.39513,1231,3076,0.37785,0.41241
2003,Second Stage of Tertiary Education,Urban regions,Seldom,0.25170,820,3076,0.23636,0.26704
2003,Second Stage of Tertiary Education,Urban regions,Never,0.09271,247,3076,0.08246,0.10296
2003,Second Stage of Tertiary Education,Rural regions,Very often,0.03924,46,1258,0.02851,0.04998
2003,Second Stage of Tertiary Education,Rural regions,Often,0.18012,212,1258,0.15888,0.20137
2003,Second Stage of Tertiary Education,Rural regions,Sometimes,0.37001,496,1258,0.34332,0.39670
2003,Second Stage of Tertiary Education,Rural regions,Seldom,0.30473,390,1258,0.27929,0.33018
2003,Second Stage of Tertiary Education,Rural regions,Never,0.10010,114,1258,0.08351,0.11670
2008,Pre-primary Level,Urban regions,Often,0.20876,85,209,0.15352,0.26399
2008,Pre-primary Level,Urban regions,Sometimes,0.22638,93,209,0.16951,0.28326
2008,Pre-primary Level,Urban regions,Seldom,0.08789,31,209,0.04941,0.12636
2008,Pre-primary Level,Rural regions,Often,0.17857,37,85,0.09667,0.26048
2008,Pre-primary Level,Rural regions,Sometimes,0.26943,48,85,0.17455,0.36431
2008,Primary Level,Urban regions,Sometimes,0.20866,33,118,0.13503,0.28230
2008,Primary Level,Urban regions,Seldom,0.32009,32,118,0.23555,0.40462
2008,Primary Level,Urban regions,Never,0.32424,53,118,0.23942,0.40906
2008,Lower Secondary Level,Urban regions,Very often,0.02055,32,1312,0.01287,0.02823
2008,Lower Secondary Level,Urban regions,Often,0.11383,163,1312,0.09664,0.13103
2008,Lower Secondary Level,Urban regions,Sometimes,0.26811,384,1312,0.24413,0.29208
2008,Lower Secondary Level,Urban regions,Seldom,0.25839,350,1312,0.23470,0.28209
2008,Lower Secondary Level,Urban regions,Never,0.30122,383,1312,0.27638,0.32605
2008,Lower Secondary Level,Rural regions,Often,0.10014,68,663,0.07727,0.12301
2008,Lower Secondary Level,Rural regions,Sometimes,0.24099,177,663,0.20841,0.27357
2008,Lower Secondary Level,Rural regions,Seldom,0.25839,182,663,0.22504,0.29173
2008,Lower Secondary Level,Rural regions,Never,0.34194,236,663,0.30581,0.37808
2008,Upper Secondary Level,Urban regions,Very often,0.03102,183,6065,0.02666,0.03538
2008,Upper Secondary Level,Urban regions,Often,0.14184,902,6065,0.13306,0.15062
2008,Upper Secondary Level,Urban regions,Sometimes,0.33169,2029,6065,0.31983,0.34354
2008,Upper Secondary Level,Urban regions,Seldom,0.28405,1800,6065,0.27270,0.29540
2008,Upper Secondary Level,Urban regions,Never,0.20100,1151,6065,0.19091,0.21108
2008,Upper Secondary Level,Rural regions,Very often,0.02367,85,3595,0.01870,0.02864
2008,Upper Secondary Level,Rural regions,Often,0.12102,438,3595,0.11035,0.13168
2008,Upper Secondary Level,Rural regions,Sometimes,0.31343,1144,3595,0.29827,0.32860
2008,Upper Secondary Level,Rural regions,Seldom,0.32378,1169,3595,0.30848,0.33907
2008,Upper Secondary Level,Rural regions,Never,0.20875,759,3595,0.19546,0.22204
2008,Post-secondary Non-tertiary Level,Urban regions,Very often,0.03242,31,812,0.02023,0.04461
2008,Post-secondary Non-tertiary Level,Urban regions,Often,0.20163,162,812,0.17401,0.22924
2008,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.36870,315,812,0.33549,0.40190
2008,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.28296,213,812,0.25196,0.31396
2008,Post-secondary Non-tertiary Level,Urban regions,Never,0.11083,91,812,0.08922,0.13243
2008,Post-secondary Non-tertiary Level,Rural regions,Often,0.17742,50,240,0.12898,0.22585
2008,Post-secondary Non-tertiary Level,Rural regions,Sometimes,0.38128,103,240,0.31970,0.44286
2008,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.31139,87,240,0.25268,0.37010
2008,First Stage of Tertiary Education,Urban regions,Often,0.14484,134,847,0.12112,0.16856
2008,First Stage of Tertiary Education,Urban regions,Sometimes,0.38401,316,847,0.35123,0.41678
2008,First Stage of Tertiary Education,Urban regions,Seldom,0.31200,298,847,0.28078,0.34322
2008,First Stage of Tertiary Education,Urban regions,Never,0.12538,99,847,0.10307,0.14770
2008,First Stage of Tertiary Education,Rural regions,Often,0.13255,65,520,0.10338,0.16172
2008,First Stage of Tertiary Education,Rural regions,Sometimes,0.30645,171,520,0.26679,0.34611
2008,First Stage of Tertiary Education,Rural regions,Seldom,0.35827,201,520,0.31702,0.39952
2008,First Stage of Tertiary Education,Rural regions,Never,0.17246,83,520,0.13996,0.20496
2008,Second Stage of Tertiary Education,Urban regions,Very often,0.04036,125,2966,0.03327,0.04744
2008,Second Stage of Tertiary Education,Urban regions,Often,0.20049,591,2966,0.18608,0.21490
2008,Second Stage of Tertiary Education,Urban regions,Sometimes,0.38217,1156,2966,0.36468,0.39967
2008,Second Stage of Tertiary Education,Urban regions,Seldom,0.28381,835,2966,0.26759,0.30004
2008,Second Stage of Tertiary Education,Urban regions,Never,0.08739,259,2966,0.07723,0.09756
2008,Second Stage of Tertiary Education,Rural regions,Very often,0.03807,34,1206,0.02726,0.04887
2008,Second Stage of Tertiary Education,Rural regions,Often,0.18710,221,1206,0.16508,0.20912
2008,Second Stage of Tertiary Education,Rural regions,Sometimes,0.34856,456,1206,0.32165,0.37546
2008,Second Stage of Tertiary Education,Rural regions,Seldom,0.30439,374,1206,0.27841,0.33037
2008,Second Stage of Tertiary Education,Rural regions,Never,0.11786,121,1206,0.09965,0.13606
2013,Pre-primary Level,Urban regions,Often,0.13671,104,279,0.09633,0.17709
2013,Pre-primary Level,Urban regions,Sometimes,0.23125,121,279,0.18168,0.28081
2013,Pre-primary Level,Urban regions,Seldom,0.07473,54,279,0.04382,0.10565
2013,Pre-primary Level,Rural regions,Often,0.08536,41,87,0.02630,0.14441
2013,Pre-primary Level,Rural regions,Sometimes,0.14074,46,87,0.06724,0.21424
2013,Primary Level,Urban regions,Sometimes,0.13590,49,177,0.08528,0.18653
2013,Primary Level,Urban regions,Seldom,0.22494,60,177,0.16325,0.28663
2013,Primary Level,Urban regions,Never,0.20619,68,177,0.14642,0.26596
2013,Primary Level,Rural regions,Seldom,0.22831,35,77,0.13394,0.32268
2013,Primary Level,Rural regions,Never,0.32517,42,77,0.21985,0.43049
2013,Lower Secondary Level,Urban regions,Very often,0.02303,60,1650,0.01579,0.03027
2013,Lower Secondary Level,Urban regions,Often,0.08831,225,1650,0.07461,0.10200
2013,Lower Secondary Level,Urban regions,Sometimes,0.19712,445,1650,0.17792,0.21632
2013,Lower Secondary Level,Urban regions,Seldom,0.24416,515,1650,0.22343,0.26490
2013,Lower Secondary Level,Urban regions,Never,0.23224,405,1650,0.21186,0.25262
2013,Lower Secondary Level,Rural regions,Often,0.10532,123,894,0.08518,0.12545
2013,Lower Secondary Level,Rural regions,Sometimes,0.23166,269,894,0.20399,0.25933
2013,Lower Secondary Level,Rural regions,Seldom,0.24860,261,894,0.22025,0.27695
2013,Lower Secondary Level,Rural regions,Never,0.26155,241,894,0.23272,0.29037
2013,Upper Secondary Level,Urban regions,Very often,0.01978,170,7256,0.01658,0.02298
2013,Upper Secondary Level,Urban regions,Often,0.12735,1059,7256,0.11968,0.13502
2013,Upper Secondary Level,Urban regions,Sometimes,0.28789,2416,7256,0.27747,0.29831
2013,Upper Secondary Level,Urban regions,Seldom,0.30060,2353,7256,0.29005,0.31115
2013,Upper Secondary Level,Urban regions,Never,0.17641,1258,7256,0.16764,0.18518
2013,Upper Secondary Level,Rural regions,Very often,0.01370,89,5108,0.01051,0.01689
2013,Upper Secondary Level,Rural regions,Often,0.11060,632,5108,0.10200,0.11920
2013,Upper Secondary Level,Rural regions,Sometimes,0.30745,1633,5108,0.29479,0.32010
2013,Upper Secondary Level,Rural regions,Seldom,0.32825,1756,5108,0.31537,0.34113
2013,Upper Secondary Level,Rural regions,Never,0.19693,998,5108,0.18602,0.20784
2013,Post-secondary Non-tertiary Level,Urban regions,Very often,0.02447,38,1273,0.01598,0.03297
2013,Post-secondary Non-tertiary Level,Urban regions,Often,0.15597,259,1273,0.13603,0.17591
2013,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.33410,495,1273,0.30818,0.36002
2013,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.24204,374,1273,0.21850,0.26558
2013,Post-secondary Non-tertiary Level,Urban regions,Never,0.07355,107,1273,0.05920,0.08789
