,Unnamed: 0,year,age_gr,sex,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,17-29 y.,male,Very often,0.10926,200,22007,0.0953,0.12498
1,1,2003,17-29 y.,male,Often,0.33663,626,22007,0.31288,0.3635
2,2,2003,17-29 y.,male,Sometimes,0.36113,735,22007,0.3402,0.38526
3,3,2003,17-29 y.,male,Seldom,0.14328,285,22007,0.13041,0.15889
4,4,2003,17-29 y.,male,Never,0.0497,83,22007,0.04063,0.05942
5,5,2003,17-29 y.,female,Very often,0.08376,174,22007,0.07303,0.09687
6,6,2003,17-29 y.,female,Often,0.27725,608,22007,0.26186,0.29611
7,7,2003,17-29 y.,female,Sometimes,0.39557,806,22007,0.3713,0.41752
8,8,2003,17-29 y.,female,Seldom,0.19661,381,22007,0.18257,0.21719
9,9,2003,17-29 y.,female,Never,0.04681,102,22007,0.03994,0.05352
10,10,2003,30-45 y.,male,Very often,0.0398,128,22007,0.03403,0.04499
11,11,2003,30-45 y.,male,Often,0.19009,625,22007,0.17931,0.20132
12,12,2003,30-45 y.,male,Sometimes,0.40612,1327,22007,0.38828,0.42475
13,13,2003,30-45 y.,male,Seldom,0.26373,901,22007,0.2492,0.27859
14,14,2003,30-45 y.,male,Never,0.10026,335,22007,0.09283,0.10819
15,15,2003,30-45 y.,female,Very often,0.05177,182,22007,0.04625,0.05783
16,16,2003,30-45 y.,female,Often,0.20738,725,22007,0.19486,0.21882
17,17,2003,30-45 y.,female,Sometimes,0.40961,1482,22007,0.3929,0.42742
18,18,2003,30-45 y.,female,Seldom,0.23844,887,22007,0.22377,0.24992
19,19,2003,30-45 y.,female,Never,0.0928,319,22007,0.08574,0.09986
20,20,2003,46-65 y.,male,Very often,0.03111,99,22007,0.02544,0.03816
21,21,2003,46-65 y.,male,Often,0.11544,437,22007,0.10558,0.12687
22,22,2003,46-65 y.,male,Sometimes,0.34621,1303,22007,0.33062,0.36199
23,23,2003,46-65 y.,male,Seldom,0.31031,1232,22007,0.29851,0.32454
24,24,2003,46-65 y.,male,Never,0.19693,658,22007,0.18681,0.21029
25,25,2003,46-65 y.,female,Very often,0.02642,102,22007,0.02248,0.03122
26,26,2003,46-65 y.,female,Often,0.12176,494,22007,0.11253,0.1323
27,27,2003,46-65 y.,female,Sometimes,0.31411,1254,22007,0.30131,0.32805
28,28,2003,46-65 y.,female,Seldom,0.32551,1232,22007,0.31115,0.33864
29,29,2003,46-65 y.,female,Never,0.2122,719,22007,0.20041,0.22132
30,30,2003,66 and older,male,Often,0.05896,101,22007,0.0531,0.06636
31,31,2003,66 and older,male,Sometimes,0.21768,378,22007,0.20432,0.23063
32,32,2003,66 and older,male,Seldom,0.33438,540,22007,0.31633,0.35099
33,33,2003,66 and older,male,Never,0.38898,605,22007,0.37189,0.40594
34,34,2003,66 and older,female,Often,0.05318,104,22007,0.04714,0.05909
35,35,2003,66 and older,female,Sometimes,0.20005,399,22007,0.1892,0.21213
36,36,2003,66 and older,female,Seldom,0.28163,564,22007,0.26861,0.29618
37,37,2003,66 and older,female,Never,0.46515,875,22007,0.45015,0.47914
38,38,2008,17-29 y.,male,Very often,0.06305,96,19125,0.05134,0.07663
39,39,2008,17-29 y.,male,Often,0.2678,410,19125,0.24772,0.28983
40,40,2008,17-29 y.,male,Sometimes,0.41262,608,19125,0.3836,0.44846
41,41,2008,17-29 y.,male,Seldom,0.18891,298,19125,0.17002,0.2103
42,42,2008,17-29 y.,male,Never,0.06761,96,19125,0.05791,0.08016
43,43,2008,17-29 y.,female,Very often,0.05835,110,19125,0.0485,0.06823
44,44,2008,17-29 y.,female,Often,0.23442,417,19125,0.21514,0.25382
45,45,2008,17-29 y.,female,Sometimes,0.42604,671,19125,0.39652,0.45655
46,46,2008,17-29 y.,female,Seldom,0.21539,339,19125,0.19343,0.24045
47,47,2008,17-29 y.,female,Never,0.0658,105,19125,0.05457,0.07854
48,48,2008,30-45 y.,male,Very often,0.03719,78,19125,0.03043,0.04364
49,49,2008,30-45 y.,male,Often,0.16489,402,19125,0.15129,0.18153
50,50,2008,30-45 y.,male,Sometimes,0.39133,972,19125,0.36781,0.41029
51,51,2008,30-45 y.,male,Seldom,0.30053,758,19125,0.28076,0.32045
52,52,2008,30-45 y.,male,Never,0.10607,246,19125,0.09507,0.11692
53,53,2008,30-45 y.,female,Very often,0.04626,127,19125,0.03868,0.05281
54,54,2008,30-45 y.,female,Often,0.19346,534,19125,0.17892,0.20925
55,55,2008,30-45 y.,female,Sometimes,0.39293,1077,19125,0.37284,0.41305
56,56,2008,30-45 y.,female,Seldom,0.26879,704,19125,0.25233,0.28516
57,57,2008,30-45 y.,female,Never,0.09856,253,19125,0.0881,0.11021
58,58,2008,46-65 y.,male,Very often,0.01088,42,19125,0.0081,0.01463
59,59,2008,46-65 y.,male,Often,0.13271,424,19125,0.12233,0.14514
60,60,2008,46-65 y.,male,Sometimes,0.30565,1012,19125,0.28809,0.32258
61,61,2008,46-65 y.,male,Seldom,0.34421,1123,19125,0.32373,0.36146
62,62,2008,46-65 y.,male,Never,0.20654,570,19125,0.19318,0.21973
63,63,2008,46-65 y.,female,Very often,0.03179,106,19125,0.02649,0.03695
64,64,2008,46-65 y.,female,Often,0.13748,525,19125,0.12521,0.14935
65,65,2008,46-65 y.,female,Sometimes,0.3223,1179,19125,0.3066,0.33938
66,66,2008,46-65 y.,female,Seldom,0.31168,1055,19125,0.29367,0.32736
67,67,2008,46-65 y.,female,Never,0.19675,608,19125,0.18553,0.21034
68,68,2008,66 and older,male,Often,0.06644,141,19125,0.05928,0.07261
69,69,2008,66 and older,male,Sometimes,0.2508,506,19125,0.23385,0.26593
70,70,2008,66 and older,male,Seldom,0.35852,720,19125,0.34179,0.37935
71,71,2008,66 and older,male,Never,0.32423,615,19125,0.30989,0.34042
72,72,2008,66 and older,female,Often,0.07498,159,19125,0.06781,0.08461
73,73,2008,66 and older,female,Sometimes,0.23435,535,19125,0.21986,0.25234
74,74,2008,66 and older,female,Seldom,0.29202,667,19125,0.27541,0.30786
75,75,2008,66 and older,female,Never,0.39865,837,19125,0.38297,0.41691
76,76,2013,17-29 y.,male,Very often,0.05254,88,25385,0.0417,0.06492
77,77,2013,17-29 y.,male,Often,0.24079,410,25385,0.21289,0.26896
78,78,2013,17-29 y.,male,Sometimes,0.38536,631,25385,0.35262,0.42647
79,79,2013,17-29 y.,male,Seldom,0.24764,400,25385,0.22312,0.27131
80,80,2013,17-29 y.,male,Never,0.07367,127,25385,0.05801,0.09322
81,81,2013,17-29 y.,female,Very often,0.03565,86,25385,0.02708,0.04573
82,82,2013,17-29 y.,female,Often,0.26148,463,25385,0.23762,0.29155
83,83,2013,17-29 y.,female,Sometimes,0.39643,723,25385,0.36408,0.4325
84,84,2013,17-29 y.,female,Seldom,0.23648,469,25385,0.21266,0.26494
85,85,2013,17-29 y.,female,Never,0.06995,164,25385,0.05597,0.08527
86,86,2013,30-45 y.,male,Very often,0.02901,93,25385,0.02149,0.03905
87,87,2013,30-45 y.,male,Often,0.17906,552,25385,0.15973,0.2018
88,88,2013,30-45 y.,male,Sometimes,0.4103,1250,25385,0.37363,0.43926
89,89,2013,30-45 y.,male,Seldom,0.30434,1058,25385,0.27927,0.33045
90,90,2013,30-45 y.,male,Never,0.07729,335,25385,0.06496,0.08752
91,91,2013,30-45 y.,female,Very often,0.04505,171,25385,0.03676,0.05476
92,92,2013,30-45 y.,female,Often,0.18497,902,25385,0.16677,0.20394
93,93,2013,30-45 y.,female,Sometimes,0.3836,1793,25385,0.3601,0.40978
94,94,2013,30-45 y.,female,Seldom,0.29676,1375,25385,0.27393,0.32274
95,95,2013,30-45 y.,female,Never,0.08962,457,25385,0.07756,0.09943
96,96,2013,46-65 y.,male,Very often,0.01048,64,25385,0.00825,0.01305
97,97,2013,46-65 y.,male,Often,0.12399,523,25385,0.11102,0.13567
98,98,2013,46-65 y.,male,Sometimes,0.34156,1464,25385,0.31865,0.3598
99,99,2013,46-65 y.,male,Seldom,0.36588,1484,25385,0.35112,0.38824
100,100,2013,46-65 y.,male,Never,0.1581,629,25385,0.14676,0.17211
101,101,2013,46-65 y.,female,Very often,0.01823,106,25385,0.01441,0.02223
102,102,2013,46-65 y.,female,Often,0.14469,766,25385,0.13393,0.15708
103,103,2013,46-65 y.,female,Sometimes,0.35901,1732,25385,0.34073,0.37644
104,104,2013,46-65 y.,female,Seldom,0.33048,1521,25385,0.31127,0.35189
105,105,2013,46-65 y.,female,Never,0.1476,669,25385,0.13472,0.15847
106,106,2013,66 and older,male,Often,0.08371,201,25385,0.07367,0.09412
107,107,2013,66 and older,male,Sometimes,0.24367,589,25385,0.22821,0.26119
108,108,2013,66 and older,male,Seldom,0.37108,898,25385,0.35612,0.38802
109,109,2013,66 and older,male,Never,0.30153,666,25385,0.2872,0.31856
110,110,2013,66 and older,female,Very often,0.01769,40,25385,0.01342,0.02186
111,111,2013,66 and older,female,Often,0.07344,210,25385,0.0675,0.08158
112,112,2013,66 and older,female,Sometimes,0.22533,592,25385,0.2114,0.23661
