year,bula_h,sex,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,male,Often,0.13749,45,309,0.09903,0.17595
2003,Schleswig-Holstein,male,Sometimes,0.44365,142,309,0.38816,0.49913
2003,Schleswig-Holstein,male,Seldom,0.28225,85,309,0.23198,0.33252
2003,Schleswig-Holstein,male,Never,0.10864,37,309,0.07389,0.14339
2003,Schleswig-Holstein,female,Often,0.12636,49,335,0.09073,0.16200
2003,Schleswig-Holstein,female,Sometimes,0.37825,133,335,0.32624,0.43026
2003,Schleswig-Holstein,female,Seldom,0.29041,103,335,0.24172,0.33909
2003,Schleswig-Holstein,female,Never,0.17318,50,335,0.13260,0.21376
2003,Hamburg,male,Often,0.21948,31,115,0.14350,0.29546
2003,Hamburg,male,Sometimes,0.38836,51,115,0.29889,0.47782
2003,Hamburg,male,Seldom,0.22368,33,115,0.14718,0.30017
2003,Hamburg,female,Sometimes,0.36060,66,106,0.26875,0.45245
2003,Hamburg,female,Seldom,0.28272,40,106,0.19658,0.36886
2003,Lower Saxony,male,Very often,0.06143,58,918,0.04589,0.07697
2003,Lower Saxony,male,Often,0.17476,171,918,0.15018,0.19934
2003,Lower Saxony,male,Sometimes,0.32532,316,918,0.29499,0.35564
2003,Lower Saxony,male,Seldom,0.28828,263,918,0.25896,0.31760
2003,Lower Saxony,male,Never,0.15022,110,918,0.12709,0.17334
2003,Lower Saxony,female,Very often,0.03743,56,984,0.02557,0.04930
2003,Lower Saxony,female,Often,0.17771,185,984,0.15382,0.20161
2003,Lower Saxony,female,Sometimes,0.32312,340,984,0.29389,0.35236
2003,Lower Saxony,female,Seldom,0.27999,261,984,0.25192,0.30806
2003,Lower Saxony,female,Never,0.18174,142,984,0.15764,0.20585
2003,Bremen,female,Sometimes,0.34939,31,31,0.17877,0.52000
2003,North Rhine-Westphalia,male,Very often,0.04033,95,2249,0.03220,0.04846
2003,North Rhine-Westphalia,male,Often,0.18085,416,2249,0.16494,0.19676
2003,North Rhine-Westphalia,male,Sometimes,0.36864,832,2249,0.34870,0.38859
2003,North Rhine-Westphalia,male,Seldom,0.24307,567,2249,0.22533,0.26080
2003,North Rhine-Westphalia,male,Never,0.16711,339,2249,0.15169,0.18253
2003,North Rhine-Westphalia,female,Very often,0.04034,97,2391,0.03246,0.04823
2003,North Rhine-Westphalia,female,Often,0.15349,415,2391,0.13904,0.16794
2003,North Rhine-Westphalia,female,Sometimes,0.34680,891,2391,0.32771,0.36588
