year,quintil_oecd,sampreg,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,West,Very often,0.03031,91,2357,0.02339,0.03724
2003,1st Quintile,West,Often,0.11214,337,2357,0.09940,0.12488
2003,1st Quintile,West,Sometimes,0.22819,733,2357,0.21124,0.24513
2003,1st Quintile,West,Seldom,0.18666,572,2357,0.17092,0.20239
2003,1st Quintile,West,Never,0.21183,624,2357,0.19533,0.22832
2003,1st Quintile,East,Very often,0.03127,38,1023,0.02060,0.04194
2003,1st Quintile,East,Often,0.12513,165,1023,0.10484,0.14541
2003,1st Quintile,East,Sometimes,0.22326,292,1023,0.19773,0.24879
2003,1st Quintile,East,Seldom,0.21059,273,1023,0.18559,0.23558
2003,1st Quintile,East,Never,0.21601,255,1023,0.19078,0.24124
2003,2nd Quintile,West,Very often,0.02866,87,2527,0.02215,0.03517
2003,2nd Quintile,West,Often,0.12743,403,2527,0.11442,0.14043
2003,2nd Quintile,West,Sometimes,0.24221,816,2527,0.22550,0.25892
2003,2nd Quintile,West,Seldom,0.20308,674,2527,0.18739,0.21877
2003,2nd Quintile,West,Never,0.16985,547,2527,0.15520,0.18449
2003,2nd Quintile,East,Very often,0.02664,40,1299,0.01788,0.03540
2003,2nd Quintile,East,Often,0.13256,203,1299,0.11412,0.15101
2003,2nd Quintile,East,Sometimes,0.22770,374,1299,0.20489,0.25052
2003,2nd Quintile,East,Seldom,0.23634,369,1299,0.21323,0.25946
2003,2nd Quintile,East,Never,0.23225,313,1299,0.20928,0.25522
2003,3rd Quintile,West,Very often,0.03099,114,2847,0.02463,0.03736
2003,3rd Quintile,West,Often,0.11067,441,2847,0.09915,0.12220
2003,3rd Quintile,West,Sometimes,0.26869,993,2847,0.25241,0.28498
2003,3rd Quintile,West,Seldom,0.21229,765,2847,0.19727,0.22732
2003,3rd Quintile,West,Never,0.17115,534,2847,0.15732,0.18499
2003,3rd Quintile,East,Very often,0.03264,39,1195,0.02256,0.04272
2003,3rd Quintile,East,Often,0.11552,167,1195,0.09739,0.13365
2003,3rd Quintile,East,Sometimes,0.29885,420,1195,0.27288,0.32481
2003,3rd Quintile,East,Seldom,0.27769,376,1195,0.25228,0.30309
2003,3rd Quintile,East,Never,0.17206,193,1195,0.15065,0.19347
2003,4th Quintile,West,Very often,0.03773,157,3460,0.03138,0.04408
2003,4th Quintile,West,Often,0.15057,631,3460,0.13865,0.16249
2003,4th Quintile,West,Sometimes,0.31737,1315,3460,0.30186,0.33288
2003,4th Quintile,West,Seldom,0.22252,887,3460,0.20866,0.23638
2003,4th Quintile,West,Never,0.12260,470,3460,0.11167,0.13353
2003,4th Quintile,East,Very often,0.03603,41,987,0.02440,0.04766
2003,4th Quintile,East,Often,0.13882,159,987,0.11724,0.16040
2003,4th Quintile,East,Sometimes,0.32361,358,987,0.29440,0.35281
2003,4th Quintile,East,Seldom,0.27805,316,987,0.25009,0.30602
2003,4th Quintile,East,Never,0.11707,113,987,0.09700,0.13713
2003,5th Quintile,West,Very often,0.04129,263,5515,0.03604,0.04654
2003,5th Quintile,West,Often,0.15919,1060,5515,0.14953,0.16884
2003,5th Quintile,West,Sometimes,0.32384,2065,5515,0.31148,0.33619
2003,5th Quintile,West,Seldom,0.25825,1567,5515,0.24670,0.26980
2003,5th Quintile,West,Never,0.11281,560,5515,0.10446,0.12116
2003,5th Quintile,East,Very often,0.01824,34,813,0.00903,0.02744
2003,5th Quintile,East,Often,0.16223,152,813,0.13687,0.18759
2003,5th Quintile,East,Sometimes,0.35266,317,813,0.31980,0.38553
2003,5th Quintile,East,Seldom,0.24315,223,813,0.21364,0.27265
2003,5th Quintile,East,Never,0.11595,87,813,0.09393,0.13797
2008,1st Quintile,West,Very often,0.02851,73,2010,0.02123,0.03579
2008,1st Quintile,West,Often,0.10478,270,2010,0.09139,0.11817
2008,1st Quintile,West,Sometimes,0.21988,564,2010,0.20177,0.23799
2008,1st Quintile,West,Seldom,0.20835,535,2010,0.19059,0.22611
2008,1st Quintile,West,Never,0.21232,568,2010,0.19443,0.23020
2008,1st Quintile,East,Very often,0.02687,39,926,0.01645,0.03729
2008,1st Quintile,East,Often,0.11976,128,926,0.09883,0.14068
2008,1st Quintile,East,Sometimes,0.23750,258,926,0.21008,0.26493
2008,1st Quintile,East,Seldom,0.23181,256,926,0.20461,0.25900
2008,1st Quintile,East,Never,0.20097,245,926,0.17515,0.22679
2008,2nd Quintile,West,Very often,0.01817,55,2271,0.01267,0.02366
2008,2nd Quintile,West,Often,0.10828,323,2271,0.09550,0.12107
2008,2nd Quintile,West,Sometimes,0.24545,733,2271,0.22775,0.26315
2008,2nd Quintile,West,Seldom,0.21845,624,2271,0.20145,0.23544
2008,2nd Quintile,West,Never,0.19428,536,2271,0.17801,0.21056
2008,2nd Quintile,East,Often,0.11084,127,1058,0.09191,0.12976
2008,2nd Quintile,East,Sometimes,0.27301,346,1058,0.24616,0.29987
2008,2nd Quintile,East,Seldom,0.28479,346,1058,0.25758,0.31200
2008,2nd Quintile,East,Never,0.19533,239,1058,0.17143,0.21923
2008,3rd Quintile,West,Very often,0.02324,73,2592,0.01744,0.02904
2008,3rd Quintile,West,Often,0.11018,391,2592,0.09812,0.12224
2008,3rd Quintile,West,Sometimes,0.29833,901,2592,0.28072,0.31595
2008,3rd Quintile,West,Seldom,0.22730,747,2592,0.21117,0.24344
2008,3rd Quintile,West,Never,0.16087,480,2592,0.14673,0.17502
2008,3rd Quintile,East,Often,0.11485,159,1175,0.09661,0.13308
2008,3rd Quintile,East,Sometimes,0.30921,432,1175,0.28277,0.33565
2008,3rd Quintile,East,Seldom,0.30090,403,1175,0.27466,0.32713
2008,3rd Quintile,East,Never,0.13255,181,1175,0.11316,0.15195
2008,4th Quintile,West,Very often,0.03399,116,3038,0.02754,0.04043
2008,4th Quintile,West,Often,0.13612,496,3038,0.12392,0.14832
2008,4th Quintile,West,Sometimes,0.29577,1086,3038,0.27954,0.31200
2008,4th Quintile,West,Seldom,0.24867,925,3038,0.23330,0.26404
2008,4th Quintile,West,Never,0.12343,415,3038,0.11173,0.13513
2008,4th Quintile,East,Often,0.16664,145,793,0.14069,0.19260
2008,4th Quintile,East,Sometimes,0.32878,299,793,0.29606,0.36150
2008,4th Quintile,East,Seldom,0.25963,240,793,0.22910,0.29017
2008,4th Quintile,East,Never,0.12531,109,793,0.10226,0.14837
2008,5th Quintile,West,Very often,0.02938,159,4523,0.02446,0.03430
2008,5th Quintile,West,Often,0.16656,845,4523,0.15570,0.17742
2008,5th Quintile,West,Sometimes,0.32036,1661,4523,0.30676,0.33396
2008,5th Quintile,West,Seldom,0.27379,1364,4523,0.26080,0.28679
2008,5th Quintile,West,Never,0.10354,494,4523,0.09466,0.11242
2008,5th Quintile,East,Often,0.14525,128,694,0.11902,0.17148
2008,5th Quintile,East,Sometimes,0.34053,279,694,0.30525,0.37582
2008,5th Quintile,East,Seldom,0.29566,224,694,0.26168,0.32963
2008,5th Quintile,East,Never,0.08984,63,694,0.06855,0.11114
2013,1st Quintile,West,Very often,0.02233,110,3552,0.01747,0.02719
2013,1st Quintile,West,Often,0.11100,562,3552,0.10067,0.12133
2013,1st Quintile,West,Sometimes,0.20136,1079,3552,0.18817,0.21455
2013,1st Quintile,West,Seldom,0.25006,1059,3552,0.23582,0.26431
2013,1st Quintile,West,Never,0.20354,742,3552,0.19029,0.21678
2013,1st Quintile,East,Very often,0.01997,43,1527,0.01295,0.02699
2013,1st Quintile,East,Often,0.10217,206,1527,0.08697,0.11736
2013,1st Quintile,East,Sometimes,0.22925,410,1527,0.20816,0.25034
2013,1st Quintile,East,Seldom,0.23070,457,1527,0.20956,0.25184
2013,1st Quintile,East,Never,0.24348,411,1527,0.22195,0.26502
2013,2nd Quintile,West,Very often,0.02006,112,3697,0.01554,0.02458
2013,2nd Quintile,West,Often,0.12072,593,3697,0.11021,0.13122
2013,2nd Quintile,West,Sometimes,0.24805,1229,3697,0.23413,0.26198
2013,2nd Quintile,West,Seldom,0.23923,1125,3697,0.22548,0.25299
2013,2nd Quintile,West,Never,0.16909,638,3697,0.15701,0.18118
2013,2nd Quintile,East,Often,0.08571,158,1462,0.07136,0.10007
2013,2nd Quintile,East,Sometimes,0.25207,445,1462,0.22980,0.27433
2013,2nd Quintile,East,Seldom,0.30516,511,1462,0.28154,0.32877
2013,2nd Quintile,East,Never,0.21931,348,1462,0.19809,0.24053
2013,3rd Quintile,West,Very often,0.02112,98,3704,0.01649,0.02575
