,Unnamed: 0,year,migback,sex,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,No migration background,male,Very often,0.03959,352,22001,0.03594,0.04299
1,1,2003,No migration background,male,Often,0.16364,1516,22001,0.15623,0.17054
2,2,2003,No migration background,male,Sometimes,0.34903,3204,22001,0.33969,0.35751
3,3,2003,No migration background,male,Seldom,0.28015,2579,22001,0.27111,0.28954
4,4,2003,No migration background,male,Never,0.16758,1339,22001,0.16292,0.17335
5,5,2003,No migration background,female,Very often,0.03746,405,22001,0.03446,0.0405
6,6,2003,No migration background,female,Often,0.14942,1611,22001,0.14297,0.15531
7,7,2003,No migration background,female,Sometimes,0.32642,3361,22001,0.31895,0.33585
8,8,2003,No migration background,female,Seldom,0.27403,2656,22001,0.26633,0.28109
9,9,2003,No migration background,female,Never,0.21266,1642,22001,0.20643,0.21888
10,10,2003,Direct migration background,male,Very often,0.05099,50,22001,0.04059,0.06131
11,11,2003,Direct migration background,male,Often,0.16343,177,22001,0.14543,0.18199
12,12,2003,Direct migration background,male,Sometimes,0.3153,407,22001,0.28863,0.33553
13,13,2003,Direct migration background,male,Seldom,0.23357,313,22001,0.2094,0.25556
14,14,2003,Direct migration background,male,Never,0.23671,304,22001,0.2165,0.25347
15,15,2003,Direct migration background,female,Very often,0.03157,39,22001,0.02527,0.03855
16,16,2003,Direct migration background,female,Often,0.15535,200,22001,0.14093,0.17291
17,17,2003,Direct migration background,female,Sometimes,0.31324,422,22001,0.29048,0.33497
18,18,2003,Direct migration background,female,Seldom,0.26258,346,22001,0.24131,0.28467
19,19,2003,Direct migration background,female,Never,0.23727,331,22001,0.21852,0.25534
20,20,2003,Indirect migration background,male,Very often,0.1008,33,22001,0.07004,0.13612
21,21,2003,Indirect migration background,male,Often,0.28671,96,22001,0.24676,0.32856
22,22,2003,Indirect migration background,male,Sometimes,0.32922,132,22001,0.28195,0.38621
23,23,2003,Indirect migration background,male,Seldom,0.15734,66,22001,0.1307,0.18341
24,24,2003,Indirect migration background,male,Never,0.12592,38,22001,0.08443,0.16736
25,25,2003,Indirect migration background,female,Often,0.30474,120,22001,0.26279,0.35288
26,26,2003,Indirect migration background,female,Sometimes,0.40918,158,22001,0.35767,0.4653
27,27,2003,Indirect migration background,female,Seldom,0.1825,62,22001,0.13849,0.2256
28,28,2003,Indirect migration background,female,Never,0.10358,42,22001,0.07713,0.12879
29,29,2008,No migration background,male,Very often,0.02638,201,19106,0.02354,0.02982
30,30,2008,No migration background,male,Often,0.15172,1174,19106,0.14436,0.15873
31,31,2008,No migration background,male,Sometimes,0.34061,2691,19106,0.32931,0.35076
32,32,2008,No migration background,male,Seldom,0.30992,2558,19106,0.2995,0.32129
33,33,2008,No migration background,male,Never,0.17138,1279,19106,0.16483,0.17837
34,34,2008,No migration background,female,Very often,0.03289,305,19106,0.0304,0.0361
35,35,2008,No migration background,female,Often,0.15126,1402,19106,0.14489,0.15844
36,36,2008,No migration background,female,Sometimes,0.33827,3005,19106,0.32738,0.3495
37,37,2008,No migration background,female,Seldom,0.28276,2416,19106,0.27299,0.2925
38,38,2008,No migration background,female,Never,0.19482,1499,19106,0.18867,0.20253
39,39,2008,Direct migration background,male,Often,0.12993,116,19106,0.1094,0.15477
40,40,2008,Direct migration background,male,Sometimes,0.30588,261,19106,0.27764,0.33726
41,41,2008,Direct migration background,male,Seldom,0.32049,260,19106,0.29045,0.35155
42,42,2008,Direct migration background,male,Never,0.24371,217,19106,0.21822,0.26683
43,43,2008,Direct migration background,female,Very often,0.03071,34,19106,0.02275,0.03839
44,44,2008,Direct migration background,female,Often,0.13062,141,19106,0.11444,0.14709
45,45,2008,Direct migration background,female,Sometimes,0.30284,312,19106,0.2741,0.33151
46,46,2008,Direct migration background,female,Seldom,0.28339,264,19106,0.25495,0.31452
47,47,2008,Direct migration background,female,Never,0.25244,256,19106,0.23325,0.27648
48,48,2008,Indirect migration background,male,Often,0.24044,87,19106,0.19242,0.27758
49,49,2008,Indirect migration background,male,Sometimes,0.41189,146,19106,0.33758,0.47679
50,50,2008,Indirect migration background,male,Seldom,0.23882,81,19106,0.19,0.29655
51,51,2008,Indirect migration background,male,Never,0.10884,31,19106,0.07843,0.13926
52,52,2008,Indirect migration background,female,Often,0.2415,92,19106,0.19806,0.30169
53,53,2008,Indirect migration background,female,Sometimes,0.38958,145,19106,0.33811,0.45909
54,54,2008,Indirect migration background,female,Seldom,0.20724,85,19106,0.16159,0.25648
55,55,2008,Indirect migration background,female,Never,0.16169,48,19106,0.13039,0.20271
56,56,2013,No migration background,male,Very often,0.02075,213,25360,0.01828,0.02395
57,57,2013,No migration background,male,Often,0.13861,1384,25360,0.13079,0.14773
58,58,2013,No migration background,male,Sometimes,0.34388,3377,25360,0.3291,0.35822
59,59,2013,No migration background,male,Seldom,0.33875,3327,25360,0.32687,0.35173
60,60,2013,No migration background,male,Never,0.15801,1489,25360,0.14997,0.16604
61,61,2013,No migration background,female,Very often,0.02634,329,25360,0.02331,0.02956
62,62,2013,No migration background,female,Often,0.14706,1966,25360,0.13954,0.15459
63,63,2013,No migration background,female,Sometimes,0.3351,4110,25360,0.32342,0.34744
64,64,2013,No migration background,female,Seldom,0.31291,3572,25360,0.30323,0.32342
65,65,2013,No migration background,female,Never,0.17858,1771,25360,0.17185,0.18512
66,66,2013,Direct migration background,male,Very often,0.03172,35,25360,0.01779,0.05073
67,67,2013,Direct migration background,male,Often,0.17924,180,25360,0.14534,0.21863
68,68,2013,Direct migration background,male,Sometimes,0.28616,382,25360,0.24602,0.33503
69,69,2013,Direct migration background,male,Seldom,0.30133,370,25360,0.26135,0.3469
70,70,2013,Direct migration background,male,Never,0.20156,220,25360,0.17614,0.22866
71,71,2013,Direct migration background,female,Very often,0.0208,46,25360,0.0153,0.02663
72,72,2013,Direct migration background,female,Often,0.13137,245,25360,0.10873,0.15452
73,73,2013,Direct migration background,female,Sometimes,0.29003,501,25360,0.25857,0.33101
74,74,2013,Direct migration background,female,Seldom,0.31104,475,25360,0.27299,0.35869
75,75,2013,Direct migration background,female,Never,0.24675,293,25360,0.21718,0.28272
76,76,2013,Indirect migration background,male,Often,0.22506,122,25360,0.17011,0.29321
77,77,2013,Indirect migration background,male,Sometimes,0.39205,175,25360,0.30216,0.47725
78,78,2013,Indirect migration background,male,Seldom,0.28603,143,25360,0.23937,0.34045
79,79,2013,Indirect migration background,male,Never,0.09687,48,25360,0.0613,0.14085
80,80,2013,Indirect migration background,female,Often,0.27177,130,25360,0.2191,0.33018
81,81,2013,Indirect migration background,female,Sometimes,0.35617,229,25360,0.29771,0.40742
82,82,2013,Indirect migration background,female,Seldom,0.26878,164,25360,0.21565,0.3339
83,83,2013,Indirect migration background,female,Never,0.10328,64,25360,0.07651,0.13578
84,84,2018,No migration background,male,Very often,0.02995,264,25559,0.02602,0.03408
85,85,2018,No migration background,male,Often,0.14996,1333,25559,0.14156,0.16
86,86,2018,No migration background,male,Sometimes,0.35745,3222,25559,0.34252,0.37149
87,87,2018,No migration background,male,Seldom,0.32768,2962,25559,0.31517,0.33971
88,88,2018,No migration background,male,Never,0.13496,1228,25559,0.12628,0.14185
89,89,2018,No migration background,female,Very often,0.03335,392,25559,0.02924,0.03819
90,90,2018,No migration background,female,Often,0.17758,1872,25559,0.16989,0.18681
91,91,2018,No migration background,female,Sometimes,0.34393,3754,25559,0.33473,0.35403
92,92,2018,No migration background,female,Seldom,0.28496,2953,25559,0.2749,0.29715
93,93,2018,No migration background,female,Never,0.16017,1430,25559,0.15228,0.16809
94,94,2018,Direct migration background,male,Very often,0.0412,93,25559,0.03287,0.05067
95,95,2018,Direct migration background,male,Often,0.15943,323,25559,0.13338,0.1891
96,96,2018,Direct migration background,male,Sometimes,0.32047,641,25559,0.28402,0.35941
97,97,2018,Direct migration background,male,Seldom,0.28069,558,25559,0.24469,0.31567
98,98,2018,Direct migration background,male,Never,0.1982,401,25559,0.17019,0.22501
99,99,2018,Direct migration background,female,Very often,0.04437,120,25559,0.03286,0.05608
100,100,2018,Direct migration background,female,Often,0.16527,386,25559,0.1434,0.18739
101,101,2018,Direct migration background,female,Sometimes,0.29717,784,25559,0.26854,0.32783
102,102,2018,Direct migration background,female,Seldom,0.27452,629,25559,0.24116,0.30524
103,103,2018,Direct migration background,female,Never,0.21867,587,25559,0.19689,0.24373
104,104,2018,Indirect migration background,male,Very often,0.07449,50,25559,0.05434,0.09401
105,105,2018,Indirect migration background,male,Often,0.23297,157,25559,0.1927,0.28338
106,106,2018,Indirect migration background,male,Sometimes,0.32625,249,25559,0.28034,0.37942
107,107,2018,Indirect migration background,male,Seldom,0.25071,204,25559,0.21732,0.28038
108,108,2018,Indirect migration background,male,Never,0.11559,87,25559,0.08414,0.1485
109,109,2018,Indirect migration background,female,Very often,0.09186,59,25559,0.06914,0.11795
110,110,2018,Indirect migration background,female,Often,0.25213,219,25559,0.21558,0.30012
