year,migback,regtyp,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,Urban regions,Very often,0.04000,506,11851,0.03647,0.04353
2003,No migration background,Urban regions,Often,0.16273,2077,11851,0.15608,0.16937
2003,No migration background,Urban regions,Sometimes,0.34690,4245,11851,0.33833,0.35547
2003,No migration background,Urban regions,Seldom,0.27064,3245,11851,0.26264,0.27864
2003,No migration background,Urban regions,Never,0.17974,1778,11851,0.17282,0.18665
2003,No migration background,Rural regions,Very often,0.03555,250,6812,0.03115,0.03995
2003,No migration background,Rural regions,Often,0.14401,1049,6812,0.13567,0.15235
2003,No migration background,Rural regions,Sometimes,0.31932,2320,6812,0.30825,0.33039
2003,No migration background,Rural regions,Seldom,0.28921,1990,6812,0.27844,0.29998
2003,No migration background,Rural regions,Never,0.21191,1203,6812,0.20220,0.22161
2003,Direct migration background,Urban regions,Very often,0.04284,77,2136,0.03425,0.05143
2003,Direct migration background,Urban regions,Often,0.16226,323,2136,0.14662,0.17790
2003,Direct migration background,Urban regions,Sometimes,0.31950,686,2136,0.29972,0.33928
2003,Direct migration background,Urban regions,Seldom,0.23431,521,2136,0.21634,0.25227
2003,Direct migration background,Urban regions,Never,0.24110,529,2136,0.22295,0.25924
2003,Direct migration background,Rural regions,Often,0.14581,54,441,0.11284,0.17879
2003,Direct migration background,Rural regions,Sometimes,0.29033,143,441,0.24791,0.33274
2003,Direct migration background,Rural regions,Seldom,0.31250,138,441,0.26919,0.35581
2003,Direct migration background,Rural regions,Never,0.21856,106,441,0.17995,0.25718
2003,Indirect migration background,Urban regions,Very often,0.10055,57,674,0.07783,0.12328
2003,Indirect migration background,Urban regions,Often,0.29343,194,674,0.25903,0.32783
2003,Indirect migration background,Urban regions,Sometimes,0.33950,247,674,0.30372,0.37527
2003,Indirect migration background,Urban regions,Seldom,0.14881,103,674,0.12192,0.17570
2003,Indirect migration background,Urban regions,Never,0.11771,73,674,0.09336,0.14206
2003,Indirect migration background,Rural regions,Sometimes,0.44326,43,43,0.29302,0.59350
2008,No migration background,Urban regions,Very often,0.03127,346,10419,0.02793,0.03461
2008,No migration background,Urban regions,Often,0.15889,1725,10419,0.15187,0.16591
2008,No migration background,Urban regions,Sometimes,0.34809,3677,10419,0.33894,0.35724
2008,No migration background,Urban regions,Seldom,0.28712,3044,10419,0.27843,0.29581
2008,No migration background,Urban regions,Never,0.17462,1627,10419,0.16733,0.18191
2008,No migration background,Rural regions,Very often,0.02702,161,6109,0.02295,0.03109
2008,No migration background,Rural regions,Often,0.13724,849,6109,0.12861,0.14587
2008,No migration background,Rural regions,Sometimes,0.32277,2017,6109,0.31104,0.33449
2008,No migration background,Rural regions,Seldom,0.31300,1931,6109,0.30137,0.32463
2008,No migration background,Rural regions,Never,0.19997,1151,6109,0.18994,0.21000
2008,Direct migration background,Urban regions,Very often,0.03162,49,1537,0.02287,0.04037
2008,Direct migration background,Urban regions,Often,0.13094,218,1537,0.11407,0.14781
2008,Direct migration background,Urban regions,Sometimes,0.30805,474,1537,0.28496,0.33114
2008,Direct migration background,Urban regions,Seldom,0.29787,425,1537,0.27500,0.32074
2008,Direct migration background,Urban regions,Never,0.23152,371,1537,0.21043,0.25262
2008,Direct migration background,Rural regions,Often,0.11738,39,339,0.08306,0.15169
2008,Direct migration background,Rural regions,Sometimes,0.26565,99,339,0.21857,0.31274
2008,Direct migration background,Rural regions,Seldom,0.29056,99,339,0.24215,0.33896
2008,Direct migration background,Rural regions,Never,0.29890,102,339,0.25010,0.34770
2008,Indirect migration background,Urban regions,Very often,0.06314,41,653,0.04447,0.08181
2008,Indirect migration background,Urban regions,Often,0.24644,160,653,0.21336,0.27952
2008,Indirect migration background,Urban regions,Sometimes,0.39481,257,653,0.35728,0.43233
2008,Indirect migration background,Urban regions,Seldom,0.16768,127,653,0.13901,0.19636
2008,Indirect migration background,Urban regions,Never,0.12794,68,653,0.10230,0.15357
2008,Indirect migration background,Rural regions,Sometimes,0.29590,36,74,0.19119,0.40061
2008,Indirect migration background,Rural regions,Seldom,0.41096,38,74,0.29810,0.52383
2013,No migration background,Urban regions,Very often,0.02584,366,13155,0.02313,0.02855
2013,No migration background,Urban regions,Often,0.15228,2214,13155,0.14614,0.15842
2013,No migration background,Urban regions,Sometimes,0.34226,4652,13155,0.33415,0.35037
2013,No migration background,Urban regions,Seldom,0.32091,4094,13155,0.31294,0.32889
2013,No migration background,Urban regions,Never,0.15871,1829,13155,0.15247,0.16496
2013,No migration background,Rural regions,Very often,0.01930,174,8343,0.01635,0.02225
2013,No migration background,Rural regions,Often,0.12549,1129,8343,0.11838,0.13260
2013,No migration background,Rural regions,Sometimes,0.33423,2819,8343,0.32411,0.34435
2013,No migration background,Rural regions,Seldom,0.33479,2796,8343,0.32467,0.34492
2013,No migration background,Rural regions,Never,0.18619,1425,8343,0.17783,0.19454
2013,Direct migration background,Urban regions,Very often,0.02883,71,2109,0.02169,0.03598
2013,Direct migration background,Urban regions,Often,0.15386,342,2109,0.13846,0.16926
2013,Direct migration background,Urban regions,Sometimes,0.29850,695,2109,0.27897,0.31804
2013,Direct migration background,Urban regions,Seldom,0.30179,628,2109,0.28219,0.32138
2013,Direct migration background,Urban regions,Never,0.21702,373,2109,0.19942,0.23461
2013,Direct migration background,Rural regions,Often,0.15949,94,683,0.13202,0.18697
2013,Direct migration background,Rural regions,Sometimes,0.26231,210,683,0.22929,0.29532
2013,Direct migration background,Rural regions,Seldom,0.31168,231,683,0.27692,0.34644
2013,Direct migration background,Rural regions,Never,0.25058,148,683,0.21806,0.28311
2013,Indirect migration background,Urban regions,Very often,0.03244,38,894,0.02082,0.04406
2013,Indirect migration background,Urban regions,Often,0.25429,206,894,0.22573,0.28285
2013,Indirect migration background,Urban regions,Sometimes,0.35098,314,894,0.31967,0.38228
2013,Indirect migration background,Urban regions,Seldom,0.28417,248,894,0.25459,0.31375
2013,Indirect migration background,Urban regions,Never,0.07812,88,894,0.06052,0.09573
2013,Indirect migration background,Rural regions,Often,0.20091,42,180,0.14221,0.25960
2013,Indirect migration background,Rural regions,Sometimes,0.38964,84,180,0.31820,0.46108
2013,Indirect migration background,Rural regions,Seldom,0.19614,54,180,0.13797,0.25431
2018,No migration background,Urban regions,Very often,0.03559,446,11912,0.03227,0.03892
2018,No migration background,Urban regions,Often,0.17186,2158,11912,0.16509,0.17864
2018,No migration background,Urban regions,Sometimes,0.35258,4337,11912,0.34400,0.36116
2018,No migration background,Urban regions,Seldom,0.29952,3484,11912,0.29129,0.30775
2018,No migration background,Urban regions,Never,0.14044,1487,11912,0.13420,0.14668
2018,No migration background,Rural regions,Very often,0.02441,209,7451,0.02091,0.02791
2018,No migration background,Rural regions,Often,0.14909,1037,7451,0.14100,0.15717
2018,No migration background,Rural regions,Sometimes,0.34651,2618,7451,0.33571,0.35732
2018,No migration background,Rural regions,Seldom,0.31796,2420,7451,0.30738,0.32853
2018,No migration background,Rural regions,Never,0.16204,1167,7451,0.15367,0.17040
2018,Direct migration background,Urban regions,Very often,0.04539,181,3411,0.03840,0.05237
2018,Direct migration background,Urban regions,Often,0.16199,556,3411,0.14963,0.17436
2018,Direct migration background,Urban regions,Sometimes,0.31192,1104,3411,0.29637,0.32747
2018,Direct migration background,Urban regions,Seldom,0.26999,876,3411,0.25509,0.28489
2018,Direct migration background,Urban regions,Never,0.21071,694,3411,0.19702,0.22440
2018,Direct migration background,Rural regions,Very often,0.03635,33,1174,0.02564,0.04706
2018,Direct migration background,Rural regions,Often,0.15567,170,1174,0.13493,0.17642
2018,Direct migration background,Rural regions,Sometimes,0.29725,347,1174,0.27110,0.32341
2018,Direct migration background,Rural regions,Seldom,0.31838,323,1174,0.29172,0.34504
2018,Direct migration background,Rural regions,Never,0.19235,301,1174,0.16979,0.21490
2018,Indirect migration background,Urban regions,Very often,0.08656,98,1312,0.07134,0.10179
2018,Indirect migration background,Urban regions,Often,0.24620,321,1312,0.22288,0.26952
2018,Indirect migration background,Urban regions,Sometimes,0.33454,423,1312,0.30900,0.36008
2018,Indirect migration background,Urban regions,Seldom,0.23314,334,1312,0.21025,0.25603
2018,Indirect migration background,Urban regions,Never,0.09956,136,1312,0.08336,0.11577
2018,Indirect migration background,Rural regions,Often,0.20221,48,288,0.15574,0.24867
2018,Indirect migration background,Rural regions,Sometimes,0.31407,102,288,0.26037,0.36777
2018,Indirect migration background,Rural regions,Seldom,0.28003,96,288,0.22809,0.33198
2018,Indirect migration background,Rural regions,Never,0.15620,42,288,0.11420,0.19820
