,Unnamed: 0,year,quintil_oecd,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,1st Quintile,Very often,0.0394,126,22023,0.03387,0.04379
1,1,2003,1st Quintile,Often,0.1487,496,22023,0.14061,0.15794
2,2,2003,1st Quintile,Sometimes,0.28512,1000,22023,0.27445,0.29831
3,3,2003,1st Quintile,Seldom,0.24695,842,22023,0.23624,0.25697
4,4,2003,1st Quintile,Never,0.27983,905,22023,0.26995,0.28964
5,5,2003,2nd Quintile,Very often,0.03738,136,22023,0.03315,0.04267
6,6,2003,2nd Quintile,Often,0.15927,608,22023,0.14933,0.16824
7,7,2003,2nd Quintile,Sometimes,0.30819,1209,22023,0.29443,0.31872
8,8,2003,2nd Quintile,Seldom,0.26595,1043,22023,0.25556,0.27677
9,9,2003,2nd Quintile,Never,0.22921,842,22023,0.2197,0.23887
10,10,2003,3rd Quintile,Very often,0.03747,151,22023,0.03237,0.04297
11,11,2003,3rd Quintile,Often,0.13894,629,22023,0.13115,0.14856
12,12,2003,3rd Quintile,Sometimes,0.33188,1424,22023,0.31938,0.34652
13,13,2003,3rd Quintile,Seldom,0.28456,1170,22023,0.27527,0.29549
14,14,2003,3rd Quintile,Never,0.20715,726,22023,0.19777,0.21614
15,15,2003,4th Quintile,Very often,0.04246,191,22023,0.03784,0.04727
16,16,2003,4th Quintile,Often,0.1714,785,22023,0.16201,0.18146
17,17,2003,4th Quintile,Sometimes,0.37372,1665,22023,0.35887,0.38751
18,18,2003,4th Quintile,Seldom,0.26854,1194,22023,0.25666,0.27882
19,19,2003,4th Quintile,Never,0.14388,577,22023,0.13613,0.15157
20,20,2003,5th Quintile,Very often,0.04431,300,22023,0.03883,0.0509
21,21,2003,5th Quintile,Often,0.18098,1200,22023,0.17192,0.19219
22,22,2003,5th Quintile,Sometimes,0.36806,2385,22023,0.35482,0.38201
23,23,2003,5th Quintile,Seldom,0.28175,1773,22023,0.26908,0.2956
24,24,2003,5th Quintile,Never,0.12491,646,22023,0.11767,0.13343
25,25,2008,1st Quintile,Very often,0.03543,114,19172,0.03078,0.04105
26,26,2008,1st Quintile,Often,0.14362,414,19172,0.13453,0.15451
27,27,2008,1st Quintile,Sometimes,0.28254,841,19172,0.26639,0.2973
28,28,2008,1st Quintile,Seldom,0.2685,785,19172,0.2539,0.28277
29,29,2008,1st Quintile,Never,0.26991,826,19172,0.25881,0.28372
30,30,2008,2nd Quintile,Very often,0.02179,72,19172,0.0176,0.02542
31,31,2008,2nd Quintile,Often,0.12982,436,19172,0.11922,0.13901
32,32,2008,2nd Quintile,Sometimes,0.31265,1060,19172,0.29746,0.33034
33,33,2008,2nd Quintile,Seldom,0.29256,988,19172,0.27718,0.30828
34,34,2008,2nd Quintile,Never,0.24319,777,19172,0.23046,0.2548
35,35,2008,3rd Quintile,Very often,0.02764,101,19172,0.02365,0.03293
36,36,2008,3rd Quintile,Often,0.13351,540,19172,0.12297,0.14349
37,37,2008,3rd Quintile,Sometimes,0.36724,1331,19172,0.34877,0.38513
38,38,2008,3rd Quintile,Seldom,0.28635,1118,19172,0.27357,0.29943
39,39,2008,3rd Quintile,Never,0.18525,652,19172,0.17572,0.19608
40,40,2008,4th Quintile,Very often,0.03675,131,19172,0.03162,0.04145
