year,migback,sampreg,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,West,Very often,0.03935,567,13481,0.03607,0.04263
2003,No migration background,West,Often,0.15774,2304,13481,0.15158,0.16389
2003,No migration background,West,Sometimes,0.34402,4841,13481,0.33600,0.35204
2003,No migration background,West,Seldom,0.27424,3717,13481,0.26671,0.28177
2003,No migration background,West,Never,0.18465,2052,13481,0.17810,0.19120
2003,No migration background,East,Very often,0.03530,189,5182,0.03028,0.04033
2003,No migration background,East,Often,0.15111,822,5182,0.14136,0.16086
2003,No migration background,East,Sometimes,0.31367,1724,5182,0.30103,0.32630
2003,No migration background,East,Seldom,0.28701,1518,5182,0.27470,0.29933
2003,No migration background,East,Never,0.21291,929,5182,0.20176,0.22405
2003,Direct migration background,West,Very often,0.04207,88,2485,0.03417,0.04996
2003,Direct migration background,West,Often,0.16058,364,2485,0.14614,0.17502
2003,Direct migration background,West,Sometimes,0.31431,801,2485,0.29606,0.33257
2003,Direct migration background,West,Seldom,0.24689,625,2485,0.22994,0.26385
2003,Direct migration background,West,Never,0.23615,607,2485,0.21944,0.25285
2003,Direct migration background,East,Seldom,0.28945,34,34,0.13472,0.44419
2003,Indirect migration background,West,Very often,0.09117,58,744,0.07048,0.11187
2003,Indirect migration background,West,Often,0.28076,206,744,0.24844,0.31307
2003,Indirect migration background,West,Sometimes,0.35203,281,744,0.31768,0.38637
2003,Indirect migration background,West,Seldom,0.16335,123,744,0.13676,0.18993
2003,Indirect migration background,West,Never,0.11270,76,744,0.08996,0.13543
2008,No migration background,West,Very often,0.03116,381,11908,0.02804,0.03428
2008,No migration background,West,Often,0.15363,1909,11908,0.14716,0.16011
2008,No migration background,West,Sometimes,0.34144,4115,11908,0.33292,0.34996
2008,No migration background,West,Seldom,0.29081,3540,11908,0.28265,0.29897
2008,No migration background,West,Never,0.18295,1963,11908,0.17601,0.18990
2008,No migration background,East,Very often,0.02491,126,4620,0.02041,0.02940
2008,No migration background,East,Often,0.14333,665,4620,0.13322,0.15343
2008,No migration background,East,Sometimes,0.33166,1579,4620,0.31808,0.34523
2008,No migration background,East,Seldom,0.31503,1435,4620,0.30163,0.32842
2008,No migration background,East,Never,0.18508,815,4620,0.17388,0.19628
2008,Direct migration background,West,Very often,0.03063,52,1806,0.02268,0.03858
2008,Direct migration background,West,Often,0.12912,247,1806,0.11365,0.14459
2008,Direct migration background,West,Sometimes,0.29962,553,1806,0.27849,0.32076
2008,Direct migration background,West,Seldom,0.29488,500,1806,0.27385,0.31592
2008,Direct migration background,West,Never,0.24575,454,1806,0.22588,0.26561
2008,Indirect migration background,West,Very often,0.05868,44,722,0.04152,0.07584
2008,Indirect migration background,West,Often,0.22074,169,722,0.19047,0.25101
2008,Indirect migration background,West,Sometimes,0.37791,278,722,0.34252,0.41330
2008,Indirect migration background,West,Seldom,0.21254,155,722,0.18268,0.24240
2008,Indirect migration background,West,Never,0.13013,76,722,0.10557,0.15469
2013,No migration background,West,Very often,0.02547,425,16023,0.02303,0.02791
2013,No migration background,West,Often,0.15044,2675,16023,0.14490,0.15597
2013,No migration background,West,Sometimes,0.34248,5723,16023,0.33513,0.34982
2013,No migration background,West,Seldom,0.32376,5034,16023,0.31651,0.33100
2013,No migration background,West,Never,0.15786,2166,16023,0.15222,0.16351
2013,No migration background,East,Very often,0.01626,115,5475,0.01291,0.01961
2013,No migration background,East,Often,0.11424,668,5475,0.10582,0.12267
2013,No migration background,East,Sometimes,0.32801,1748,5475,0.31558,0.34045
2013,No migration background,East,Seldom,0.33363,1856,5475,0.32114,0.34612
2013,No migration background,East,Never,0.20785,1088,5475,0.19710,0.21860
2013,Direct migration background,West,Very often,0.02662,81,2649,0.02048,0.03275
2013,Direct migration background,West,Often,0.15810,414,2649,0.14421,0.17200
2013,Direct migration background,West,Sometimes,0.29066,856,2649,0.27337,0.30796
2013,Direct migration background,West,Seldom,0.30261,813,2649,0.28511,0.32010
2013,Direct migration background,West,Never,0.22201,485,2649,0.20618,0.23784
2013,Direct migration background,East,Sometimes,0.28446,49,131,0.20691,0.36202
2013,Direct migration background,East,Seldom,0.33954,46,131,0.25813,0.42095
2013,Direct migration background,East,Never,0.28838,36,131,0.21050,0.36625
2013,Indirect migration background,West,Very often,0.03525,46,1040,0.02403,0.04646
2013,Indirect migration background,West,Often,0.24501,234,1040,0.21886,0.27116
2013,Indirect migration background,West,Sometimes,0.35576,374,1040,0.32665,0.38487
2013,Indirect migration background,West,Seldom,0.26810,281,1040,0.24116,0.29503
2013,Indirect migration background,West,Never,0.09589,105,1040,0.07799,0.11380
2018,No migration background,West,Very often,0.03471,529,14368,0.03172,0.03771
2018,No migration background,West,Often,0.17171,2540,14368,0.16554,0.17787
2018,No migration background,West,Sometimes,0.35474,5318,14368,0.34692,0.36257
2018,No migration background,West,Seldom,0.30191,4263,14368,0.29440,0.30942
2018,No migration background,West,Never,0.13692,1718,14368,0.13130,0.14254
2018,No migration background,East,Very often,0.02015,126,4995,0.01625,0.02404
2018,No migration background,East,Often,0.13403,655,4995,0.12458,0.14348
2018,No migration background,East,Sometimes,0.33394,1637,4995,0.32086,0.34702
2018,No migration background,East,Seldom,0.32133,1641,4995,0.30838,0.33428
2018,No migration background,East,Never,0.19056,936,4995,0.17967,0.20145
2018,Direct migration background,West,Very often,0.04303,190,4214,0.03690,0.04916
2018,Direct migration background,West,Often,0.15694,664,4214,0.14596,0.16793
2018,Direct migration background,West,Sometimes,0.31181,1334,4214,0.29782,0.32580
2018,Direct migration background,West,Seldom,0.27905,1110,4214,0.26551,0.29259
2018,Direct migration background,West,Never,0.20917,916,4214,0.19689,0.22145
2018,Direct migration background,East,Often,0.23243,62,347,0.18792,0.27693
2018,Direct migration background,East,Sometimes,0.25575,117,347,0.20978,0.30173
2018,Direct migration background,East,Seldom,0.29081,89,347,0.24296,0.33867
2018,Direct migration background,East,Never,0.16689,79,347,0.12760,0.20618
2018,Indirect migration background,West,Very often,0.08142,101,1496,0.06756,0.09528
2018,Indirect migration background,West,Often,0.24061,344,1496,0.21894,0.26228
2018,Indirect migration background,West,Sometimes,0.33719,495,1496,0.31323,0.36116
2018,Indirect migration background,West,Seldom,0.23445,392,1496,0.21297,0.25592
2018,Indirect migration background,West,Never,0.10633,164,1496,0.09071,0.12196
2018,Indirect migration background,East,Seldom,0.34453,38,38,0.19141,0.49765
