year,migback,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,Very often,0.03847,756,18663,0.03571,0.04123
2003,No migration background,Often,0.15630,3126,18663,0.15109,0.16151
2003,No migration background,Sometimes,0.33742,6565,18663,0.33064,0.34420
2003,No migration background,Seldom,0.27702,5235,18663,0.27060,0.28344
2003,No migration background,Never,0.19080,2981,18663,0.18516,0.19643
2003,Direct migration background,Very often,0.04102,89,2589,0.03338,0.04866
2003,Direct migration background,Often,0.15929,377,2589,0.14519,0.17338
2003,Direct migration background,Sometimes,0.31422,829,2589,0.29634,0.33211
2003,Direct migration background,Seldom,0.24845,659,2589,0.23180,0.26510
2003,Direct migration background,Never,0.23702,635,2589,0.22064,0.25341
2003,Indirect migration background,Very often,0.08868,60,775,0.06865,0.10871
2003,Indirect migration background,Often,0.28400,217,775,0.25223,0.31577
2003,Indirect migration background,Sometimes,0.35346,290,775,0.31978,0.38714
2003,Indirect migration background,Seldom,0.16284,128,775,0.13683,0.18885
2003,Indirect migration background,Never,0.11102,80,775,0.08889,0.13315
2008,No migration background,Very often,0.02979,507,16528,0.02720,0.03239
2008,No migration background,Often,0.15138,2574,16528,0.14592,0.15684
2008,No migration background,Sometimes,0.33930,5694,16528,0.33208,0.34652
2008,No migration background,Seldom,0.29610,4975,16528,0.28914,0.30306
2008,No migration background,Never,0.18342,2778,16528,0.17752,0.18932
2008,Direct migration background,Very often,0.03082,55,1882,0.02301,0.03863
2008,Direct migration background,Often,0.12830,257,1882,0.11319,0.14342
2008,Direct migration background,Sometimes,0.29982,573,1882,0.27911,0.32052
2008,Direct migration background,Seldom,0.29645,524,1882,0.27581,0.31709
2008,Direct migration background,Never,0.24461,473,1882,0.22518,0.26403
2008,Indirect migration background,Very often,0.05863,46,764,0.04196,0.07530
2008,Indirect migration background,Often,0.22824,181,764,0.19846,0.25802
2008,Indirect migration background,Sometimes,0.37823,293,764,0.34382,0.41264
2008,Indirect migration background,Seldom,0.20845,165,764,0.17963,0.23727
2008,Indirect migration background,Never,0.12644,79,764,0.10286,0.15002
2013,No migration background,Very often,0.02351,540,21498,0.02148,0.02553
2013,No migration background,Often,0.14273,3343,21498,0.13806,0.14741
2013,No migration background,Sometimes,0.33940,7471,21498,0.33307,0.34573
2013,No migration background,Seldom,0.32586,6890,21498,0.31960,0.33213
2013,No migration background,Never,0.16851,3254,21498,0.16350,0.17351
2013,Direct migration background,Very often,0.02596,85,2806,0.02007,0.03184
2013,Direct migration background,Often,0.15511,436,2806,0.14172,0.16851
2013,Direct migration background,Sometimes,0.29043,905,2806,0.27363,0.30723
2013,Direct migration background,Seldom,0.30399,859,2806,0.28697,0.32102
2013,Direct migration background,Never,0.22450,521,2806,0.20906,0.23994
2013,Indirect migration background,Very often,0.03471,48,1106,0.02392,0.04551
2013,Indirect migration background,Often,0.24320,248,1106,0.21791,0.26850
2013,Indirect migration background,Sometimes,0.35901,398,1106,0.33072,0.38729
2013,Indirect migration background,Seldom,0.26589,302,1106,0.23984,0.29194
2013,Indirect migration background,Never,0.09719,110,1106,0.07972,0.11465
2018,No migration background,Very often,0.03173,655,19363,0.02926,0.03420
2018,No migration background,Often,0.16400,3195,19363,0.15878,0.16921
2018,No migration background,Sometimes,0.35049,6955,19363,0.34376,0.35721
2018,No migration background,Seldom,0.30589,5904,19363,0.29940,0.31238
2018,No migration background,Never,0.14790,2654,19363,0.14290,0.15290
2018,Direct migration background,Very often,0.04359,214,4585,0.03767,0.04950
2018,Direct migration background,Often,0.16073,726,4585,0.15010,0.17137
2018,Direct migration background,Sometimes,0.30899,1451,4585,0.29562,0.32237
2018,Direct migration background,Seldom,0.27964,1199,4585,0.26665,0.29263
2018,Direct migration background,Never,0.20705,995,4585,0.19532,0.21878
2018,Indirect migration background,Very often,0.08072,109,1611,0.06741,0.09403
2018,Indirect migration background,Often,0.23962,369,1611,0.21877,0.26047
2018,Indirect migration background,Sometimes,0.33148,525,1611,0.30848,0.35447
2018,Indirect migration background,Seldom,0.24015,430,1611,0.21929,0.26102
2018,Indirect migration background,Never,0.10803,178,1611,0.09287,0.12320
