year,age_gr,sampreg,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,West,Very often,0.09902,283,2931,0.08820,0.10983
2003,17-29 y.,West,Often,0.30978,909,2931,0.29303,0.32652
2003,17-29 y.,West,Sometimes,0.37531,1116,2931,0.35778,0.39284
2003,17-29 y.,West,Seldom,0.16692,483,2931,0.15342,0.18043
2003,17-29 y.,West,Never,0.04897,140,2931,0.04116,0.05679
2003,17-29 y.,East,Very often,0.08723,91,1069,0.07030,0.10415
2003,17-29 y.,East,Often,0.29772,325,1069,0.27029,0.32514
2003,17-29 y.,East,Sometimes,0.38869,425,1069,0.35945,0.41792
2003,17-29 y.,East,Seldom,0.18049,183,1069,0.15743,0.20356
2003,17-29 y.,East,Never,0.04588,45,1069,0.03333,0.05842
2003,30-45 y.,West,Very often,0.04807,256,5424,0.04237,0.05376
2003,30-45 y.,West,Often,0.20108,1075,5424,0.19041,0.21175
2003,30-45 y.,West,Sometimes,0.41536,2238,5424,0.40225,0.42848
2003,30-45 y.,West,Seldom,0.24274,1361,5424,0.23133,0.25415
2003,30-45 y.,West,Never,0.09275,494,5424,0.08503,0.10047
2003,30-45 y.,East,Very often,0.03402,54,1486,0.02480,0.04324
2003,30-45 y.,East,Often,0.18605,275,1486,0.16626,0.20584
2003,30-45 y.,East,Sometimes,0.37204,571,1486,0.34746,0.39663
2003,30-45 y.,East,Seldom,0.29319,427,1486,0.27004,0.31635
2003,30-45 y.,East,Never,0.11470,159,1486,0.09849,0.13091
2003,46-65 y.,West,Very often,0.02961,160,5663,0.02520,0.03403
2003,46-65 y.,West,Often,0.11966,735,5663,0.11120,0.12811
2003,46-65 y.,West,Sometimes,0.33830,1988,5663,0.32598,0.35062
2003,46-65 y.,West,Seldom,0.31320,1783,5663,0.30112,0.32528
2003,46-65 y.,West,Never,0.19924,997,5663,0.18883,0.20964
2003,46-65 y.,East,Very often,0.02512,41,1868,0.01803,0.03222
2003,46-65 y.,East,Often,0.11433,196,1868,0.09990,0.12877
2003,46-65 y.,East,Sometimes,0.29531,569,1868,0.27462,0.31600
2003,46-65 y.,East,Seldom,0.33751,681,1868,0.31606,0.35896
2003,46-65 y.,East,Never,0.22772,381,1868,0.20870,0.24674
2003,66 and older,West,Often,0.05604,155,2678,0.04733,0.06475
2003,66 and older,West,Sometimes,0.20423,581,2678,0.18896,0.21950
2003,66 and older,West,Seldom,0.30608,838,2678,0.28862,0.32354
2003,66 and older,West,Never,0.42842,1104,2678,0.40968,0.44717
2003,66 and older,East,Often,0.05208,50,888,0.03746,0.06671
2003,66 and older,East,Sometimes,0.21381,196,888,0.18683,0.24080
2003,66 and older,East,Seldom,0.28426,266,888,0.25457,0.31394
2003,66 and older,East,Never,0.44114,376,888,0.40846,0.47381
2008,17-29 y.,West,Very often,0.06451,164,2327,0.05452,0.07449
