year,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Very often,0.03336,905,22027,0.03099,0.03573
2003,Often,0.13282,3720,22027,0.12834,0.13730
2003,Sometimes,0.27704,7684,22027,0.27113,0.28295
2003,Seldom,0.22323,6022,22027,0.21773,0.22872
2003,Never,0.16070,3696,22027,0.15585,0.16555
2008,Very often,0.02603,608,19174,0.02378,0.02829
2008,Often,0.12657,3012,19174,0.12186,0.13128
2008,Sometimes,0.27980,6560,19174,0.27344,0.28615
2008,Seldom,0.24312,5664,19174,0.23705,0.24919
2008,Never,0.15694,3330,19174,0.15180,0.16209
2013,Very often,0.01830,673,25410,0.01665,0.01994
2013,Often,0.11164,4027,25410,0.10777,0.11552
2013,Sometimes,0.25533,8774,25410,0.24997,0.26069
2013,Seldom,0.24511,8051,25410,0.23982,0.25040
2013,Never,0.13041,3885,25410,0.12627,0.13455
2018,Very often,0.03029,978,25559,0.02819,0.03239
2018,Often,0.13987,4290,25559,0.13561,0.14412
2018,Sometimes,0.28589,8931,25559,0.28035,0.29143
2018,Seldom,0.24842,7533,25559,0.24312,0.25371
2018,Never,0.12883,3827,25559,0.12472,0.13293
