"pld0043","year","bildungsniveau","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","maennlich","38","0.0651607757038493","0.0415286566653713","0.0887928947423273"
"Sehr oft","2003","(noch) kein Abschluss","weiblich","42","0.0842052366077638","0.059073048719057","0.109337424496471"
"Sehr oft","2003","Hauptschule","maennlich","113","0.0277669351724602","0.0227054612252521","0.0328284091196684"
"Sehr oft","2003","Hauptschule","weiblich","99","0.0228305804139291","0.018381732568172","0.0272794282596862"
"Sehr oft","2003","Realschule","maennlich","128","0.0556941777712046","0.0466281220534574","0.0647602334889519"
"Sehr oft","2003","Realschule","weiblich","137","0.044366824574333","0.0373425721316629","0.051391077017003"
"Sehr oft","2003","(Fach-)Abitur","maennlich","72","0.085262855912625","0.0688114743374068","0.101714237487843"
"Sehr oft","2003","(Fach-)Abitur","weiblich","76","0.0575075765471243","0.0448521181120345","0.0701630349822142"
"Sehr oft","2003","AkademikerIn","maennlich","75","0.0340578397509523","0.0268654954782309","0.0412501840236737"
"Sehr oft","2003","AkademikerIn","weiblich","104","0.0465362263321121","0.0370422092986196","0.0560302433656045"
"Oft","2003","(noch) kein Abschluss","maennlich","154","0.368035982743104","0.321858272330204","0.414213693156004"
"Oft","2003","(noch) kein Abschluss","weiblich","119","0.202671000378624","0.166289864419065","0.239052136338182"
"Oft","2003","Hauptschule","maennlich","463","0.114533734842196","0.104723473872349","0.124343995812042"
"Oft","2003","Hauptschule","weiblich","423","0.0939331650852121","0.0852436860858368","0.102622644084587"
"Oft","2003","Realschule","maennlich","418","0.17463423202256","0.159625463232235","0.189643000812886"
"Oft","2003","Realschule","weiblich","605","0.1730667957241","0.160161516050588","0.185972075397612"
"Oft","2003","(Fach-)Abitur","maennlich","289","0.251602616789661","0.226040430968596","0.277164802610726"
"Oft","2003","(Fach-)Abitur","weiblich","318","0.228472766861893","0.205649948937122","0.251295584786664"
"Oft","2003","AkademikerIn","maennlich","430","0.185747887142722","0.170326347101645","0.201169427183798"
"Oft","2003","AkademikerIn","weiblich","427","0.236397303919105","0.217247809481173","0.255546798357038"
"Manchmal","2003","(noch) kein Abschluss","maennlich","125","0.293830202865868","0.250214400481132","0.337446005250604"
"Manchmal","2003","(noch) kein Abschluss","weiblich","153","0.308835615594282","0.267022162521842","0.350649068666723"
"Manchmal","2003","Hauptschule","maennlich","1280","0.310673863468694","0.296418031393796","0.324929695543592"
"Manchmal","2003","Hauptschule","weiblich","1204","0.26140333797409","0.248315636581557","0.274491039366622"
"Manchmal","2003","Realschule","maennlich","944","0.383697900142481","0.364473681963937","0.402922118321025"
"Manchmal","2003","Realschule","weiblich","1227","0.366279925845408","0.349844512919884","0.382715338770932"
"Manchmal","2003","(Fach-)Abitur","maennlich","391","0.357653518534615","0.32941836157556","0.385888675493671"
"Manchmal","2003","(Fach-)Abitur","weiblich","541","0.397379944785092","0.370778747881685","0.4239811416885"
"Manchmal","2003","AkademikerIn","maennlich","956","0.375673469758201","0.35646921247261","0.394877727043791"
"Manchmal","2003","AkademikerIn","weiblich","771","0.410725198785715","0.388551561665919","0.432898835905512"
"Selten","2003","(noch) kein Abschluss","maennlich","58","0.13320389287223","0.100668353244262","0.165739432500197"
"Selten","2003","(noch) kein Abschluss","weiblich","86","0.20387959510081","0.167417809883011","0.24034138031861"
"Selten","2003","Hauptschule","maennlich","1177","0.281006460841773","0.267159690613085","0.294853231070461"
"Selten","2003","Hauptschule","weiblich","1269","0.290976930543928","0.277447995706138","0.304505865381718"
"Selten","2003","Realschule","maennlich","694","0.275368556979227","0.257709280194993","0.293027833763461"
"Selten","2003","Realschule","weiblich","968","0.287205281657965","0.271770383208423","0.302640180107507"
"Selten","2003","(Fach-)Abitur","maennlich","241","0.201646281542185","0.178010657913563","0.225281905170807"
"Selten","2003","(Fach-)Abitur","weiblich","265","0.22718622211783","0.20440878597219","0.249963658263471"
"Selten","2003","AkademikerIn","maennlich","757","0.306671722132486","0.288386818310103","0.32495662595487"
"Selten","2003","AkademikerIn","weiblich","453","0.214598879018709","0.196095041361208","0.233102716676211"
"Nie","2003","(noch) kein Abschluss","maennlich","44","0.139769145814949","0.106567910497136","0.172970381132762"
"Nie","2003","(noch) kein Abschluss","weiblich","69","0.20040855231852","0.164179759322948","0.236637345314091"
"Nie","2003","Hauptschule","maennlich","1015","0.266019005674877","0.252406860280535","0.279631151069218"
"Nie","2003","Hauptschule","weiblich","1335","0.330855985982841","0.316841297791873","0.344870674173809"
"Nie","2003","Realschule","maennlich","274","0.110605133084527","0.0982059777049976","0.123004288464057"
"Nie","2003","Realschule","weiblich","364","0.129081172198194","0.117643290012366","0.140519054384022"
"Nie","2003","(Fach-)Abitur","maennlich","114","0.103834727220913","0.0858650759494804","0.121804378492347"
"Nie","2003","(Fach-)Abitur","weiblich","100","0.0894534896880602","0.0739394061446638","0.104967573231457"
"Nie","2003","AkademikerIn","maennlich","225","0.0978490812156393","0.0860674796520546","0.109630682779224"
"Nie","2003","AkademikerIn","weiblich","136","0.0917423919443583","0.0787319551161564","0.10475282877256"
