,Unnamed: 0,year,age_gr,pgisced97,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,17-29 y.,Pre-primary Level,Very often,0.10753,75,21249,0.08686,0.134
1,1,2003,17-29 y.,Pre-primary Level,Often,0.43361,250,21249,0.3876,0.47771
2,2,2003,17-29 y.,Pre-primary Level,Sometimes,0.33779,209,21249,0.29412,0.38282
3,3,2003,17-29 y.,Pre-primary Level,Seldom,0.12107,70,21249,0.09773,0.14778
4,4,2003,17-29 y.,Lower Secondary Level,Very often,0.08388,75,21249,0.06854,0.10156
5,5,2003,17-29 y.,Lower Secondary Level,Often,0.29935,238,21249,0.26558,0.33101
6,6,2003,17-29 y.,Lower Secondary Level,Sometimes,0.37752,322,21249,0.34264,0.41656
7,7,2003,17-29 y.,Lower Secondary Level,Seldom,0.17975,136,21249,0.15626,0.21055
8,8,2003,17-29 y.,Lower Secondary Level,Never,0.05949,47,21249,0.04806,0.0716
9,9,2003,17-29 y.,Upper Secondary Level,Very often,0.11184,164,21249,0.09824,0.12774
10,10,2003,17-29 y.,Upper Secondary Level,Often,0.28492,508,21249,0.26434,0.3153
11,11,2003,17-29 y.,Upper Secondary Level,Sometimes,0.37474,666,21249,0.35114,0.39924
12,12,2003,17-29 y.,Upper Secondary Level,Seldom,0.17409,321,21249,0.16056,0.18955
13,13,2003,17-29 y.,Upper Secondary Level,Never,0.05441,87,21249,0.04282,0.0677
14,14,2003,17-29 y.,Post-secondary Non-tertiary Level,Often,0.30618,68,21249,0.24004,0.36175
15,15,2003,17-29 y.,Post-secondary Non-tertiary Level,Sometimes,0.46399,134,21249,0.3924,0.54388
16,16,2003,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.22984,46,21249,0.17124,0.29832
17,17,2003,17-29 y.,First Stage of Tertiary Education,Sometimes,1.0,35,21249,0.74697,1.26785
18,18,2003,17-29 y.,Second Stage of Tertiary Education,Often,0.40495,70,21249,0.32709,0.4854
19,19,2003,17-29 y.,Second Stage of Tertiary Education,Sometimes,0.59505,87,21249,0.48323,0.69779
20,20,2003,30-45 y.,Lower Secondary Level,Often,0.13329,60,21249,0.10828,0.15587
21,21,2003,30-45 y.,Lower Secondary Level,Sometimes,0.41332,170,21249,0.36459,0.46207
22,22,2003,30-45 y.,Lower Secondary Level,Seldom,0.2545,103,21249,0.211,0.29088
23,23,2003,30-45 y.,Lower Secondary Level,Never,0.19889,81,21249,0.16856,0.23042
24,24,2003,30-45 y.,Upper Secondary Level,Very often,0.0438,155,21249,0.03866,0.04972
25,25,2003,30-45 y.,Upper Secondary Level,Often,0.17914,623,21249,0.16837,0.18798
26,26,2003,30-45 y.,Upper Secondary Level,Sometimes,0.40342,1429,21249,0.38756,0.41974
27,27,2003,30-45 y.,Upper Secondary Level,Seldom,0.26742,979,21249,0.25475,0.27749
28,28,2003,30-45 y.,Upper Secondary Level,Never,0.10622,382,21249,0.09835,0.11373
29,29,2003,30-45 y.,Post-secondary Non-tertiary Level,Often,0.22841,126,21249,0.19677,0.26483
30,30,2003,30-45 y.,Post-secondary Non-tertiary Level,Sometimes,0.45348,224,21249,0.40453,0.50501
31,31,2003,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.22635,123,21249,0.19938,0.2607
32,32,2003,30-45 y.,Post-secondary Non-tertiary Level,Never,0.09176,49,21249,0.07222,0.11145
33,33,2003,30-45 y.,First Stage of Tertiary Education,Often,0.21743,142,21249,0.19063,0.2467
34,34,2003,30-45 y.,First Stage of Tertiary Education,Sometimes,0.44105,294,21249,0.40144,0.48194
35,35,2003,30-45 y.,First Stage of Tertiary Education,Seldom,0.26095,187,21249,0.23146,0.2963
36,36,2003,30-45 y.,First Stage of Tertiary Education,Never,0.08057,47,21249,0.06558,0.09882
37,37,2003,30-45 y.,Second Stage of Tertiary Education,Very often,0.05366,86,21249,0.04525,0.06268
38,38,2003,30-45 y.,Second Stage of Tertiary Education,Often,0.26265,386,21249,0.24152,0.28384
39,39,2003,30-45 y.,Second Stage of Tertiary Education,Sometimes,0.41148,665,21249,0.37897,0.4444
40,40,2003,30-45 y.,Second Stage of Tertiary Education,Seldom,0.22905,369,21249,0.20509,0.25251
41,41,2003,30-45 y.,Second Stage of Tertiary Education,Never,0.04316,69,21249,0.03587,0.05114
42,42,2003,46-65 y.,Primary Level,Never,1.0,41,21249,0.76901,1.27115
43,43,2003,46-65 y.,Lower Secondary Level,Often,0.07449,48,21249,0.06098,0.08739
44,44,2003,46-65 y.,Lower Secondary Level,Sometimes,0.2746,179,21249,0.24874,0.30281
45,45,2003,46-65 y.,Lower Secondary Level,Seldom,0.28993,206,21249,0.25803,0.32423
46,46,2003,46-65 y.,Lower Secondary Level,Never,0.36098,243,21249,0.33147,0.39493
47,47,2003,46-65 y.,Upper Secondary Level,Very often,0.02368,87,21249,0.01976,0.02738
