,Unnamed: 0,year,migback,pgisced97,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,No migration background,Pre-primary Level,Very often,0.10847,61,21251,0.08352,0.13937
1,1,2003,No migration background,Pre-primary Level,Often,0.4328,204,21251,0.38407,0.4861
2,2,2003,No migration background,Pre-primary Level,Sometimes,0.33667,168,21251,0.29523,0.38112
3,3,2003,No migration background,Pre-primary Level,Seldom,0.12206,56,21251,0.09732,0.14851
4,4,2003,No migration background,Lower Secondary Level,Very often,0.03197,76,21251,0.02733,0.03682
5,5,2003,No migration background,Lower Secondary Level,Often,0.12361,264,21251,0.1113,0.13555
6,6,2003,No migration background,Lower Secondary Level,Sometimes,0.25483,515,21251,0.23967,0.26883
7,7,2003,No migration background,Lower Secondary Level,Seldom,0.24612,450,21251,0.23323,0.26299
8,8,2003,No migration background,Lower Secondary Level,Never,0.34348,565,21251,0.32778,0.35625
9,9,2003,No migration background,Upper Secondary Level,Very often,0.03638,354,21251,0.03375,0.03976
10,10,2003,No migration background,Upper Secondary Level,Often,0.13445,1408,21251,0.12894,0.14041
11,11,2003,No migration background,Upper Secondary Level,Sometimes,0.32725,3296,21251,0.3192,0.33697
12,12,2003,No migration background,Upper Secondary Level,Seldom,0.2955,2903,21251,0.28847,0.30353
13,13,2003,No migration background,Upper Secondary Level,Never,0.20642,1791,21251,0.20066,0.21237
14,14,2003,No migration background,Post-secondary Non-tertiary Level,Very often,0.0463,38,21251,0.03548,0.06054
15,15,2003,No migration background,Post-secondary Non-tertiary Level,Often,0.20273,188,21251,0.17858,0.22961
16,16,2003,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.39838,360,21251,0.36273,0.43462
17,17,2003,No migration background,Post-secondary Non-tertiary Level,Seldom,0.26404,221,21251,0.24095,0.29812
18,18,2003,No migration background,Post-secondary Non-tertiary Level,Never,0.08854,77,21251,0.07457,0.10208
19,19,2003,No migration background,First Stage of Tertiary Education,Very often,0.03573,47,21251,0.02783,0.0444
20,20,2003,No migration background,First Stage of Tertiary Education,Often,0.16332,246,21251,0.14612,0.17942
21,21,2003,No migration background,First Stage of Tertiary Education,Sometimes,0.37076,560,21251,0.34652,0.39825
22,22,2003,No migration background,First Stage of Tertiary Education,Seldom,0.25532,435,21251,0.23908,0.27548
23,23,2003,No migration background,First Stage of Tertiary Education,Never,0.17488,209,21251,0.15928,0.1908
24,24,2003,No migration background,Second Stage of Tertiary Education,Very often,0.03756,159,21251,0.03211,0.04249
25,25,2003,No migration background,Second Stage of Tertiary Education,Often,0.19907,750,21251,0.18498,0.21166
26,26,2003,No migration background,Second Stage of Tertiary Education,Sometimes,0.40241,1583,21251,0.38392,0.42446
27,27,2003,No migration background,Second Stage of Tertiary Education,Seldom,0.27364,1113,21251,0.261,0.28886
28,28,2003,No migration background,Second Stage of Tertiary Education,Never,0.08731,300,21251,0.07876,0.0964
29,29,2003,Direct migration background,Primary Level,Sometimes,0.30256,44,21251,0.24091,0.35762
30,30,2003,Direct migration background,Primary Level,Seldom,0.25468,43,21251,0.20471,0.30662
31,31,2003,Direct migration background,Primary Level,Never,0.44277,66,21251,0.36805,0.52714
32,32,2003,Direct migration background,Lower Secondary Level,Often,0.12231,72,21251,0.10034,0.1433
33,33,2003,Direct migration background,Lower Secondary Level,Sometimes,0.3323,209,21251,0.29744,0.37381
34,34,2003,Direct migration background,Lower Secondary Level,Seldom,0.24314,159,21251,0.20575,0.27914
35,35,2003,Direct migration background,Lower Secondary Level,Never,0.30225,194,21251,0.27062,0.33167
36,36,2003,Direct migration background,Upper Secondary Level,Very often,0.05119,41,21251,0.04008,0.06667
37,37,2003,Direct migration background,Upper Secondary Level,Often,0.14606,129,21251,0.12541,0.16947
38,38,2003,Direct migration background,Upper Secondary Level,Sometimes,0.29961,296,21251,0.28134,0.32637
39,39,2003,Direct migration background,Upper Secondary Level,Seldom,0.26056,252,21251,0.23432,0.28408
40,40,2003,Direct migration background,Upper Secondary Level,Never,0.24258,242,21251,0.22057,0.26401
41,41,2003,Direct migration background,Post-secondary Non-tertiary Level,Often,0.16,33,21251,0.12248,0.20678
42,42,2003,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.39772,82,21251,0.33341,0.46358
43,43,2003,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.24054,58,21251,0.20287,0.28841
44,44,2003,Direct migration background,Post-secondary Non-tertiary Level,Never,0.20174,47,21251,0.15127,0.2516
45,45,2003,Direct migration background,First Stage of Tertiary Education,Sometimes,0.41683,41,21251,0.32268,0.52935
46,46,2003,Direct migration background,First Stage of Tertiary Education,Seldom,0.58317,45,21251,0.46083,0.72219
47,47,2003,Direct migration background,Second Stage of Tertiary Education,Often,0.24331,80,21251,0.20517,0.27835
48,48,2003,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.33656,123,21251,0.28662,0.38166
49,49,2003,Direct migration background,Second Stage of Tertiary Education,Seldom,0.25156,88,21251,0.20745,0.30775
50,50,2003,Direct migration background,Second Stage of Tertiary Education,Never,0.16857,59,21251,0.14495,0.20341
51,51,2003,Indirect migration background,Lower Secondary Level,Often,0.34965,48,21251,0.27095,0.43316
52,52,2003,Indirect migration background,Lower Secondary Level,Sometimes,0.45487,72,21251,0.36149,0.53743
53,53,2003,Indirect migration background,Lower Secondary Level,Seldom,0.19548,34,21251,0.14909,0.24568
54,54,2003,Indirect migration background,Upper Secondary Level,Often,0.28066,81,21251,0.23355,0.33935
55,55,2003,Indirect migration background,Upper Secondary Level,Sometimes,0.38331,124,21251,0.33268,0.44248
56,56,2003,Indirect migration background,Upper Secondary Level,Seldom,0.19839,55,21251,0.15169,0.2438
57,57,2003,Indirect migration background,Upper Secondary Level,Never,0.13763,37,21251,0.09214,0.19874
58,58,2008,No migration background,Pre-primary Level,Very often,0.09791,31,18290,0.07744,0.12338
59,59,2008,No migration background,Pre-primary Level,Often,0.3363,101,18290,0.27448,0.4032
60,60,2008,No migration background,Pre-primary Level,Sometimes,0.41798,114,18290,0.35281,0.48594
61,61,2008,No migration background,Pre-primary Level,Seldom,0.14781,38,18290,0.11048,0.18627
62,62,2008,No migration background,Lower Secondary Level,Often,0.11381,164,18290,0.10082,0.12712
63,63,2008,No migration background,Lower Secondary Level,Sometimes,0.27472,391,18290,0.25207,0.29856
64,64,2008,No migration background,Lower Secondary Level,Seldom,0.27744,381,18290,0.25754,0.29925
65,65,2008,No migration background,Lower Secondary Level,Never,0.33404,443,18290,0.31343,0.3533
66,66,2008,No migration background,Upper Secondary Level,Very often,0.02871,234,18290,0.02535,0.03158
67,67,2008,No migration background,Upper Secondary Level,Often,0.13002,1154,18290,0.12388,0.13592
68,68,2008,No migration background,Upper Secondary Level,Sometimes,0.33072,2853,18290,0.32145,0.3418
69,69,2008,No migration background,Upper Secondary Level,Seldom,0.30452,2694,18290,0.29381,0.3129
70,70,2008,No migration background,Upper Secondary Level,Never,0.20603,1700,18290,0.1994,0.21573
71,71,2008,No migration background,Post-secondary Non-tertiary Level,Very often,0.02757,31,18290,0.02083,0.03773
72,72,2008,No migration background,Post-secondary Non-tertiary Level,Often,0.2089,174,18290,0.18434,0.23658
73,73,2008,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.38109,331,18290,0.34419,0.41388
74,74,2008,No migration background,Post-secondary Non-tertiary Level,Seldom,0.29657,245,18290,0.26912,0.33247
75,75,2008,No migration background,Post-secondary Non-tertiary Level,Never,0.08588,78,18290,0.07305,0.10264
76,76,2008,No migration background,First Stage of Tertiary Education,Often,0.15091,177,18290,0.13106,0.17302
77,77,2008,No migration background,First Stage of Tertiary Education,Sometimes,0.37436,442,18290,0.34397,0.41195
78,78,2008,No migration background,First Stage of Tertiary Education,Seldom,0.33254,445,18290,0.30275,0.35352
79,79,2008,No migration background,First Stage of Tertiary Education,Never,0.1422,161,18290,0.12385,0.15925
80,80,2008,No migration background,Second Stage of Tertiary Education,Very often,0.03688,137,18290,0.03147,0.0431
81,81,2008,No migration background,Second Stage of Tertiary Education,Often,0.20485,736,18290,0.18888,0.22132
82,82,2008,No migration background,Second Stage of Tertiary Education,Sometimes,0.37049,1458,18290,0.35316,0.38909
83,83,2008,No migration background,Second Stage of Tertiary Education,Seldom,0.29399,1109,18290,0.27692,0.31291
84,84,2008,No migration background,Second Stage of Tertiary Education,Never,0.09379,337,18290,0.08487,0.10255
85,85,2008,Direct migration background,Primary Level,Never,1.0,41,18290,0.72679,1.28812
86,86,2008,Direct migration background,Lower Secondary Level,Often,0.09075,34,18290,0.06886,0.1168
87,87,2008,Direct migration background,Lower Secondary Level,Sometimes,0.24229,107,18290,0.20901,0.27653
88,88,2008,Direct migration background,Lower Secondary Level,Seldom,0.30304,120,18290,0.25603,0.34591
89,89,2008,Direct migration background,Lower Secondary Level,Never,0.36392,154,18290,0.31894,0.40264
