"pld0043","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","kein Migrationshintergrund","65","0.096664900877266","0.0726574833165116","0.12067231843802"
"Sehr oft","2003","(noch) kein Abschluss","direkter Migrationshintergrund","7","0.0306473357865391","0.00817588360369625","0.053118787969382"
"Sehr oft","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","8","0.0859400683470601","0.0245231133322531","0.147357023361867"
"Sehr oft","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","Hauptschule","kein Migrationshintergrund","158","","",""
"Sehr oft","2003","Hauptschule","direkter Migrationshintergrund","43","0.0406063312955759","0.0300619558304124","0.0511507067607393"
"Sehr oft","2003","Hauptschule","indirekter Migrationshintergrund","11","","",""
"Sehr oft","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","Realschule","kein Migrationshintergrund","235","","",""
"Sehr oft","2003","Realschule","direkter Migrationshintergrund","10","","",""
"Sehr oft","2003","Realschule","indirekter Migrationshintergrund","20","","",""
"Sehr oft","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","(Fach-)Abitur","kein Migrationshintergrund","124","","",""
"Sehr oft","2003","(Fach-)Abitur","direkter Migrationshintergrund","12","","",""
"Sehr oft","2003","(Fach-)Abitur","indirekter Migrationshintergrund","12","","",""
"Sehr oft","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2003","AkademikerIn","kein Migrationshintergrund","159","","",""
"Sehr oft","2003","AkademikerIn","direkter Migrationshintergrund","16","","",""
"Sehr oft","2003","AkademikerIn","indirekter Migrationshintergrund","4","0.0454364665719594","-0.00598950568463634","0.0968624388285551"
"Sehr oft","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","(noch) kein Abschluss","kein Migrationshintergrund","215","","",""
"Oft","2003","(noch) kein Abschluss","direkter Migrationshintergrund","27","","",""
"Oft","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","31","0.336144706332851","0.232629787235793","0.439659625429909"
"Oft","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","Hauptschule","kein Migrationshintergrund","700","0.0990550868950741","0.0919426756716267","0.106167498118522"
"Oft","2003","Hauptschule","direkter Migrationshintergrund","143","","",""
"Oft","2003","Hauptschule","indirekter Migrationshintergrund","43","0.188073922593969","0.140111563398578","0.236036281789359"
"Oft","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","Realschule","kein Migrationshintergrund","919","0.169608396695683","0.159549319341129","0.179667474050237"
"Oft","2003","Realschule","direkter Migrationshintergrund","39","0.157473201528301","0.107972470368674","0.206973932687929"
"Oft","2003","Realschule","indirekter Migrationshintergrund","65","0.306420372872881","0.243158799412164","0.369681946333599"
"Oft","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","(Fach-)Abitur","kein Migrationshintergrund","486","0.238706856683092","0.219364887925749","0.258048825440435"
"Oft","2003","(Fach-)Abitur","direkter Migrationshintergrund","80","0.227340582610892","0.186471965371173","0.268209199850612"
"Oft","2003","(Fach-)Abitur","indirekter Migrationshintergrund","41","0.316804328750588","0.238901018148763","0.394707639352413"
"Oft","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2003","AkademikerIn","kein Migrationshintergrund","750","0.199080487028447","0.186556391935253","0.211604582121641"
"Oft","2003","AkademikerIn","direkter Migrationshintergrund","80","0.23077227420553","0.187607762932716","0.273936785478344"
"Oft","2003","AkademikerIn","indirekter Migrationshintergrund","27","","",""
"Oft","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","(noch) kein Abschluss","kein Migrationshintergrund","188","","",""
"Manchmal","2003","(noch) kein Abschluss","direkter Migrationshintergrund","65","0.28838534183066","0.22932405500166","0.347446628659659"
"Manchmal","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","25","","",""
"Manchmal","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","Hauptschule","kein Migrationshintergrund","1969","","",""
"Manchmal","2003","Hauptschule","direkter Migrationshintergrund","416","0.301153414298194","0.276645272714712","0.325661555881675"
"Manchmal","2003","Hauptschule","indirekter Migrationshintergrund","99","0.373200058365817","0.313837402078997","0.432562714652637"
"Manchmal","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","Realschule","kein Migrationshintergrund","2009","","",""
"Manchmal","2003","Realschule","direkter Migrationshintergrund","79","0.445499193058719","0.37795453994277","0.513043846174668"
"Manchmal","2003","Realschule","indirekter Migrationshintergrund","83","0.368176401327637","0.301991503470382","0.434361299184892"
"Manchmal","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","(Fach-)Abitur","kein Migrationshintergrund","749","0.403045217538831","0.380789588419256","0.425300846658406"
"Manchmal","2003","(Fach-)Abitur","direkter Migrationshintergrund","130","","",""
"Manchmal","2003","(Fach-)Abitur","indirekter Migrationshintergrund","53","0.361005345714775","0.280579944453798","0.441430746975753"
"Manchmal","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","AkademikerIn","kein Migrationshintergrund","1583","","",""
"Manchmal","2003","AkademikerIn","direkter Migrationshintergrund","123","","",""
"Manchmal","2003","AkademikerIn","indirekter Migrationshintergrund","21","","",""
"Manchmal","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","(noch) kein Abschluss","kein Migrationshintergrund","77","0.139797874987663","0.111624612653669","0.167971137321658"
"Selten","2003","(noch) kein Abschluss","direkter Migrationshintergrund","57","0.232588602687456","0.177507552921475","0.287669652453437"
"Selten","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","10","","",""
"Selten","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","Hauptschule","kein Migrationshintergrund","2035","","",""
"Selten","2003","Hauptschule","direkter Migrationshintergrund","348","0.256996031385316","0.233651544300086","0.280340518470545"
"Selten","2003","Hauptschule","indirekter Migrationshintergrund","63","0.242996251684074","0.190354927784485","0.295637575583664"
"Selten","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","Realschule","kein Migrationshintergrund","1585","","",""
"Selten","2003","Realschule","direkter Migrationshintergrund","54","0.219344787753974","0.163109397309403","0.275580178198545"
"Selten","2003","Realschule","indirekter Migrationshintergrund","23","","",""
"Selten","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","(Fach-)Abitur","kein Migrationshintergrund","386","0.208818766521661","0.19037646904105","0.227261064002272"
