year,migback,quintil_oecd,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,1st Quintile,Very often,0.03991,94,21699,0.03978,0.04003
2003,No migration background,1st Quintile,Often,0.14952,371,21699,0.14929,0.14975
2003,No migration background,1st Quintile,Sometimes,0.26949,702,21699,0.26920,0.26977
2003,No migration background,1st Quintile,Seldom,0.25423,626,21699,0.25395,0.25451
2003,No migration background,1st Quintile,Never,0.28686,652,21699,0.28657,0.28715
2003,No migration background,2nd Quintile,Very often,0.03041,100,21699,0.03031,0.03052
2003,No migration background,2nd Quintile,Often,0.15306,481,21699,0.15284,0.15328
2003,No migration background,2nd Quintile,Sometimes,0.30481,953,21699,0.30453,0.30509
2003,No migration background,2nd Quintile,Seldom,0.27925,875,21699,0.27898,0.27952
2003,No migration background,2nd Quintile,Never,0.23247,657,21699,0.23221,0.23273
2003,No migration background,3rd Quintile,Very often,0.03605,123,21699,0.03594,0.03616
2003,No migration background,3rd Quintile,Often,0.13314,520,21699,0.13294,0.13333
2003,No migration background,3rd Quintile,Sometimes,0.33693,1219,21699,0.33666,0.33721
2003,No migration background,3rd Quintile,Seldom,0.28534,1009,21699,0.28508,0.28560
2003,No migration background,3rd Quintile,Never,0.20854,614,21699,0.20831,0.20878
2003,No migration background,4th Quintile,Very often,0.04389,167,21699,0.04378,0.04400
2003,No migration background,4th Quintile,Often,0.16577,672,21699,0.16556,0.16597
2003,No migration background,4th Quintile,Sometimes,0.37596,1472,21699,0.37569,0.37623
2003,No migration background,4th Quintile,Seldom,0.27353,1071,21699,0.27328,0.27377
2003,No migration background,4th Quintile,Never,0.14086,485,21699,0.14066,0.14105
2003,No migration background,5th Quintile,Very often,0.04087,272,21699,0.04076,0.04098
2003,No migration background,5th Quintile,Often,0.17428,1081,21699,0.17408,0.17449
2003,No migration background,5th Quintile,Sometimes,0.37505,2218,21699,0.37479,0.37532
2003,No migration background,5th Quintile,Seldom,0.28767,1654,21699,0.28743,0.28791
2003,No migration background,5th Quintile,Never,0.12212,573,21699,0.12195,0.12230
2003,Direct migration background,1st Quintile,Often,0.14003,84,21699,0.13963,0.14043
2003,Direct migration background,1st Quintile,Sometimes,0.32101,229,21699,0.32047,0.32156
2003,Direct migration background,1st Quintile,Seldom,0.24987,188,21699,0.24937,0.25038
2003,Direct migration background,1st Quintile,Never,0.28908,228,21699,0.28856,0.28961
2003,Direct migration background,2nd Quintile,Often,0.14949,79,21699,0.14899,0.14999
2003,Direct migration background,2nd Quintile,Sometimes,0.34621,207,21699,0.34555,0.34687
2003,Direct migration background,2nd Quintile,Seldom,0.24837,146,21699,0.24777,0.24897
2003,Direct migration background,2nd Quintile,Never,0.25593,163,21699,0.25532,0.25654
2003,Direct migration background,3rd Quintile,Often,0.16775,74,21699,0.16712,0.16838
2003,Direct migration background,3rd Quintile,Sometimes,0.29830,144,21699,0.29752,0.29907
2003,Direct migration background,3rd Quintile,Seldom,0.29816,129,21699,0.29738,0.29893
2003,Direct migration background,3rd Quintile,Never,0.23579,97,21699,0.23507,0.23651
2003,Direct migration background,4th Quintile,Often,0.18802,68,21699,0.18735,0.18870
2003,Direct migration background,4th Quintile,Sometimes,0.36194,141,21699,0.36110,0.36277
2003,Direct migration background,4th Quintile,Seldom,0.24572,96,21699,0.24497,0.24647
2003,Direct migration background,4th Quintile,Never,0.20432,87,21699,0.20362,0.20502
2003,Direct migration background,5th Quintile,Often,0.25205,72,21699,0.25115,0.25295
2003,Direct migration background,5th Quintile,Sometimes,0.30296,108,21699,0.30201,0.30392
2003,Direct migration background,5th Quintile,Seldom,0.27231,100,21699,0.27138,0.27323
2003,Direct migration background,5th Quintile,Never,0.17268,60,21699,0.17189,0.17346
2003,Indirect migration background,1st Quintile,Often,0.33130,41,21699,0.32972,0.33287
2003,Indirect migration background,1st Quintile,Sometimes,0.66870,69,21699,0.66713,0.67028
2003,Indirect migration background,2nd Quintile,Often,0.55984,48,21699,0.55810,0.56158
2003,Indirect migration background,2nd Quintile,Sometimes,0.44016,49,21699,0.43842,0.44190
2003,Indirect migration background,3rd Quintile,Often,0.28138,35,21699,0.27981,0.28295
2003,Indirect migration background,3rd Quintile,Sometimes,0.41372,61,21699,0.41200,0.41543
2003,Indirect migration background,3rd Quintile,Seldom,0.30491,32,21699,0.30330,0.30651
2003,Indirect migration background,4th Quintile,Often,0.47086,45,21699,0.46885,0.47286
2003,Indirect migration background,4th Quintile,Sometimes,0.52914,52,21699,0.52714,0.53115
2003,Indirect migration background,5th Quintile,Often,0.47236,47,21699,0.47018,0.47454
2003,Indirect migration background,5th Quintile,Sometimes,0.52764,59,21699,0.52546,0.52982
2008,No migration background,1st Quintile,Very often,0.03433,84,18913,0.03421,0.03445
2008,No migration background,1st Quintile,Often,0.14572,317,18913,0.14549,0.14595
2008,No migration background,1st Quintile,Sometimes,0.27981,625,18913,0.27952,0.28010
2008,No migration background,1st Quintile,Seldom,0.26598,589,18913,0.26569,0.26627
2008,No migration background,1st Quintile,Never,0.27415,606,18913,0.27386,0.27445
2008,No migration background,2nd Quintile,Very often,0.02011,55,18913,0.02003,0.02020
2008,No migration background,2nd Quintile,Often,0.12095,341,18913,0.12076,0.12115
2008,No migration background,2nd Quintile,Sometimes,0.32156,894,18913,0.32127,0.32184
2008,No migration background,2nd Quintile,Seldom,0.29403,846,18913,0.29375,0.29431
2008,No migration background,2nd Quintile,Never,0.24334,634,18913,0.24308,0.24360
2008,No migration background,3rd Quintile,Very often,0.02544,78,18913,0.02534,0.02553
2008,No migration background,3rd Quintile,Often,0.12915,446,18913,0.12895,0.12934
2008,No migration background,3rd Quintile,Sometimes,0.37034,1152,18913,0.37005,0.37062
2008,No migration background,3rd Quintile,Seldom,0.29172,985,18913,0.29145,0.29198
2008,No migration background,3rd Quintile,Never,0.18337,555,18913,0.18314,0.18359
2008,No migration background,4th Quintile,Very often,0.03428,112,18913,0.03418,0.03438
2008,No migration background,4th Quintile,Often,0.16735,584,18913,0.16714,0.16756
2008,No migration background,4th Quintile,Sometimes,0.35259,1254,18913,0.35232,0.35286
2008,No migration background,4th Quintile,Seldom,0.30054,1065,18913,0.30029,0.30080
2008,No migration background,4th Quintile,Never,0.14524,477,18913,0.14504,0.14544
2008,No migration background,5th Quintile,Very often,0.03358,176,18913,0.03349,0.03368
2008,No migration background,5th Quintile,Often,0.18391,888,18913,0.18370,0.18412
2008,No migration background,5th Quintile,Sometimes,0.35483,1770,18913,0.35457,0.35509
2008,No migration background,5th Quintile,Seldom,0.31746,1489,18913,0.31721,0.31771
2008,No migration background,5th Quintile,Never,0.11022,506,18913,0.11005,0.11039
2008,Direct migration background,1st Quintile,Often,0.10963,54,18913,0.10927,0.10998
2008,Direct migration background,1st Quintile,Sometimes,0.28261,150,18913,0.28210,0.28312
2008,Direct migration background,1st Quintile,Seldom,0.30511,155,18913,0.30459,0.30564
2008,Direct migration background,1st Quintile,Never,0.30265,196,18913,0.30213,0.30317
2008,Direct migration background,2nd Quintile,Often,0.14822,62,18913,0.14771,0.14872
2008,Direct migration background,2nd Quintile,Sometimes,0.26708,115,18913,0.26645,0.26771
2008,Direct migration background,2nd Quintile,Seldom,0.32179,116,18913,0.32113,0.32246
2008,Direct migration background,2nd Quintile,Never,0.26291,115,18913,0.26228,0.26354
2008,Direct migration background,3rd Quintile,Often,0.15092,57,18913,0.15037,0.15148
2008,Direct migration background,3rd Quintile,Sometimes,0.34070,118,18913,0.33996,0.34143
2008,Direct migration background,3rd Quintile,Seldom,0.27465,97,18913,0.27395,0.27534
2008,Direct migration background,3rd Quintile,Never,0.23373,83,18913,0.23307,0.23439
2008,Direct migration background,4th Quintile,Often,0.13668,47,18913,0.13604,0.13732
2008,Direct migration background,4th Quintile,Sometimes,0.35916,97,18913,0.35827,0.36006
2008,Direct migration background,4th Quintile,Seldom,0.31934,87,18913,0.31847,0.32021
2008,Direct migration background,4th Quintile,Never,0.18482,44,18913,0.18409,0.18554
2008,Direct migration background,5th Quintile,Often,0.13784,37,18913,0.13707,0.13861
2008,Direct migration background,5th Quintile,Sometimes,0.38062,93,18913,0.37953,0.38170
2008,Direct migration background,5th Quintile,Seldom,0.31446,69,18913,0.31342,0.31549
2008,Direct migration background,5th Quintile,Never,0.16709,35,18913,0.16625,0.16792
2008,Indirect migration background,1st Quintile,Often,0.32351,43,18913,0.32239,0.32462
2008,Indirect migration background,1st Quintile,Sometimes,0.43048,66,18913,0.42930,0.43167
2008,Indirect migration background,1st Quintile,Seldom,0.24601,41,18913,0.24498,0.24704
2008,Indirect migration background,2nd Quintile,Often,0.39999,33,18913,0.39846,0.40151
2008,Indirect migration background,2nd Quintile,Sometimes,0.60001,51,18913,0.59849,0.60154
2008,Indirect migration background,3rd Quintile,Often,0.21775,37,18913,0.21659,0.21891
2008,Indirect migration background,3rd Quintile,Sometimes,0.49398,61,18913,0.49257,0.49538
2008,Indirect migration background,3rd Quintile,Seldom,0.28828,36,18913,0.28701,0.28955
2008,Indirect migration background,4th Quintile,Sometimes,0.71005,61,18913,0.70859,0.71151
2008,Indirect migration background,4th Quintile,Seldom,0.28995,33,18913,0.28849,0.29141
2008,Indirect migration background,5th Quintile,Often,0.48231,44,18913,0.48054,0.48407
2008,Indirect migration background,5th Quintile,Sometimes,0.51769,52,18913,0.51593,0.51946
2013,No migration background,1st Quintile,Very often,0.02773,113,25182,0.02762,0.02784
2013,No migration background,1st Quintile,Often,0.13954,574,25182,0.13931,0.13977
2013,No migration background,1st Quintile,Sometimes,0.26495,1118,25182,0.26465,0.26524
2013,No migration background,1st Quintile,Seldom,0.30025,1121,25182,0.29994,0.30055
2013,No migration background,1st Quintile,Never,0.26754,901,25182,0.26724,0.26783
2013,No migration background,2nd Quintile,Very often,0.02118,93,25182,0.02109,0.02127
2013,No migration background,2nd Quintile,Often,0.13114,608,25182,0.13093,0.13136
2013,No migration background,2nd Quintile,Sometimes,0.29624,1319,25182,0.29596,0.29653
2013,No migration background,2nd Quintile,Seldom,0.32295,1369,25182,0.32266,0.32324
2013,No migration background,2nd Quintile,Never,0.22848,807,25182,0.22822,0.22874
2013,No migration background,3rd Quintile,Very often,0.02151,101,25182,0.02142,0.02160
2013,No migration background,3rd Quintile,Often,0.13194,642,25182,0.13173,0.13214
2013,No migration background,3rd Quintile,Sometimes,0.35358,1505,25182,0.35330,0.35387
2013,No migration background,3rd Quintile,Seldom,0.32619,1366,25182,0.32591,0.32647
2013,No migration background,3rd Quintile,Never,0.16678,611,25182,0.16656,0.16701
2013,No migration background,4th Quintile,Very often,0.02153,91,25182,0.02144,0.02161
2013,No migration background,4th Quintile,Often,0.14293,672,25182,0.14273,0.14313
2013,No migration background,4th Quintile,Sometimes,0.36795,1669,25182,0.36767,0.36822
2013,No migration background,4th Quintile,Seldom,0.34161,1439,25182,0.34134,0.34188
2013,No migration background,4th Quintile,Never,0.12598,499,25182,0.12580,0.12617
2013,No migration background,5th Quintile,Very often,0.02661,144,25182,0.02652,0.02670
2013,No migration background,5th Quintile,Often,0.16391,852,25182,0.16370,0.16411
2013,No migration background,5th Quintile,Sometimes,0.38535,1876,25182,0.38508,0.38562
2013,No migration background,5th Quintile,Seldom,0.32879,1604,25182,0.32853,0.32905
