year,pgisced97,sampreg,pld0043,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,West,Often,0.3956043956043956,27727,0.38984872630479167,0.4013600649039995
2003,Pre-primary Level,West,Sometimes,0.3384615384615385,27727,0.3328917738471205,0.3440313030759565
2003,Pre-primary Level,West,Very often,0.12307692307692308,27727,0.11920992732628065,0.12694391882756553
2003,Pre-primary Level,West,Seldom,0.11868131868131868,27727,0.11487449905472304,0.12248813830791432
2003,Pre-primary Level,West,Never,0.024175824175824177,27727,0.022367896466209722,0.02598375188543863
2003,Pre-primary Level,East,Often,0.43209876543209874,27727,0.4262679063017433,0.43792962456245416
2003,Pre-primary Level,East,Sometimes,0.345679012345679,27727,0.34008096507045943,0.35127705962089856
2003,Pre-primary Level,East,Very often,0.11728395061728394,27727,0.11349660939530613,0.12107129183926175
2003,Pre-primary Level,East,Seldom,0.09876543209876543,27727,0.09525366233844818,0.10227720185908268
2003,Pre-primary Level,East,Never,0.006172839506172839,27727,0.005250899727797253,0.0070947792845484255
2003,Primary Level,West,Never,0.3548387096774194,27727,0.34920681821221555,0.3604706011426232
2003,Primary Level,West,Sometimes,0.27419354838709675,27727,0.2689425285587666,0.2794445682154269
2003,Primary Level,West,Seldom,0.25806451612903225,27727,0.252913986998424,0.2632150452596405
2003,Primary Level,West,Often,0.0846774193548387,27727,0.08140042626731325,0.08795441244236415
2003,Primary Level,West,Very often,0.028225806451612902,27727,0.026276363679216007,0.030175249224009798
2003,Primary Level,East,Never,0.4666666666666667,27727,0.4607943781574201,0.47253895517591327
2003,Primary Level,East,Sometimes,0.26666666666666666,27727,0.26146143924132004,0.2718718940920133
2003,Primary Level,East,Often,0.2,27727,0.19529169464045207,0.20470830535954795
2003,Primary Level,East,Seldom,0.06666666666666667,27727,0.06373052241204336,0.06960281092128998
2003,Lower Secondary Level,West,Sometimes,0.2969090117544623,27727,0.29153099580812936,0.3022870277007953
2003,Lower Secondary Level,West,Never,0.28558989986939487,27727,0.28027310573065456,0.2909066940081352
2003,Lower Secondary Level,West,Seldom,0.24510230735742272,27727,0.24003913887848896,0.2501654758363565
2003,Lower Secondary Level,West,Often,0.1349586417065738,27727,0.13093681442821045,0.13898046898493713
2003,Lower Secondary Level,West,Very often,0.03744013931214628,27727,0.03520560395009741,0.039674674674195144
2003,Lower Secondary Level,East,Never,0.2982885085574572,27727,0.2929033042333195,0.3036737128815949
2003,Lower Secondary Level,East,Sometimes,0.2787286063569682,27727,0.27345090567901265,0.2840063070349238
2003,Lower Secondary Level,East,Seldom,0.19559902200489,27727,0.19093001780477722,0.20026802620500275
2003,Lower Secondary Level,East,Often,0.18092909535452323,27727,0.17639782906131105,0.1854603616477354
2003,Lower Secondary Level,East,Very often,0.04645476772616137,27727,0.04397740028183185,0.04893213517049089
2003,Upper Secondary Level,West,Sometimes,0.34764677341096556,27727,0.3420412633161654,0.3532522835057657
2003,Upper Secondary Level,West,Seldom,0.2873605046094129,27727,0.2820338674694902,0.29268714174933563
2003,Upper Secondary Level,West,Never,0.17491508976225134,27727,0.17044344195089917,0.17938673757360352
2003,Upper Secondary Level,West,Often,0.1507763221737021,27727,0.14656438145361392,0.15498826289379028
2003,Upper Secondary Level,West,Very often,0.039301310043668124,27727,0.03701412268007006,0.04158849740726619
