year,age_gr,migback,plj0021_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1998,18-29 y.,No migration background,Improbable,0.6666666666666666,18147,0.6598078784217731,0.6735254549115601
1998,18-29 y.,No migration background,"Yes, probably",0.3333333333333333,18147,0.3264745450884398,0.3401921215782268
1998,18-29 y.,Direct migration background,Definitely not,0.3665338645418327,18147,0.35952298660147336,0.373544742482192
1998,18-29 y.,Direct migration background,Improbable,0.2549800796812749,18147,0.2486385983170957,0.2613215610454541
1998,18-29 y.,Direct migration background,"Yes, probably",0.20717131474103587,18147,0.20127462686487818,0.21306800261719355
1998,18-29 y.,Direct migration background,"Yes, definitely",0.17131474103585656,18147,0.16583265527191546,0.17679682679979766
1998,18-29 y.,Indirect migration background,Improbable,0.33797909407665505,18147,0.33109678103464907,0.34486140711866103
1998,18-29 y.,Indirect migration background,Definitely not,0.30313588850174217,18147,0.2964486566754364,0.30982312032804793
1998,18-29 y.,Indirect migration background,"Yes, probably",0.20557491289198607,18147,0.19969507727921793,0.2114547485047542
1998,18-29 y.,Indirect migration background,"Yes, definitely",0.15331010452961671,18147,0.14806805367250495,0.15855215538672848
1998,30-45 y.,No migration background,Definitely not,1.0,18147,1.0,1.0
1998,30-45 y.,Direct migration background,Definitely not,0.4384920634920635,18147,0.43127247456953327,0.4457116524145937
1998,30-45 y.,Direct migration background,Improbable,0.2896825396825397,18147,0.28308258343519505,0.29628249592988437
1998,30-45 y.,Direct migration background,"Yes, definitely",0.14484126984126985,18147,0.1397206423860432,0.1499618972964965
1998,30-45 y.,Direct migration background,"Yes, probably",0.12698412698412698,18147,0.12213973317411853,0.13182852079413543
1998,30-45 y.,Indirect migration background,Definitely not,0.4107142857142857,18147,0.40355637111261106,0.41787220031596034
1998,30-45 y.,Indirect migration background,Improbable,0.35714285714285715,18147,0.35017126658629033,0.36411444769942397
1998,30-45 y.,Indirect migration background,"Yes, probably",0.16071428571428573,18147,0.15537066273947345,0.166057908689098
1998,30-45 y.,Indirect migration background,"Yes, definitely",0.07142857142857142,18147,0.06768145409639505,0.0751756887607478
1998,46-65 y.,No migration background,Definitely not,0.3333333333333333,18147,0.3264745450884398,0.3401921215782268
1998,46-65 y.,No migration background,Improbable,0.3333333333333333,18147,0.3264745450884398,0.3401921215782268
1998,46-65 y.,No migration background,"Yes, definitely",0.3333333333333333,18147,0.3264745450884398,0.3401921215782268
1998,46-65 y.,Direct migration background,Definitely not,0.6095551894563427,18147,0.6024571240696918,0.6166532548429936
1998,46-65 y.,Direct migration background,Improbable,0.2751235584843493,18147,0.26862600991594926,0.2816211070527493
1998,46-65 y.,Direct migration background,"Yes, probably",0.08401976935749589,18147,0.07998343212037694,0.08805610659461484
1998,46-65 y.,Direct migration background,"Yes, definitely",0.03130148270181219,18147,0.02876792719126581,0.033835038212358566
1998,46-65 y.,Indirect migration background,Improbable,0.4,18147,0.392872138168893,0.40712786183110705
