year,migback,sampreg,plj0021_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1998,No migration background,West,Definitely not,0.375,18147,0.36795616305210105,0.38204383694789895
1998,No migration background,West,Improbable,0.375,18147,0.36795616305210105,0.38204383694789895
1998,No migration background,West,"Yes, definitely",0.125,18147,0.12018814330609548,0.12981185669390452
1998,No migration background,West,"Yes, probably",0.125,18147,0.12018814330609548,0.12981185669390452
1998,No migration background,East,Definitely not,1.0,18147,1.0,1.0
1998,Direct migration background,West,Definitely not,0.5126582278481012,18147,0.5053857160107457,0.5199307396854568
1998,Direct migration background,West,Improbable,0.2707454289732771,18147,0.2642803505361325,0.27721050741042164
1998,Direct migration background,West,"Yes, probably",0.1209563994374121,18147,0.1162120869619802,0.125700711912844
1998,Direct migration background,West,"Yes, definitely",0.09563994374120956,18147,0.09136092691911815,0.09991896056330096
1998,Direct migration background,East,Definitely not,0.375,18147,0.36795616305210105,0.38204383694789895
1998,Direct migration background,East,"Yes, definitely",0.375,18147,0.36795616305210105,0.38204383694789895
1998,Direct migration background,East,Improbable,0.25,18147,0.2436998007048293,0.25630019929517067
1998,Indirect migration background,West,Improbable,0.34285714285714286,18147,0.33595092699818696,0.34976335871609876
1998,Indirect migration background,West,Definitely not,0.32285714285714284,18147,0.3160541658654322,0.32966011984885346
1998,Indirect migration background,West,"Yes, probably",0.19714285714285715,18147,0.19135439346178665,0.20293132082392765
1998,Indirect migration background,West,"Yes, definitely",0.13714285714285715,18147,0.13213779242414614,0.14214792186156816
1998,Indirect migration background,East,Definitely not,1.0,18147,1.0,1.0
2000,No migration background,West,Definitely not,0.6363636363636364,30607,0.6309743405770865,0.6417529321501863
2000,No migration background,West,"Yes, probably",0.2727272727272727,30607,0.26773775436446534,0.2777167910900801
2000,No migration background,West,Improbable,0.09090909090909091,30607,0.08768837065496607,0.09412981116321575
2000,No migration background,East,Definitely not,1.0,30607,1.0,1.0
2000,Direct migration background,West,Definitely not,0.4814603536794067,30607,0.47586255934266586,0.48705814801614755
2000,Direct migration background,West,Improbable,0.24757558471192243,30607,0.242740199966806,0.2524109694570389
2000,Direct migration background,West,"Yes, probably",0.14033086138049058,30607,0.1364396219575379,0.14422210080344328
2000,Direct migration background,West,"Yes, definitely",0.13063320022818026,30607,0.12685770437002314,0.13440869608633738
2000,Direct migration background,East,Improbable,0.4,30607,0.3945115298009119,0.4054884701990881
2000,Direct migration background,East,Definitely not,0.35,30607,0.3446563698683119,0.35534363013168807
2000,Direct migration background,East,"Yes, definitely",0.15,30607,0.14599962428660315,0.15400037571339684
2000,Direct migration background,East,"Yes, probably",0.1,30607,0.09663901213594063,0.10336098786405938
2000,Indirect migration background,West,Definitely not,0.34988179669030733,30607,0.3445385832014369,0.3552250101791778
2000,Indirect migration background,West,Improbable,0.24822695035460993,30607,0.2433873050703222,0.25306659563889766
2000,Indirect migration background,West,"Yes, probably",0.20094562647754138,30607,0.19645638325966863,0.20543486969541414
2000,Indirect migration background,West,"Yes, definitely",0.20094562647754138,30607,0.19645638325966863,0.20543486969541414
2000,Indirect migration background,East,Definitely not,1.0,30607,1.0,1.0
2002,No migration background,West,Definitely not,0.5555555555555556,28961,0.5498325814229235,0.5612785296881877
2002,No migration background,West,Improbable,0.4444444444444444,28961,0.43872147031181224,0.4501674185770766
2002,No migration background,East,Definitely not,1.0,28961,1.0,1.0
2002,Direct migration background,West,Definitely not,0.5351056578050443,28961,0.5293612376620114,0.5408500779480772
2002,Direct migration background,West,Improbable,0.23858214042263123,28961,0.23367329010735965,0.2434909907379028
2002,Direct migration background,West,"Yes, probably",0.12201772324471712,28961,0.11824805068994748,0.12578739579948675
2002,Direct migration background,West,"Yes, definitely",0.10429447852760736,28961,0.1007743171088681,0.10781463994634662
