year,age_gr,sex,plj0021_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1998,18-29 y.,male,Definitely not,0.3409090909090909,18147,0.3340123231201783,0.34780585869800346
1998,18-29 y.,male,Improbable,0.3068181818181818,18147,0.3001082550677381,0.31352810856862556
1998,18-29 y.,male,"Yes, probably",0.2159090909090909,18147,0.20992260002612875,0.22189558179205307
1998,18-29 y.,male,"Yes, definitely",0.13636363636363635,18147,0.13137055780876086,0.14135671491851184
1998,18-29 y.,female,Definitely not,0.3212996389891697,18147,0.31450529062337573,0.32809398735496365
1998,18-29 y.,female,Improbable,0.296028880866426,18147,0.2893868924393759,0.3026708692934761
1998,18-29 y.,female,"Yes, probably",0.19855595667870035,18147,0.19275189906686485,0.20436001429053585
1998,18-29 y.,female,"Yes, definitely",0.18411552346570398,18147,0.1784763793940508,0.18975466753735715
1998,30-45 y.,male,Definitely not,0.4143835616438356,18147,0.4072161633223941,0.42155095996527714
1998,30-45 y.,male,Improbable,0.3116438356164384,18147,0.3049049276510563,0.31838274358182045
1998,30-45 y.,male,"Yes, definitely",0.1404109589041096,18147,0.1353562099695419,0.1454657078386773
1998,30-45 y.,male,"Yes, probably",0.13356164383561644,18147,0.12861212063418873,0.13851116703704416
1998,30-45 y.,female,Definitely not,0.46096654275092935,18147,0.45371390117179355,0.46821918433006515
1998,30-45 y.,female,Improbable,0.2788104089219331,18147,0.2722861247578603,0.2853346930860059
1998,30-45 y.,female,"Yes, definitely",0.13382899628252787,18147,0.12887528623572966,0.13878270632932607
1998,30-45 y.,female,"Yes, probably",0.12639405204460966,18147,0.12155929381414132,0.131228810275078
1998,46-65 y.,male,Definitely not,0.5909090909090909,18147,0.5837555032749361,0.5980626785432458
1998,46-65 y.,male,Improbable,0.2878787878787879,18147,0.2812910631201163,0.2944665126374595
1998,46-65 y.,male,"Yes, probably",0.08787878787878788,18147,0.08375950175779626,0.0919980739997795
1998,46-65 y.,male,"Yes, definitely",0.03333333333333333,18147,0.030721584580619556,0.03594508208604711
1998,46-65 y.,female,Definitely not,0.624561403508772,18147,0.6175159219623751,0.6316068850551688
1998,46-65 y.,female,Improbable,0.2631578947368421,18147,0.2567509781359722,0.269564811337712
1998,46-65 y.,female,"Yes, probably",0.08070175438596491,18147,0.0767387609280592,0.08466474784387062
1998,46-65 y.,female,"Yes, definitely",0.031578947368421054,18147,0.02903455205196361,0.0341233426848785
1998,66 and older,male,Definitely not,0.7142857142857143,18147,0.707712835674775,0.7208585928966535
1998,66 and older,male,Improbable,0.14285714285714285,18147,0.13776581297778068,0.14794847273650502
1998,66 and older,male,"Yes, probably",0.09523809523809523,18147,0.0909671288331473,0.09950906164304317
1998,66 and older,male,"Yes, definitely",0.047619047619047616,18147,0.04452056292724015,0.05071753231085508
1998,66 and older,female,Definitely not,0.7419354838709677,18147,0.7355689820238864,0.7483019857180491
1998,66 and older,female,Improbable,0.16129032258064516,18147,0.15593896916083885,0.16664167600045146
1998,66 and older,female,"Yes, definitely",0.06451612903225806,18147,0.06094170596038822,0.06809055210412791
1998,66 and older,female,"Yes, probably",0.03225806451612903,18147,0.029687357485712666,0.0348287715465454
2000,18-29 y.,male,Definitely not,0.3082191780821918,30607,0.30304597202287886,0.3133923841415047
2000,18-29 y.,male,"Yes, definitely",0.2534246575342466,30607,0.24855153934250154,0.25829777572599166
2000,18-29 y.,male,Improbable,0.2226027397260274,30607,0.21794224044770064,0.22726323900435416
2000,18-29 y.,male,"Yes, probably",0.21575342465753425,30607,0.2111450173773036,0.2203618319377649
2000,18-29 y.,female,Definitely not,0.2871287128712871,30607,0.28206009485460626,0.29219733088796795
2000,18-29 y.,female,Improbable,0.25412541254125415,30607,0.2492478522852789,0.2590029727972294
2000,18-29 y.,female,"Yes, definitely",0.23102310231023102,30607,0.22630105817875687,0.23574514644170516
2000,18-29 y.,female,"Yes, probably",0.22772277227722773,30607,0.22302452863036867,0.2324210159240868
2000,30-45 y.,male,Definitely not,0.4173027989821883,30607,0.4117783011892322,0.4228272967751444
2000,30-45 y.,male,Improbable,0.2748091603053435,30607,0.2698078080142923,0.2798105125963947
2000,30-45 y.,male,"Yes, probably",0.16030534351145037,30607,0.15619497855890102,0.16441570846399972
2000,30-45 y.,male,"Yes, definitely",0.1475826972010178,30607,0.14360904786149215,0.15155634654054345
2000,30-45 y.,female,Definitely not,0.4186046511627907,30607,0.41307772718566965,0.4241315751399118
2000,30-45 y.,female,Improbable,0.27648578811369506,30607,0.2714750047242298,0.2814965715031603
2000,30-45 y.,female,"Yes, probably",0.16795865633074936,30607,0.16377053419042156,0.17214677847107715
2000,30-45 y.,female,"Yes, definitely",0.13695090439276486,30607,0.13309926257918092,0.1408025462063488
2000,46-65 y.,male,Definitely not,0.6149870801033591,30607,0.6095355760754387,0.6204385841312795
2000,46-65 y.,male,Improbable,0.23255813953488372,30607,0.22782516460616897,0.23729111446359846
2000,46-65 y.,male,"Yes, probably",0.082687338501292,30607,0.07960185029843572,0.08577282670414826
2000,46-65 y.,male,"Yes, definitely",0.06976744186046512,30607,0.06691335059124585,0.07262153312968438
2000,46-65 y.,female,Definitely not,0.5662650602409639,30607,0.5607128260452697,0.5718172944366581
2000,46-65 y.,female,Improbable,0.25,30607,0.24514883187985564,0.25485116812014436
2000,46-65 y.,female,"Yes, probably",0.11746987951807229,30607,0.11386265046995984,0.12107710856618474
2000,46-65 y.,female,"Yes, definitely",0.06626506024096386,30607,0.06347829879725012,0.0690518216846776
2000,66 and older,male,Definitely not,0.6875,30607,0.6823071347682117,0.6926928652317883
2000,66 and older,male,Improbable,0.15625,30607,0.15218217186740401,0.16031782813259599
2000,66 and older,male,"Yes, definitely",0.125,30607,0.12129485914674698,0.12870514085325302
2000,66 and older,male,"Yes, probably",0.03125,30607,0.029300709536102712,0.03319929046389729
2000,66 and older,female,Definitely not,0.6862745098039216,30607,0.6810761118029268,0.6914729078049163
2000,66 and older,female,Improbable,0.1568627450980392,30607,0.15278842886022515,0.16093706133585328
2000,66 and older,female,"Yes, definitely",0.09803921568627451,30607,0.09470771864808744,0.10137071272446158
2000,66 and older,female,"Yes, probably",0.058823529411764705,30607,0.056187460498776966,0.061459598324752444
2002,18-29 y.,male,Definitely not,0.3096446700507614,28961,0.3043196966826138,0.314969643418909
2002,18-29 y.,male,Improbable,0.28426395939086296,28961,0.27906894639634944,0.2894589723853765
