year,plj0021_h,regtyp,sampreg,proportion,n,lower_confidence,upper_confidence
1998,"Yes, definitely",Urban regions,West,0.8617021276595744,18147,0.8566793959164444,0.8667248594027045
1998,"Yes, definitely",Rural regions,West,0.12234042553191489,18147,0.11757280487721788,0.1271080461866119
1998,"Yes, definitely",Rural regions,East,0.010638297872340425,18147,0.009145615952579652,0.012130979792101199
1998,"Yes, definitely",Urban regions,East,0.005319148936170213,18147,0.0042608299053131776,0.006377467967027248
1998,"Yes, probably",Urban regions,West,0.9049586776859504,18147,0.9006916617855967,0.9092256935863041
1998,"Yes, probably",Rural regions,West,0.09504132231404959,18147,0.09077430641369592,0.09930833821440326
1998,Improbable,Urban regions,West,0.8980392156862745,18147,0.8936365279241062,0.9024419034484429
1998,Improbable,Rural regions,West,0.09803921568627451,18147,0.09371260923355383,0.10236582213899519
1998,Improbable,Rural regions,East,0.00392156862745098,18147,0.00301222018007657,0.00483091707482539
1998,Definitely not,Urban regions,West,0.8588235294117647,18147,0.8537572775177237,0.8638897813058056
1998,Definitely not,Rural regions,West,0.13529411764705881,18147,0.1303175797486935,0.14027065554542412
1998,Definitely not,Rural regions,East,0.004705882352941176,18147,0.0037101332972740526,0.0057016314086082995
1998,Definitely not,Urban regions,East,0.001176470588235294,18147,0.0006777140853475458,0.0016752270911230423
2000,"Yes, definitely",Urban regions,West,0.8769716088328076,30607,0.8732916655187157,0.8806515521468994
2000,"Yes, definitely",Rural regions,West,0.11356466876971609,30607,0.11001006794176493,0.11711926959766725
2000,"Yes, definitely",Rural regions,East,0.00946372239747634,30607,0.008379016806270775,0.010548427988681906
2000,"Yes, probably",Urban regions,West,0.8779761904761905,30607,0.8743092036600599,0.881643177292321
2000,"Yes, probably",Rural regions,West,0.11607142857142858,30607,0.11248289560421239,0.11965996153864476
2000,"Yes, probably",Urban regions,East,0.005952380952380952,30607,0.005090604459503514,0.00681415744525839
2000,Improbable,Urban regions,West,0.8558394160583942,30607,0.8519042315659653,0.8597746005508231
2000,Improbable,Rural regions,West,0.12956204379562045,30607,0.12579974316825396,0.13332434442298693
2000,Improbable,Rural regions,East,0.0072992700729927005,30607,0.006345607856229243,0.008252932289756158
2000,Improbable,Urban regions,East,0.0072992700729927005,30607,0.006345607856229243,0.008252932289756158
2000,Definitely not,Urban regions,West,0.8809523809523809,30607,0.8773242557687919,0.88458050613597
2000,Definitely not,Rural regions,West,0.11011904761904762,30607,0.10661199026458808,0.11362610497350716
2000,Definitely not,Urban regions,East,0.00496031746031746,30607,0.004173234290184917,0.005747400630450003
2000,Definitely not,Rural regions,East,0.003968253968253968,30607,0.003263914525268317,0.00467259341123962
2002,"Yes, definitely",Urban regions,West,0.8878048780487805,28961,0.8841699564713927,0.8914397996261683
2002,"Yes, definitely",Rural regions,West,0.1073170731707317,28961,0.10375229656739934,0.11088184977406407
2002,"Yes, definitely",Rural regions,East,0.004878048780487805,28961,0.004075612572014752,0.005680484988960858
2002,"Yes, probably",Urban regions,West,0.9094827586206896,28961,0.9061782097068394,0.9127873075345398
2002,"Yes, probably",Rural regions,West,0.09051724137931035,28961,0.08721269246546007,0.09382179029316062
2002,Improbable,Urban regions,West,0.847457627118644,28961,0.8433166432395568,0.8515986109977313
2002,Improbable,Rural regions,West,0.13983050847457626,28961,0.13583619375768596,0.14382482319146656
2002,Improbable,Rural regions,East,0.01059322033898305,28961,0.00941412007021319,0.011772320607752912
2002,Improbable,Urban regions,East,0.00211864406779661,28961,0.0015890809267472834,0.0026482072088459367
2002,Definitely not,Urban regions,West,0.8830472103004292,28961,0.8793459762512527,0.8867484443496058
2002,Definitely not,Rural regions,West,0.11158798283261803,28961,0.10796167038912988,0.11521429527610619
2002,Definitely not,Urban regions,East,0.003218884120171674,28961,0.002566502275317198,0.0038712659650261497
2002,Definitely not,Rural regions,East,0.002145922746781116,28961,0.0016129685894380784,0.0026788769041241533
2004,"Yes, definitely",Urban regions,West,0.8686131386861314,26790,0.8645677628067809,0.8726585145654819
2004,"Yes, definitely",Rural regions,West,0.10948905109489052,26790,0.10574988555803176,0.11322821663174927
