year,migback,regtyp,plj0021_h,proportion,n,lower_confidence,upper_confidence
1998,direkter Migrationshintergrund,Staedtischer Raum,Ganz sicher nicht,0.35307262569832404,18147,0.34611896589667457,0.3600262854999735
1998,direkter Migrationshintergrund,Staedtischer Raum,Eher unwahrscheinlich,0.19385474860335195,18147,0.18810301817058997,0.19960647903611392
1998,direkter Migrationshintergrund,Staedtischer Raum,"Ja, wahrscheinlich",0.08826815642458101,18147,0.08414063590067816,0.09239567694848386
1998,direkter Migrationshintergrund,Staedtischer Raum,"Ja, ganz sicher",0.0664804469273743,18147,0.06285582822995348,0.07010506562479513
1998,indirekter Migrationshintergrund,Staedtischer Raum,Eher unwahrscheinlich,0.060335195530726256,18147,0.05687081575806529,0.06379957530338722
1998,direkter Migrationshintergrund,Laendlicher Raum,Ganz sicher nicht,0.055865921787709494,18147,0.05252440249388002,0.05920744108153897
1998,indirekter Migrationshintergrund,Staedtischer Raum,Ganz sicher nicht,0.053631284916201116,18147,0.05035340574754276,0.05690916408485947
1998,indirekter Migrationshintergrund,Staedtischer Raum,"Ja, wahrscheinlich",0.0335195530726257,18147,0.03090077137201753,0.03613833477323387
1998,indirekter Migrationshintergrund,Staedtischer Raum,"Ja, ganz sicher",0.024022346368715083,18147,0.02179452019973741,0.026250172537692757
1998,direkter Migrationshintergrund,Laendlicher Raum,Eher unwahrscheinlich,0.0223463687150838,18147,0.02019581823736111,0.02449691919280649
1998,direkter Migrationshintergrund,Laendlicher Raum,"Ja, ganz sicher",0.0111731843575419,18147,0.00964385068169266,0.01270251803339114
1998,indirekter Migrationshintergrund,Laendlicher Raum,Ganz sicher nicht,0.01005586592178771,18147,0.008604193146645121,0.011507538696930298
1998,direkter Migrationshintergrund,Laendlicher Raum,"Ja, wahrscheinlich",0.00782122905027933,18147,0.006539529832331038,0.009102928268227622
1998,indirekter Migrationshintergrund,Laendlicher Raum,Eher unwahrscheinlich,0.0067039106145251395,18147,0.005516619761159922,0.007891201467890357
1998,indirekter Migrationshintergrund,Laendlicher Raum,"Ja, wahrscheinlich",0.005027932960893855,18147,0.003998841830200004,0.0060570240915877056
1998,indirekter Migrationshintergrund,Laendlicher Raum,"Ja, ganz sicher",0.002793296089385475,18147,0.0020253959734542137,0.0035611962053167362
1998,kein Migrationshintergrund,Staedtischer Raum,Ganz sicher nicht,0.0016759776536312849,18147,0.0010808316463100601,0.0022711236609525096
1998,kein Migrationshintergrund,Staedtischer Raum,Eher unwahrscheinlich,0.0016759776536312849,18147,0.0010808316463100601,0.0022711236609525096
1998,kein Migrationshintergrund,Laendlicher Raum,Ganz sicher nicht,0.0005586592178770949,18147,0.00021485928223988763,0.0009024591535143022
1998,kein Migrationshintergrund,Staedtischer Raum,"Ja, ganz sicher",0.0005586592178770949,18147,0.00021485928223988763,0.0009024591535143022
1998,kein Migrationshintergrund,Staedtischer Raum,"Ja, wahrscheinlich",0.0005586592178770949,18147,0.00021485928223988763,0.0009024591535143022
2000,direkter Migrationshintergrund,Staedtischer Raum,Ganz sicher nicht,0.33770937075599816,30607,0.3324110096924555,0.3430077318195408
2000,direkter Migrationshintergrund,Staedtischer Raum,Eher unwahrscheinlich,0.17564508827523767,30607,0.17138203451539,0.17990814203508534
2000,direkter Migrationshintergrund,Staedtischer Raum,"Ja, wahrscheinlich",0.09959257582616568,30607,0.09623768257718096,0.1029474690751504
2000,direkter Migrationshintergrund,Staedtischer Raum,"Ja, ganz sicher",0.09144409234947941,30607,0.08821485962657104,0.09467332507238778
2000,indirekter Migrationshintergrund,Staedtischer Raum,Ganz sicher nicht,0.06337709370755998,30607,0.06064752370381021,0.06610666371130974
2000,direkter Migrationshintergrund,Laendlicher Raum,Ganz sicher nicht,0.047532820280669984,30607,0.045149033039279536,0.04991660752206043
2000,indirekter Migrationshintergrund,Staedtischer Raum,Eher unwahrscheinlich,0.03802625622453599,30607,0.03588351816361885,0.040168994285453126
2000,indirekter Migrationshintergrund,Staedtischer Raum,"Ja, ganz sicher",0.034404708012675415,30607,0.03236272465803961,0.03644669136731122
2000,indirekter Migrationshintergrund,Staedtischer Raum,"Ja, wahrscheinlich",0.033499320959710276,30607,0.03148344050888833,0.03551520141053222
2000,direkter Migrationshintergrund,Laendlicher Raum,Eher unwahrscheinlich,0.02444545043005885,30607,0.022715353279403966,0.026175547580713734
